Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,ATL vs. HOU,ATL,HOU,Home,W,00:16:20,10,3,9,33.3,1,3,33.3,3,4,75.0,0,3,3,9,2,0,2,0,13
2021-05-13,ATL vs. ORL,ATL,ORL,Home,W,00:25:48,18,7,14,50.0,0,5,0.0,4,4,100.0,0,0,0,7,0,0,1,2,26
2021-05-12,ATL vs. WAS,ATL,WAS,Home,W,00:36:45,33,12,25,48.0,2,8,25.0,7,7,100.0,0,8,8,9,0,0,5,2,2
2021-05-10,ATL vs. WAS,ATL,WAS,Home,W,00:36:37,36,11,22,50.0,1,7,14.3,13,13,100.0,0,6,6,9,0,0,6,0,18
2021-05-06,ATL @ IND,ATL,IND,Away,L,00:35:08,30,10,19,52.6,2,6,33.3,8,8,100.0,1,3,4,10,0,1,4,1,-8
2021-05-05,ATL vs. PHX,ATL,PHX,Home,W,00:26:18,16,6,12,50.0,0,3,0.0,4,4,100.0,0,2,2,12,1,0,1,3,-1
2021-05-03,ATL vs. POR,ATL,POR,Home,W,00:35:06,21,6,16,37.5,1,6,16.7,8,8,100.0,2,4,6,11,0,0,6,0,1
2021-05-01,ATL vs. CHI,ATL,CHI,Home,W,00:35:48,33,9,14,64.3,4,8,50.0,11,12,91.7,0,3,3,7,2,0,4,2,15
2021-04-30,ATL @ PHI,ATL,PHI,Away,L,00:28:14,32,10,19,52.6,2,6,33.3,10,10,100.0,0,1,1,4,0,0,4,1,-7
2021-04-21,ATL @ NYK,ATL,NYK,Away,L,00:29:49,20,6,17,35.3,1,4,25.0,7,7,100.0,0,2,2,14,4,0,1,0,13
2021-04-20,ATL vs. ORL,ATL,ORL,Home,W,00:32:22,25,7,16,43.8,2,5,40.0,9,10,90.0,3,2,5,7,1,0,5,3,7
2021-04-18,ATL vs. IND,ATL,IND,Home,W,00:35:29,34,9,21,42.9,3,9,33.3,13,14,92.9,0,5,5,11,2,0,2,0,14
2021-04-15,ATL vs. MIL,ATL,MIL,Home,L,00:36:56,15,3,17,17.6,0,3,0.0,9,9,100.0,0,2,2,9,0,0,6,0,2
2021-04-09,ATL vs. CHI,ATL,CHI,Home,W,00:37:56,42,15,25,60.0,1,6,16.7,11,14,78.6,0,8,8,9,0,0,4,1,20
2021-04-07,ATL vs. MEM,ATL,MEM,Home,L,00:33:33,14,6,17,35.3,0,4,0.0,2,2,100.0,0,5,5,11,0,0,2,3,-20
2021-04-06,ATL vs. NOP,ATL,NOP,Home,W,00:31:27,30,10,21,47.6,6,7,85.7,4,6,66.7,0,1,1,12,0,0,3,0,26
2021-04-04,ATL vs. GSW,ATL,GSW,Home,W,00:27:53,13,3,11,27.3,0,4,0.0,7,8,87.5,0,2,2,3,1,0,7,1,-8
2021-04-01,ATL @ SAS,ATL,SAS,Away,W,00:34:59,28,11,23,47.8,2,2,100.0,4,6,66.7,0,2,2,12,1,0,7,5,8
2021-03-30,ATL @ PHX,ATL,PHX,Away,L,00:32:33,19,5,16,31.3,1,4,25.0,8,9,88.9,1,1,2,13,3,0,3,4,-5
2021-03-28,ATL @ DEN,ATL,DEN,Away,L,00:34:11,21,8,14,57.1,3,7,42.9,2,2,100.0,0,5,5,7,2,0,7,2,-16
2021-03-26,ATL @ GSW,ATL,GSW,Away,W,00:36:04,21,6,14,42.9,1,6,16.7,8,9,88.9,0,3,3,15,0,1,4,0,13
2021-03-24,ATL @ SAC,ATL,SAC,Away,L,00:38:22,29,11,24,45.8,1,7,14.3,6,6,100.0,1,2,3,9,1,0,3,2,-4
2021-03-22,ATL @ LAC,ATL,LAC,Away,L,00:37:34,28,9,20,45.0,5,11,45.5,5,6,83.3,2,3,5,8,0,1,4,1,-1
2021-03-20,ATL @ LAL,ATL,LAL,Away,W,00:33:59,14,6,18,33.3,0,7,0.0,2,2,100.0,1,2,3,11,1,0,2,1,13
2021-03-18,ATL vs. OKC,ATL,OKC,Home,W,00:25:11,23,9,15,60.0,2,6,33.3,3,4,75.0,0,6,6,9,0,0,2,1,18
2021-03-16,ATL @ HOU,ATL,HOU,Away,W,00:32:13,13,3,13,23.1,1,5,20.0,6,7,85.7,1,2,3,14,1,0,5,1,7
2021-03-14,ATL vs. CLE,ATL,CLE,Home,W,00:27:45,14,4,9,44.4,2,6,33.3,4,4,100.0,0,2,2,6,0,0,2,1,14
2021-03-13,ATL vs. SAC,ATL,SAC,Home,W,00:31:54,28,9,17,52.9,5,10,50.0,5,7,71.4,0,1,1,9,1,0,4,1,7
2021-03-11,ATL @ TOR,ATL,TOR,Away,W,00:36:52,37,11,24,45.8,2,7,28.6,13,16,81.3,1,4,5,6,0,1,6,3,-5
2021-03-03,ATL @ ORL,ATL,ORL,Away,W,00:34:48,32,9,19,47.4,4,7,57.1,10,11,90.9,0,4,4,8,2,0,2,3,8
2021-03-02,ATL @ MIA,ATL,MIA,Away,W,00:33:24,18,5,12,41.7,4,9,44.4,4,5,80.0,0,3,3,10,1,0,8,4,12
2021-02-28,ATL @ MIA,ATL,MIA,Away,L,00:35:50,15,3,14,21.4,2,8,25.0,7,7,100.0,0,8,8,9,2,0,7,4,9
2021-02-26,ATL @ OKC,ATL,OKC,Away,L,00:31:23,17,7,21,33.3,3,9,33.3,0,0,0.0,0,6,6,8,0,0,3,0,-12
2021-02-24,ATL vs. BOS,ATL,BOS,Home,W,00:34:38,33,12,23,52.2,5,11,45.5,4,5,80.0,2,2,4,7,1,0,4,1,13
2021-02-23,ATL @ CLE,ATL,CLE,Away,L,00:37:56,28,9,27,33.3,1,7,14.3,9,13,69.2,3,4,7,12,0,1,5,2,7
2021-02-21,ATL vs. DEN,ATL,DEN,Home,W,00:36:07,35,10,19,52.6,4,7,57.1,11,13,84.6,2,4,6,15,1,0,3,2,6
2021-02-19,ATL @ BOS,ATL,BOS,Away,L,00:36:33,31,10,16,62.5,3,7,42.9,8,9,88.9,0,4,4,11,3,0,6,1,-26
2021-02-17,ATL @ BOS,ATL,BOS,Away,W,00:35:08,40,14,20,70.0,4,9,44.4,8,8,100.0,0,3,3,8,2,0,8,1,2
2021-02-15,ATL @ NYK,ATL,NYK,Away,L,00:39:57,23,6,19,31.6,1,4,25.0,10,12,83.3,0,3,3,8,1,0,4,2,-4
2021-02-13,ATL vs. IND,ATL,IND,Home,L,00:36:15,15,3,9,33.3,0,0,0.0,9,11,81.8,1,0,1,14,0,0,3,2,-5
2021-02-12,ATL vs. SAS,ATL,SAS,Home,L,00:23:25,25,8,15,53.3,2,6,33.3,7,8,87.5,0,1,1,3,1,0,2,1,-27
2021-02-10,ATL @ DAL,ATL,DAL,Away,L,00:42:00,25,8,22,36.4,4,11,36.4,5,6,83.3,1,6,7,15,1,1,3,2,7
2021-02-06,ATL vs. TOR,ATL,TOR,Home,W,00:36:08,28,6,15,40.0,2,4,50.0,14,14,100.0,0,2,2,13,0,2,7,3,9
2021-02-03,ATL vs. DAL,ATL,DAL,Home,L,00:35:40,21,8,18,44.4,3,8,37.5,2,3,66.7,0,4,4,9,1,0,4,3,4
2021-02-01,ATL vs. LAL,ATL,LAL,Home,L,00:38:31,25,7,15,46.7,1,4,25.0,10,11,90.9,0,4,4,16,2,0,7,3,-2
2021-01-29,ATL @ WAS,ATL,WAS,Away,W,00:33:41,41,10,18,55.6,5,9,55.6,16,17,94.1,1,2,3,5,0,0,2,4,12
2021-01-27,ATL vs. BKN,ATL,BKN,Home,L,00:43:38,28,7,22,31.8,3,8,37.5,11,12,91.7,0,3,3,14,0,1,3,4,2
2021-01-26,ATL vs. LAC,ATL,LAC,Home,W,00:36:17,38,12,23,52.2,3,7,42.9,11,11,100.0,0,3,3,5,1,0,3,0,12
2021-01-22,ATL @ MIN,ATL,MIN,Away,W,00:30:58,43,14,22,63.6,8,12,66.7,7,7,100.0,0,4,4,5,0,0,7,0,14
2021-01-20,ATL vs. DET,ATL,DET,Home,W,00:44:01,38,11,26,42.3,3,5,60.0,13,19,68.4,2,2,4,10,2,1,2,1,7
