Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,LAL @ NOP,LAL,NOP,Away,W,00:12:00,2,1,3,33.3,0,0,0.0,0,0,0.0,0,3,3,1,1,0,0,0,8
2021-05-15,LAL @ IND,LAL,IND,Away,W,00:12:00,17,7,11,63.6,1,2,50.0,2,2,100.0,1,4,5,0,1,0,0,0,8
2021-05-11,LAL vs. NYK,LAL,NYK,Home,W,00:12:00,8,3,6,50.0,0,0,0.0,2,2,100.0,0,2,2,1,1,0,1,1,-1
2021-05-09,LAL vs. PHX,LAL,PHX,Home,W,00:09:22,12,5,7,71.4,0,0,0.0,2,2,100.0,0,2,2,1,0,0,0,1,12
2021-05-07,LAL @ POR,LAL,POR,Away,L,00:12:00,8,2,4,50.0,0,0,0.0,4,7,57.1,0,4,4,1,0,0,1,0,-12
2021-05-06,LAL @ LAC,LAL,LAC,Away,L,00:09:10,4,2,9,22.2,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,-10
2021-05-03,LAL vs. DEN,LAL,DEN,Home,W,00:10:04,8,4,8,50.0,0,0,0.0,0,0,0.0,0,3,3,0,0,1,2,0,-2
2021-05-02,LAL vs. TOR,LAL,TOR,Home,L,00:08:41,5,2,4,50.0,0,0,0.0,1,1,100.0,0,1,1,2,1,0,0,0,7
2021-04-30,LAL vs. SAC,LAL,SAC,Home,L,00:08:23,0,0,3,0.0,0,1,0.0,0,0,0.0,1,5,6,0,0,0,0,0,-7
2021-04-28,LAL @ WAS,LAL,WAS,Away,L,00:08:05,8,4,6,66.7,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,0,1
2021-04-26,LAL @ ORL,LAL,ORL,Away,W,00:07:21,6,3,3,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,9
2021-04-24,LAL @ DAL,LAL,DAL,Away,L,00:06:27,2,1,4,25.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,-2
2021-04-22,LAL @ DAL,LAL,DAL,Away,L,00:07:30,2,1,6,16.7,0,0,0.0,0,0,0.0,0,3,3,0,1,0,0,0,-2
2021-02-14,LAL @ DEN,LAL,DEN,Away,L,00:09:13,8,3,6,50.0,0,1,0.0,2,2,100.0,1,2,3,1,0,0,0,0,5
2021-02-12,LAL vs. MEM,LAL,MEM,Home,W,00:10:27,7,3,8,37.5,0,0,0.0,1,1,100.0,1,1,2,0,1,0,2,0,-16
2021-02-06,LAL vs. DET,LAL,DET,Home,W,00:09:40,12,6,8,75.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0
2021-02-04,LAL vs. DEN,LAL,DEN,Home,W,00:10:20,4,2,2,100.0,0,0,0.0,0,2,0.0,2,2,4,1,2,0,0,0,-2
2021-02-01,LAL @ ATL,LAL,ATL,Away,W,00:09:38,6,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,2,1,4
2021-01-30,LAL @ BOS,LAL,BOS,Away,W,00:11:26,12,5,10,50.0,1,1,100.0,1,3,33.3,4,4,8,0,0,0,0,0,4
2021-01-27,LAL @ PHI,LAL,PHI,Away,L,00:08:51,7,3,4,75.0,0,0,0.0,1,2,50.0,0,1,1,1,0,0,1,2,-10
2021-01-25,LAL @ CLE,LAL,CLE,Away,W,00:09:33,4,2,6,33.3,0,1,0.0,0,0,0.0,0,0,0,1,1,1,1,0,4
2021-01-23,LAL @ CHI,LAL,CHI,Away,W,00:09:02,15,7,8,87.5,0,0,0.0,1,2,50.0,1,2,3,1,1,0,0,1,10
2021-01-21,LAL @ MIL,LAL,MIL,Away,W,00:10:26,8,4,6,66.7,0,0,0.0,0,1,0.0,0,1,1,1,0,0,1,1,-5
2021-01-18,LAL vs. GSW,LAL,GSW,Home,L,00:09:59,4,2,3,66.7,0,0,0.0,0,1,0.0,1,4,5,6,0,0,0,0,18
2021-01-15,LAL vs. NOP,LAL,NOP,Home,W,00:12:00,6,2,8,25.0,0,1,0.0,2,4,50.0,0,2,2,1,1,2,0,0,-8
2021-01-13,LAL @ OKC,LAL,OKC,Away,W,00:12:00,12,5,8,62.5,0,0,0.0,2,2,100.0,3,1,4,1,0,0,0,0,9
2021-01-12,LAL @ HOU,LAL,HOU,Away,W,00:09:58,4,1,2,50.0,0,0,0.0,2,2,100.0,0,4,4,1,0,2,0,0,19
2021-01-10,LAL @ HOU,LAL,HOU,Away,W,00:06:52,8,4,4,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,2,10
2021-01-07,LAL vs. SAS,LAL,SAS,Home,L,00:09:28,8,4,7,57.1,0,1,0.0,0,0,0.0,0,1,1,0,1,1,0,0,-15
2021-01-05,LAL @ MEM,LAL,MEM,Away,W,00:09:52,4,2,5,40.0,0,2,0.0,0,1,0.0,0,2,2,3,1,2,0,0,-1
2021-01-03,LAL @ MEM,LAL,MEM,Away,W,00:09:41,0,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,1,1,0,-10
2021-01-01,LAL @ SAS,LAL,SAS,Away,W,00:09:37,8,3,8,37.5,1,1,100.0,1,2,50.0,2,1,3,1,2,0,0,1,-4
2020-12-30,LAL @ SAS,LAL,SAS,Away,W,00:12:00,8,3,6,50.0,0,1,0.0,2,2,100.0,1,3,4,1,0,2,0,0,8
2020-12-28,LAL vs. POR,LAL,POR,Home,L,00:10:03,2,1,3,33.3,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,0,4
2020-12-25,LAL vs. DAL,LAL,DAL,Home,W,00:09:32,9,4,5,80.0,0,1,0.0,1,1,100.0,0,2,2,1,0,0,1,1,2
2020-12-22,LAL vs. LAC,LAL,LAC,Home,L,00:10:29,6,2,5,40.0,0,1,0.0,2,2,100.0,0,2,2,0,0,0,3,1,-22
