Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-04-16,UTA vs. IND,UTA,IND,Home,W,8.52,3,1,4,25.0,1,3,33.3,0,0,0.0,0,2,2,1,0,0,1,0,-6
2021-04-13,UTA vs. OKC,UTA,OKC,Home,W,8.46,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-14
2021-04-12,UTA vs. WAS,UTA,WAS,Home,L,10.31,17,7,10,70.0,2,4,50.0,1,2,50.0,0,1,1,2,1,0,2,1,7
2021-04-10,UTA vs. SAC,UTA,SAC,Home,W,9.36,8,2,8,25.0,0,2,0.0,4,6,66.7,0,1,1,0,0,0,0,0,-8
2021-04-08,UTA vs. POR,UTA,POR,Home,W,8.48,11,5,9,55.6,1,2,50.0,0,0,0.0,0,4,4,0,1,0,0,1,-1
2021-04-07,UTA @ PHX,UTA,PHX,Away,L,9.2,5,2,6,33.3,1,2,50.0,0,0,0.0,0,2,2,1,0,0,0,0,-6
2021-04-05,UTA @ DAL,UTA,DAL,Away,L,9.05,4,2,7,28.6,0,1,0.0,0,0,0.0,0,2,2,3,0,0,0,1,-1
2021-04-03,UTA vs. ORL,UTA,ORL,Home,W,9.03,8,3,4,75.0,2,3,66.7,0,0,0.0,0,1,1,1,0,0,0,1,8
2021-04-02,UTA vs. CHI,UTA,CHI,Home,W,9.01,4,1,5,20.0,0,2,0.0,2,2,100.0,0,0,0,2,0,0,0,0,2
2021-03-29,UTA vs. CLE,UTA,CLE,Home,W,8.57,8,3,5,60.0,2,3,66.7,0,0,0.0,1,0,1,0,1,0,1,1,7
2021-03-27,UTA vs. MEM,UTA,MEM,Home,W,8.54,16,5,6,83.3,2,3,66.7,4,4,100.0,0,0,0,1,1,0,2,0,9
2021-03-26,UTA vs. MEM,UTA,MEM,Home,W,9.37,7,3,6,50.0,1,2,50.0,0,0,0.0,0,1,1,4,0,0,0,0,6
2021-03-24,UTA vs. BKN,UTA,BKN,Home,W,9.32,12,5,8,62.5,2,3,66.7,0,0,0.0,0,2,2,1,0,0,0,0,16
2021-03-22,UTA @ CHI,UTA,CHI,Away,W,8.59,10,3,7,42.9,1,2,50.0,3,3,100.0,0,3,3,0,0,0,1,0,-3
2021-03-19,UTA @ TOR,UTA,TOR,Away,W,8.39,4,1,6,16.7,0,3,0.0,2,2,100.0,0,1,1,1,0,0,1,1,-3
2021-03-18,UTA @ WAS,UTA,WAS,Away,L,8.35,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,3,0,0,2,1,-10
2021-03-16,UTA @ BOS,UTA,BOS,Away,W,9.5,0,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,3,1,0,0,1,-7
2021-03-14,UTA @ GSW,UTA,GSW,Away,L,9.52,5,2,4,50.0,1,2,50.0,0,0,0.0,0,0,0,2,0,0,1,0,-10
2021-03-12,UTA vs. HOU,UTA,HOU,Home,W,9.24,13,5,8,62.5,1,2,50.0,2,2,100.0,0,2,2,1,0,0,2,0,5
2021-03-03,UTA @ PHI,UTA,PHI,Away,L,8.59,10,4,7,57.1,2,4,50.0,0,0,0.0,0,3,3,1,0,0,0,1,5
2021-03-01,UTA @ NOP,UTA,NOP,Away,L,9.26,4,2,5,40.0,0,2,0.0,0,0,0.0,0,1,1,3,0,0,1,0,-4
