Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-15,MIL vs. MIA,MIL,MIA,Home,W,00:09:51,8,3,5,60.0,0,0,0.0,2,2,100.0,0,1,1,3,0,0,0,0,14
2021-05-13,MIL @ IND,MIL,IND,Away,W,00:12:00,6,2,3,66.7,0,0,0.0,2,2,100.0,0,2,2,5,0,0,0,0,1
2021-05-11,MIL vs. ORL,MIL,ORL,Home,W,00:08:29,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,3
2021-05-10,MIL @ SAS,MIL,SAS,Away,L,00:08:34,4,2,4,50.0,0,2,0.0,0,0,0.0,1,0,1,3,0,0,1,0,-12
2021-05-07,MIL vs. HOU,MIL,HOU,Home,W,00:10:05,3,1,4,25.0,1,3,33.3,0,0,0.0,0,1,1,4,0,0,0,0,4
2021-05-05,MIL vs. WAS,MIL,WAS,Home,W,00:08:49,5,2,5,40.0,1,2,50.0,0,0,0.0,0,2,2,2,0,0,1,0,-8
2021-05-04,MIL vs. BKN,MIL,BKN,Home,W,00:11:12,14,5,7,71.4,2,3,66.7,2,2,100.0,1,2,3,1,0,0,1,1,-1
2021-05-02,MIL vs. BKN,MIL,BKN,Home,W,00:11:01,8,3,6,50.0,1,3,33.3,1,2,50.0,1,1,2,0,1,1,2,1,-9
2021-04-30,MIL @ CHI,MIL,CHI,Away,W,00:07:49,5,2,6,33.3,1,2,50.0,0,0,0.0,1,0,1,1,1,0,2,0,11
2021-04-29,MIL @ HOU,MIL,HOU,Away,L,00:10:09,6,3,6,50.0,0,1,0.0,0,0,0.0,0,0,0,4,0,0,0,1,12
2021-04-27,MIL @ CHA,MIL,CHA,Away,W,00:11:23,4,2,5,40.0,0,0,0.0,0,0,0.0,1,2,3,4,1,0,1,1,6
