Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,DEN @ POR,DEN,POR,Away,L,00:09:58,12,5,9,55.6,0,2,0.0,2,2,100.0,0,1,1,1,1,0,1,0,-17
2021-05-14,DEN @ DET,DEN,DET,Away,W,00:12:00,11,4,7,57.1,0,0,0.0,3,4,75.0,2,5,7,5,0,0,0,0,4
2021-05-13,DEN @ MIN,DEN,MIN,Away,W,00:11:12,16,8,12,66.7,0,0,0.0,0,0,0.0,4,0,4,1,0,1,0,0,6
2021-05-11,DEN @ CHA,DEN,CHA,Away,W,00:09:57,10,4,6,66.7,0,0,0.0,2,2,100.0,1,4,5,1,0,0,0,0,18
2021-05-08,DEN vs. BKN,DEN,BKN,Home,L,00:11:15,6,3,3,100.0,0,0,0.0,0,0,0.0,1,2,3,4,0,0,2,0,9
2021-05-07,DEN @ UTA,DEN,UTA,Away,L,00:09:51,6,2,2,100.0,0,0,0.0,2,2,100.0,1,2,3,6,0,0,0,0,3
2021-05-05,DEN vs. NYK,DEN,NYK,Home,W,00:12:00,24,8,9,88.9,0,0,0.0,8,10,80.0,2,4,6,1,1,2,1,0,22
2021-05-03,DEN @ LAL,DEN,LAL,Away,L,00:12:00,8,4,9,44.4,0,3,0.0,0,0,0.0,0,2,2,2,1,0,0,1,4
2021-05-01,DEN @ LAC,DEN,LAC,Away,W,00:09:50,7,2,4,50.0,1,3,33.3,2,2,100.0,0,3,3,2,0,1,0,1,-2
2021-04-29,DEN vs. TOR,DEN,TOR,Home,W,00:11:12,8,3,4,75.0,1,1,100.0,1,1,100.0,1,1,2,2,0,0,0,1,-2
2021-04-28,DEN vs. NOP,DEN,NOP,Home,W,00:10:03,11,4,5,80.0,1,1,100.0,2,2,100.0,0,3,3,2,0,0,1,0,12
2021-04-26,DEN vs. MEM,DEN,MEM,Home,W,00:10:06,8,2,4,50.0,0,0,0.0,4,4,100.0,0,8,8,1,0,0,3,0,1
2021-04-24,DEN vs. HOU,DEN,HOU,Home,W,00:11:18,16,7,8,87.5,0,0,0.0,2,2,100.0,0,4,4,4,0,0,1,0,7
2021-04-23,DEN @ GSW,DEN,GSW,Away,L,00:10:09,6,3,3,100.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,1,-4
2021-04-21,DEN @ POR,DEN,POR,Away,W,00:11:27,6,2,2,100.0,0,0,0.0,2,2,100.0,1,1,2,4,0,0,1,0,0
2021-04-19,DEN vs. MEM,DEN,MEM,Home,W,00:10:26,6,3,4,75.0,0,1,0.0,0,0,0.0,1,2,3,2,0,0,4,0,-4
2021-04-16,DEN @ HOU,DEN,HOU,Away,W,00:09:49,10,4,5,80.0,0,0,0.0,2,2,100.0,3,3,6,1,1,0,0,1,4
2021-04-14,DEN vs. MIA,DEN,MIA,Home,W,00:11:06,9,4,5,80.0,1,1,100.0,0,0,0.0,1,0,1,3,0,1,2,0,-3
