Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,LAL @ NOP,LAL,NOP,Away,W,00:06:17,7,3,6,50.0,0,0,0.0,1,3,33.3,3,3,6,0,0,1,1,1,-7
2021-05-15,LAL @ IND,LAL,IND,Away,W,00:05:37,5,2,3,66.7,0,0,0.0,1,1,100.0,0,4,4,0,0,2,0,0,5
2021-05-12,LAL vs. HOU,LAL,HOU,Home,W,00:05:19,5,2,4,50.0,0,0,0.0,1,1,100.0,0,3,3,0,0,0,0,0,2
2021-05-11,LAL vs. NYK,LAL,NYK,Home,W,00:07:16,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,-1
2021-05-09,LAL vs. PHX,LAL,PHX,Home,W,00:04:57,2,1,2,50.0,0,0,0.0,0,0,0.0,4,1,5,0,0,0,1,1,0
2021-05-07,LAL @ POR,LAL,POR,Away,L,00:05:16,4,2,4,50.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,1,1
2021-05-06,LAL @ LAC,LAL,LAC,Away,L,00:02:04,0,0,1,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,0,1,1
2021-05-03,LAL vs. DEN,LAL,DEN,Home,W,00:04:02,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,2,0
2021-05-02,LAL vs. TOR,LAL,TOR,Home,L,00:00:29,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-3
2021-04-30,LAL vs. SAC,LAL,SAC,Home,L,00:05:40,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,1,1,2
2021-04-28,LAL @ WAS,LAL,WAS,Away,L,00:05:26,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,-6
2021-04-26,LAL @ ORL,LAL,ORL,Away,W,00:06:10,4,2,2,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-10
2021-04-24,LAL @ DAL,LAL,DAL,Away,L,00:06:23,4,2,2,100.0,0,0,0.0,0,0,0.0,0,6,6,0,0,0,0,0,8
2021-04-22,LAL @ DAL,LAL,DAL,Away,L,00:06:53,4,1,2,50.0,0,0,0.0,2,2,100.0,1,2,3,1,0,0,2,1,0
2021-04-19,LAL vs. UTA,LAL,UTA,Home,L,00:07:41,2,1,4,25.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,-3
2021-04-17,LAL vs. UTA,LAL,UTA,Home,W,00:06:00,6,2,3,66.7,0,0,0.0,2,2,100.0,0,0,0,2,0,0,0,0,5
2021-04-13,LAL @ CHA,LAL,CHA,Away,W,00:00:55,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,2,-1
2021-04-12,LAL @ NYK,LAL,NYK,Away,L,00:07:35,2,1,2,50.0,0,0,0.0,0,0,0.0,1,5,6,0,0,0,0,1,4
2021-04-10,LAL @ BKN,LAL,BKN,Away,W,00:06:45,4,1,4,25.0,0,0,0.0,2,2,100.0,1,3,4,0,0,0,1,1,-5
2021-04-08,LAL @ MIA,LAL,MIA,Away,L,00:01:31,1,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0,1,5
2021-03-31,LAL vs. MIL,LAL,MIL,Home,L,00:05:53,2,1,3,33.3,0,0,0.0,0,2,0.0,0,0,0,0,0,0,2,2,-11
2021-02-12,CLE @ POR,CLE,POR,Away,L,00:05:15,5,2,3,66.7,0,0,0.0,1,2,50.0,0,1,1,0,0,0,0,1,-4
2021-02-10,CLE @ DEN,CLE,DEN,Away,L,00:03:27,0,0,2,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,-6
2021-02-08,CLE @ PHX,CLE,PHX,Away,L,00:07:44,4,2,3,66.7,0,0,0.0,0,3,0.0,1,1,2,0,1,1,0,0,4
2021-02-06,CLE vs. MIL,CLE,MIL,Home,L,00:06:51,9,3,3,100.0,0,0,0.0,3,4,75.0,0,2,2,1,1,0,0,1,1
2021-02-05,CLE vs. MIL,CLE,MIL,Home,L,00:07:26,4,2,4,50.0,0,1,0.0,0,0,0.0,1,3,4,1,1,0,0,1,4
2021-02-03,CLE vs. LAC,CLE,LAC,Home,L,00:04:07,2,1,2,50.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,1,0,-5
2021-01-31,CLE @ MIN,CLE,MIN,Away,L,00:07:40,6,3,4,75.0,0,0,0.0,0,0,0.0,0,5,5,1,1,0,0,0,3
2021-01-29,CLE @ NYK,CLE,NYK,Away,L,00:06:51,0,0,3,0.0,0,0,0.0,0,0,0.0,2,2,4,1,0,0,1,0,-15
2021-01-27,CLE vs. DET,CLE,DET,Home,W,00:06:35,5,2,8,25.0,0,0,0.0,1,1,100.0,2,3,5,1,0,0,2,0,-3
2021-01-25,CLE vs. LAL,CLE,LAL,Home,L,00:06:27,9,4,7,57.1,0,0,0.0,1,1,100.0,3,3,6,0,0,0,0,1,-1
2021-01-24,CLE @ BOS,CLE,BOS,Away,L,00:03:04,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,1,1
2021-01-22,CLE vs. BKN,CLE,BKN,Home,W,00:07:04,2,1,3,33.3,0,0,0.0,0,0,0.0,1,2,3,1,0,1,2,2,2
2021-01-20,CLE vs. BKN,CLE,BKN,Home,W,00:06:33,3,1,2,50.0,0,0,0.0,1,1,100.0,0,1,1,1,0,0,3,1,-1
2021-01-15,CLE vs. NYK,CLE,NYK,Home,W,00:09:06,10,3,6,50.0,0,0,0.0,4,5,80.0,3,3,6,0,0,1,1,0,0
2021-01-11,CLE vs. MEM,CLE,MEM,Home,L,00:09:08,6,3,4,75.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,0,0,-2
2021-01-09,CLE @ MIL,CLE,MIL,Away,L,00:12:00,13,6,8,75.0,0,0,0.0,1,1,100.0,1,7,8,1,0,0,2,2,3
2021-01-07,CLE @ MEM,CLE,MEM,Away,W,00:08:20,2,1,3,33.3,0,0,0.0,0,0,0.0,0,2,2,0,1,0,2,0,2
