Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-04,NOP vs. GSW,NOP,GSW,Home,W,00:07:33,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,-1
2021-05-03,NOP vs. GSW,NOP,GSW,Home,L,00:08:19,7,2,3,66.7,1,2,50.0,2,2,100.0,0,1,1,1,0,0,0,1,3
2021-05-01,NOP @ MIN,NOP,MIN,Away,W,00:07:51,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,1,0,1,1,-9
2021-04-29,NOP @ OKC,NOP,OKC,Away,W,00:07:02,7,3,4,75.0,0,1,0.0,1,1,100.0,0,1,1,1,0,0,0,1,16
2021-04-28,NOP @ DEN,NOP,DEN,Away,L,00:07:26,7,3,5,60.0,1,2,50.0,0,0,0.0,0,2,2,2,0,0,2,1,3
2021-04-26,NOP vs. LAC,NOP,LAC,Home,W,00:05:51,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,-4
2021-04-24,NOP vs. SAS,NOP,SAS,Home,L,00:07:01,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-6
2021-04-22,NOP @ ORL,NOP,ORL,Away,W,00:08:19,6,1,3,33.3,0,1,0.0,4,4,100.0,0,1,1,3,0,0,1,0,17
2021-04-20,NOP vs. BKN,NOP,BKN,Home,L,00:07:39,11,4,6,66.7,1,2,50.0,2,2,100.0,0,0,0,1,0,0,0,1,-2
2021-04-18,NOP @ NYK,NOP,NYK,Away,L,00:06:36,0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,-6
2021-04-16,NOP @ WAS,NOP,WAS,Away,L,00:09:11,10,2,3,66.7,2,2,100.0,4,4,100.0,0,0,0,0,0,0,0,0,8
2021-04-14,NOP vs. NYK,NOP,NYK,Home,L,00:07:19,3,1,4,25.0,0,0,0.0,1,1,100.0,0,1,1,2,0,0,0,0,7
2021-04-12,NOP vs. SAC,NOP,SAC,Home,W,00:05:36,8,2,3,66.7,0,1,0.0,4,5,80.0,0,0,0,2,0,0,0,0,2
2021-04-11,NOP @ CLE,NOP,CLE,Away,W,00:05:57,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,2
2021-04-09,NOP vs. PHI,NOP,PHI,Home,W,00:07:30,3,1,6,16.7,1,3,33.3,0,0,0.0,0,3,3,0,1,0,1,0,-3
2021-03-29,NOP @ BOS,NOP,BOS,Away,W,00:07:57,1,0,2,0.0,0,1,0.0,1,2,50.0,0,1,1,5,0,0,1,1,5
2021-03-27,NOP vs. DAL,NOP,DAL,Home,W,00:07:59,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,-11
2021-03-26,NOP vs. DEN,NOP,DEN,Home,L,00:08:23,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,-4
2021-03-23,NOP vs. LAL,NOP,LAL,Home,W,00:08:18,9,3,5,60.0,1,2,50.0,2,2,100.0,0,0,0,0,0,0,0,0,3
