Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-13,ATL vs. ORL,ATL,ORL,Home,W,8.02,6,2,4,50.0,2,3,66.7,0,0,0.0,0,2,2,0,0,0,1,4,9
2021-05-12,ATL vs. WAS,ATL,WAS,Home,W,9.07,4,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,1,-8
2021-05-10,ATL vs. WAS,ATL,WAS,Home,W,8.08,9,3,5,60.0,0,0,0.0,3,3,100.0,1,1,2,1,0,2,0,1,16
2021-05-06,ATL @ IND,ATL,IND,Away,L,8.43,6,2,3,66.7,0,1,0.0,2,4,50.0,1,2,3,0,0,0,1,1,8
2021-05-05,ATL vs. PHX,ATL,PHX,Home,W,8.26,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,7
2021-05-03,ATL vs. POR,ATL,POR,Home,W,4.43,6,2,2,100.0,2,2,100.0,0,0,0.0,0,3,3,0,0,0,1,1,4
2021-05-01,ATL vs. CHI,ATL,CHI,Home,W,9.59,6,2,5,40.0,2,4,50.0,0,0,0.0,0,4,4,0,1,1,0,0,14
2021-04-30,ATL @ PHI,ATL,PHI,Away,L,8.08,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,2,0,-2
2021-04-28,ATL @ PHI,ATL,PHI,Away,L,9.0,10,3,3,100.0,1,1,100.0,3,4,75.0,0,2,2,1,0,0,0,0,3
2021-04-26,ATL @ DET,ATL,DET,Away,L,9.4,6,2,4,50.0,0,1,0.0,2,2,100.0,1,3,4,0,0,1,0,0,-2
2021-04-25,ATL vs. MIL,ATL,MIL,Home,W,8.22,8,3,4,75.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,1,0,1
2021-04-23,ATL vs. MIA,ATL,MIA,Home,W,7.57,4,2,3,66.7,0,0,0.0,0,0,0.0,1,2,3,1,0,1,1,0,1
2021-04-21,ATL @ NYK,ATL,NYK,Away,L,4.3,6,2,2,100.0,1,1,100.0,1,1,100.0,0,1,1,0,0,0,1,1,2
2021-04-20,ATL vs. ORL,ATL,ORL,Home,W,4.12,0,0,2,0.0,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,1,-7
