Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-11,PHI @ IND,PHI,IND,Away,L,00:06:53,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,2,4,-13
2021-05-07,PHI vs. NOP,PHI,NOP,Home,W,00:09:30,2,1,2,50.0,0,0,0.0,0,0,0.0,1,3,4,2,0,0,1,0,6
2021-05-03,PHI @ CHI,PHI,CHI,Away,W,00:08:16,5,1,2,50.0,0,0,0.0,3,4,75.0,0,3,3,0,2,0,0,1,5
2021-05-02,PHI @ SAS,PHI,SAS,Away,W,00:05:22,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,-4
2021-04-16,PHI vs. LAC,PHI,LAC,Home,W,00:09:51,4,2,2,100.0,0,0,0.0,0,1,0.0,0,1,1,2,0,0,1,1,-1
2021-04-14,PHI vs. BKN,PHI,BKN,Home,W,00:04:41,4,0,1,0.0,0,0,0.0,4,6,66.7,0,1,1,0,0,1,0,2,-6
2021-04-10,PHI @ OKC,PHI,OKC,Away,W,00:02:35,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,6
2021-04-09,PHI @ NOP,PHI,NOP,Away,L,00:09:18,2,0,2,0.0,0,0,0.0,2,4,50.0,0,2,2,1,2,1,1,1,6
2021-04-06,PHI @ BOS,PHI,BOS,Away,W,00:07:26,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,2,0,0,1,-4
2021-04-03,PHI vs. MIN,PHI,MIN,Home,W,00:07:38,1,0,1,0.0,0,0,0.0,1,2,50.0,1,2,3,2,0,0,0,0,1
2021-03-27,PHI @ LAC,PHI,LAC,Away,L,00:00:50,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,-1
2021-03-25,PHI @ LAL,PHI,LAL,Away,W,00:06:38,2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,1,2,-6
2021-03-23,PHI @ GSW,PHI,GSW,Away,W,00:08:31,4,1,4,25.0,0,0,0.0,2,2,100.0,1,2,3,0,0,0,0,1,14
2021-03-21,PHI @ NYK,PHI,NYK,Away,W,00:07:17,2,1,1,100.0,0,0,0.0,0,2,0.0,0,2,2,0,1,0,3,0,-2
2021-03-17,PHI vs. MIL,PHI,MIL,Home,L,00:10:46,2,1,3,33.3,0,0,0.0,0,0,0.0,2,2,4,1,1,1,1,0,-9
2021-03-16,PHI vs. NYK,PHI,NYK,Home,W,00:07:29,4,2,5,40.0,0,0,0.0,0,0,0.0,3,5,8,0,0,0,0,0,7
2021-03-03,PHI vs. UTA,PHI,UTA,Home,W,00:08:39,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-3
2021-02-27,PHI vs. CLE,PHI,CLE,Home,L,00:05:43,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,1
2021-02-23,PHI @ TOR,PHI,TOR,Away,W,00:12:00,5,1,3,33.3,0,0,0.0,3,4,75.0,2,2,4,3,0,0,0,1,-7
2021-02-21,PHI @ TOR,PHI,TOR,Away,L,00:12:00,4,1,1,100.0,0,0,0.0,2,4,50.0,2,2,4,2,0,0,0,2,-8
2021-02-15,PHI @ UTA,PHI,UTA,Away,L,00:12:00,8,3,8,37.5,0,0,0.0,2,2,100.0,0,4,4,4,0,0,1,1,1
2021-02-13,PHI @ PHX,PHI,PHX,Away,L,00:06:04,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,1,1,0,0,2,-1
2021-02-11,PHI @ POR,PHI,POR,Away,L,00:08:28,4,2,2,100.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,1,1
2021-02-09,PHI @ SAC,PHI,SAC,Away,W,00:07:40,1,0,4,0.0,0,0,0.0,1,2,50.0,1,0,1,3,0,0,0,0,8
2021-02-06,PHI vs. BKN,PHI,BKN,Home,W,00:04:24,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,4,3,-2
2021-02-03,PHI @ CHA,PHI,CHA,Away,W,00:07:00,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,1,1,-4
2021-01-31,PHI @ IND,PHI,IND,Away,W,00:05:05,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,16
2021-01-27,PHI vs. LAL,PHI,LAL,Home,W,00:10:42,4,2,4,50.0,0,0,0.0,0,0,0.0,1,3,4,2,0,1,0,0,-8
2021-01-25,PHI @ DET,PHI,DET,Away,L,00:07:22,5,2,4,50.0,0,0,0.0,1,3,33.3,2,0,2,2,1,0,1,0,0
2021-01-23,PHI @ DET,PHI,DET,Away,W,00:06:54,3,0,0,0.0,0,0,0.0,3,4,75.0,0,1,1,0,0,0,1,0,0
2021-01-22,PHI vs. BOS,PHI,BOS,Home,W,00:10:03,11,5,7,71.4,0,0,0.0,1,1,100.0,1,1,2,3,1,0,1,3,3
2021-01-20,PHI vs. BOS,PHI,BOS,Home,W,00:04:28,2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,1,0,0,0,6
2021-01-16,PHI @ MEM,PHI,MEM,Away,L,00:06:47,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,1,0,1,1,1,8
2021-01-14,PHI vs. MIA,PHI,MIA,Home,W,00:06:43,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,1,0,1,1,0
2021-01-12,PHI vs. MIA,PHI,MIA,Home,W,00:07:37,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,3,1,0,1,2,4
2021-01-07,PHI @ BKN,PHI,BKN,Away,L,00:08:29,1,0,2,0.0,0,0,0.0,1,2,50.0,1,0,1,0,1,0,0,2,0
2021-01-06,PHI vs. WAS,PHI,WAS,Home,W,00:12:00,4,2,4,50.0,0,0,0.0,0,1,0.0,0,1,1,5,1,0,1,2,-5
2021-01-04,PHI vs. CHA,PHI,CHA,Home,W,00:06:25,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,0,8
2021-01-02,PHI vs. CHA,PHI,CHA,Home,W,00:07:53,4,2,3,66.7,0,0,0.0,0,0,0.0,0,4,4,0,1,0,1,2,2
2020-12-29,PHI vs. TOR,PHI,TOR,Home,W,00:07:32,1,0,0,0.0,0,0,0.0,1,2,50.0,0,2,2,0,0,1,0,0,12
2020-12-27,PHI @ CLE,PHI,CLE,Away,L,00:02:36,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-5
