Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-13,POR @ PHX,POR,PHX,Away,L,00:12:00,24,9,10,90.0,1,2,50.0,5,6,83.3,0,1,1,1,0,0,0,0,7
2021-05-12,POR @ UTA,POR,UTA,Away,W,00:05:25,4,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,3
2021-05-10,POR vs. HOU,POR,HOU,Home,W,00:05:41,8,3,5,60.0,0,2,0.0,2,2,100.0,0,1,1,1,0,0,0,1,6
2021-05-07,POR vs. LAL,POR,LAL,Home,W,00:07:21,10,2,2,100.0,2,2,100.0,4,4,100.0,0,1,1,1,1,0,1,0,1
2021-05-03,POR @ ATL,POR,ATL,Away,L,00:02:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,2,0,-5
2021-05-02,POR @ BOS,POR,BOS,Away,W,00:07:56,3,0,1,0.0,0,1,0.0,3,3,100.0,0,2,2,1,0,0,2,2,9
2021-04-30,POR @ BKN,POR,BKN,Away,W,00:04:20,6,2,2,100.0,2,2,100.0,0,0,0.0,0,1,1,1,0,0,0,0,7
2021-04-25,POR vs. MEM,POR,MEM,Home,L,00:07:21,5,2,9,22.2,1,6,16.7,0,0,0.0,1,0,1,2,0,0,0,1,-1
2021-04-23,POR vs. MEM,POR,MEM,Home,L,00:08:56,4,1,6,16.7,0,4,0.0,2,4,50.0,0,2,2,2,0,0,1,1,-4
2021-04-21,POR vs. DEN,POR,DEN,Home,L,00:07:42,4,2,6,33.3,0,2,0.0,0,0,0.0,0,2,2,1,1,0,0,0,0
2021-04-13,POR vs. BOS,POR,BOS,Home,L,00:08:22,11,3,8,37.5,3,5,60.0,2,2,100.0,0,3,3,2,0,0,0,0,2
2021-04-11,POR vs. MIA,POR,MIA,Home,L,00:07:26,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-1
2021-04-10,POR vs. DET,POR,DET,Home,W,00:04:06,2,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,1,0,0,0,0,-3
2021-04-08,POR @ UTA,POR,UTA,Away,L,00:03:21,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-1
2021-04-06,POR @ LAC,POR,LAC,Away,L,00:04:58,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,-8
