Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-01-29,WAS @ MEM,WAS,MEM,Away,L,35.14,9,2,11,18.2,0,1,0.0,5,7,71.4,0,2,2,12,1,1,2,2,-13
2022-01-25,WAS vs. LAC,WAS,LAC,Home,L,39.37,23,8,15,53.3,2,5,40.0,5,6,83.3,1,8,9,6,1,0,5,4,1
2022-01-23,WAS vs. BOS,WAS,BOS,Home,L,31.22,19,7,17,41.2,0,3,0.0,5,5,100.0,1,4,5,7,2,0,2,0,-25
2022-01-21,WAS vs. TOR,WAS,TOR,Home,L,39.32,25,10,19,52.6,1,3,33.3,4,5,80.0,2,3,5,8,0,0,9,3,-1
2022-01-19,WAS vs. BKN,WAS,BKN,Home,L,36.36,23,7,18,38.9,3,7,42.9,6,8,75.0,0,4,4,9,2,1,1,3,-11
2022-01-17,WAS vs. PHI,WAS,PHI,Home,W,32.39,13,5,12,41.7,1,3,33.3,2,3,66.7,1,4,5,6,0,1,2,0,20
2022-01-09,WAS @ ORL,WAS,ORL,Away,W,36.34,20,7,22,31.8,3,7,42.9,3,4,75.0,1,5,6,7,0,1,2,3,-2
2022-01-07,WAS @ CHI,WAS,CHI,Away,L,33.53,26,9,14,64.3,2,4,50.0,6,6,100.0,0,3,3,6,1,0,5,3,-18
2022-01-05,WAS vs. HOU,WAS,HOU,Home,L,29.3,27,9,25,36.0,3,8,37.5,6,6,100.0,1,4,5,5,1,1,3,6,1
2022-01-03,WAS vs. CHA,WAS,CHA,Home,W,43.04,35,11,22,50.0,3,8,37.5,10,11,90.9,1,6,7,8,0,1,4,3,4
2022-01-01,WAS vs. CHI,WAS,CHI,Home,L,42.42,27,8,20,40.0,0,4,0.0,11,13,84.6,0,2,2,17,4,0,2,2,3
2021-12-30,WAS vs. CLE,WAS,CLE,Home,W,33.44,29,13,23,56.5,2,5,40.0,1,1,100.0,1,5,6,10,1,0,2,2,16
2021-12-18,WAS @ UTA,WAS,UTA,Away,W,36.17,37,13,24,54.2,2,5,40.0,9,10,90.0,2,3,5,7,0,1,2,1,0
2021-12-16,WAS @ PHX,WAS,PHX,Away,L,31.11,26,11,18,61.1,2,3,66.7,2,4,50.0,1,2,3,5,1,0,5,3,-17
2021-12-15,WAS @ SAC,WAS,SAC,Away,L,36.15,30,13,24,54.2,2,6,33.3,2,4,50.0,2,3,5,5,1,0,3,4,-9
2021-12-13,WAS @ DEN,WAS,DEN,Away,L,38.47,19,8,19,42.1,2,5,40.0,1,3,33.3,1,2,3,10,0,1,2,4,-13
2021-12-11,WAS vs. UTA,WAS,UTA,Home,L,33.34,21,9,19,47.4,1,3,33.3,2,2,100.0,1,4,5,5,1,0,6,2,-17
2021-12-08,WAS @ DET,WAS,DET,Away,W,42.43,25,10,19,52.6,0,2,0.0,5,8,62.5,2,4,6,3,1,0,4,4,-2
2021-12-06,WAS @ IND,WAS,IND,Away,L,39.15,34,12,19,63.2,1,3,33.3,9,10,90.0,1,1,2,4,0,0,1,3,-9
2021-12-05,WAS @ TOR,WAS,TOR,Away,L,34.45,14,4,12,33.3,1,3,33.3,5,7,71.4,0,1,1,7,0,0,0,0,0
2021-12-03,WAS vs. CLE,WAS,CLE,Home,L,26.59,14,6,17,35.3,0,3,0.0,2,4,50.0,1,2,3,1,0,1,1,1,-26
2021-12-01,WAS vs. MIN,WAS,MIN,Home,W,38.04,19,8,20,40.0,1,5,20.0,2,4,50.0,3,3,6,9,1,0,3,0,10
2021-11-29,WAS @ SAS,WAS,SAS,Away,L,35.53,18,8,21,38.1,1,5,20.0,1,2,50.0,1,1,2,8,0,0,2,1,-11
2021-11-27,WAS @ DAL,WAS,DAL,Away,W,37.32,26,10,14,71.4,1,1,100.0,5,6,83.3,0,5,5,7,2,0,3,4,15
2021-11-26,WAS @ OKC,WAS,OKC,Away,W,37.12,20,8,18,44.4,2,7,28.6,2,2,100.0,0,4,4,6,0,0,3,3,10
2021-11-24,WAS @ NOP,WAS,NOP,Away,L,28.29,23,11,20,55.0,0,4,0.0,1,3,33.3,2,3,5,1,0,0,3,3,-18
2021-11-22,WAS vs. CHA,WAS,CHA,Home,L,39.23,18,5,18,27.8,2,7,28.6,6,6,100.0,3,4,7,9,1,1,4,2,-5
2021-11-20,WAS vs. MIA,WAS,MIA,Home,W,36.55,21,8,17,47.1,1,7,14.3,4,4,100.0,1,3,4,9,0,0,6,5,1
2021-11-18,WAS @ MIA,WAS,MIA,Away,L,36.19,30,11,18,61.1,3,8,37.5,5,6,83.3,0,6,6,5,1,0,6,1,-9
2021-11-17,WAS @ CHA,WAS,CHA,Away,L,35.07,24,9,20,45.0,5,11,45.5,1,1,100.0,0,3,3,7,2,0,2,3,-9
2021-11-10,WAS @ CLE,WAS,CLE,Away,W,37.21,15,4,19,21.1,1,5,20.0,6,6,100.0,1,6,7,7,0,0,4,5,7
2021-11-07,WAS vs. MIL,WAS,MIL,Home,W,37.23,30,14,22,63.6,2,3,66.7,0,1,0.0,0,5,5,8,0,1,6,2,7
2021-11-05,WAS vs. MEM,WAS,MEM,Home,W,27.18,17,7,12,58.3,0,3,0.0,3,3,100.0,0,3,3,7,0,0,5,1,16
2021-11-03,WAS vs. TOR,WAS,TOR,Home,L,38.35,25,8,18,44.4,2,5,40.0,7,7,100.0,2,5,7,7,1,1,2,0,-6
2021-11-01,WAS @ ATL,WAS,ATL,Away,L,34.15,24,10,21,47.6,3,11,27.3,1,1,100.0,0,2,2,3,2,0,4,2,-19
