Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-10,ATL @ HOU,ATL,HOU,Away,W,23.2,18,7,10,70.0,0,0,0.0,4,4,100.0,7,6,13,0,1,2,0,2,11
2022-04-08,ATL @ MIA,ATL,MIA,Away,L,26.55,17,8,11,72.7,0,0,0.0,1,3,33.3,6,8,14,0,0,0,0,2,0
2022-04-06,ATL vs. WAS,ATL,WAS,Home,W,25.09,19,9,11,81.8,0,0,0.0,1,2,50.0,2,5,7,0,4,0,0,1,4
2022-04-05,ATL @ TOR,ATL,TOR,Away,L,32.3,10,5,8,62.5,0,0,0.0,0,1,0.0,3,11,14,0,2,0,0,3,5
2022-04-02,ATL vs. BKN,ATL,BKN,Home,W,30.06,9,4,6,66.7,0,0,0.0,1,4,25.0,4,8,12,1,2,1,0,2,-1
2022-03-31,ATL vs. CLE,ATL,CLE,Home,W,23.02,12,5,9,55.6,0,0,0.0,2,5,40.0,6,8,14,2,2,3,0,2,24
2022-03-30,ATL @ OKC,ATL,OKC,Away,W,20.06,4,1,2,50.0,0,0,0.0,2,2,100.0,0,11,11,1,0,1,1,4,13
2022-03-28,ATL @ IND,ATL,IND,Away,W,30.43,22,11,17,64.7,0,0,0.0,0,0,0.0,5,10,15,3,0,0,2,0,-5
2022-03-25,ATL vs. GSW,ATL,GSW,Home,W,30.58,19,9,11,81.8,0,0,0.0,1,2,50.0,5,8,13,1,1,1,2,1,11
2022-03-23,ATL @ DET,ATL,DET,Away,L,17.27,1,0,5,0.0,0,0,0.0,1,2,50.0,3,6,9,0,0,0,1,1,-16
2022-03-22,ATL @ NYK,ATL,NYK,Away,W,28.46,2,1,1,100.0,0,0,0.0,0,0,0.0,1,5,6,2,0,1,0,2,11
2022-03-20,ATL vs. NOP,ATL,NOP,Home,L,30.46,14,7,10,70.0,0,0,0.0,0,2,0.0,3,7,10,0,0,1,1,3,-12
2022-03-18,ATL vs. MEM,ATL,MEM,Home,W,27.47,18,9,10,90.0,0,0,0.0,0,0,0.0,2,5,7,2,1,1,1,3,12
2022-03-16,ATL @ CHA,ATL,CHA,Away,L,30.4,17,7,14,50.0,0,0,0.0,3,3,100.0,7,8,15,1,1,0,1,2,-1
2022-03-14,ATL vs. POR,ATL,POR,Home,W,28.07,8,4,12,33.3,0,0,0.0,0,0,0.0,5,11,16,0,1,2,0,4,13
2022-03-13,ATL vs. IND,ATL,IND,Home,W,21.38,10,5,5,100.0,0,0,0.0,0,0,0.0,1,5,6,3,3,1,0,5,-9
2022-03-11,ATL vs. LAC,ATL,LAC,Home,W,25.56,14,7,9,77.8,0,0,0.0,0,0,0.0,5,6,11,2,1,2,2,1,5
2022-03-09,ATL @ MIL,ATL,MIL,Away,L,19.53,11,5,5,100.0,0,0,0.0,1,5,20.0,2,7,9,0,0,0,1,5,8
2022-03-07,ATL @ DET,ATL,DET,Away,L,32.46,9,4,6,66.7,0,0,0.0,1,2,50.0,5,7,12,1,0,2,0,2,2
2022-03-04,ATL @ WAS,ATL,WAS,Away,W,23.12,12,5,9,55.6,0,0,0.0,2,4,50.0,8,4,12,0,0,3,0,2,-4
2022-03-03,ATL vs. CHI,ATL,CHI,Home,W,33.09,12,5,5,100.0,0,0,0.0,2,2,100.0,2,9,11,3,0,0,0,2,19
2022-03-01,ATL @ BOS,ATL,BOS,Away,L,29.36,5,2,4,50.0,0,0,0.0,1,4,25.0,3,8,11,0,1,0,1,1,-16
2022-02-26,ATL vs. TOR,ATL,TOR,Home,W,18.03,8,4,5,80.0,0,0,0.0,0,0,0.0,2,7,9,0,0,2,0,3,20
2022-02-24,ATL @ CHI,ATL,CHI,Away,L,29.1,14,7,11,63.6,0,0,0.0,0,0,0.0,6,11,17,0,0,2,0,1,-5
2022-02-16,ATL @ ORL,ATL,ORL,Away,W,23.03,8,3,5,60.0,0,0,0.0,2,4,50.0,3,6,9,1,0,2,0,2,14
2022-02-15,ATL vs. CLE,ATL,CLE,Home,W,30.33,5,2,5,40.0,0,0,0.0,1,2,50.0,1,6,7,3,0,2,2,2,2
2022-02-13,ATL @ BOS,ATL,BOS,Away,L,31.26,8,3,4,75.0,0,0,0.0,2,2,100.0,2,15,17,0,0,1,1,2,-4
2022-02-11,ATL vs. SAS,ATL,SAS,Home,L,21.18,13,6,6,100.0,0,0,0.0,1,2,50.0,4,7,11,0,0,1,3,0,-36
2022-02-08,ATL vs. IND,ATL,IND,Home,W,21.08,6,3,4,75.0,0,0,0.0,0,2,0.0,3,9,12,3,3,0,0,2,16
2022-02-06,ATL @ DAL,ATL,DAL,Away,L,20.12,8,4,8,50.0,0,0,0.0,0,0,0.0,4,5,9,0,0,1,2,2,-5
2022-02-04,ATL @ TOR,ATL,TOR,Away,L,18.45,8,4,7,57.1,0,0,0.0,0,0,0.0,4,5,9,0,0,1,0,2,2
2022-02-03,ATL vs. PHX,ATL,PHX,Home,W,24.55,6,2,4,50.0,0,0,0.0,2,2,100.0,1,11,12,4,0,1,0,0,1
2022-01-31,ATL vs. TOR,ATL,TOR,Home,L,23.24,6,3,4,75.0,0,0,0.0,0,0,0.0,1,7,8,1,0,1,1,2,-8
2022-01-30,ATL vs. LAL,ATL,LAL,Home,W,23.45,15,6,8,75.0,0,0,0.0,3,7,42.9,5,4,9,3,0,0,0,1,-11
2022-01-28,ATL vs. BOS,ATL,BOS,Home,W,22.32,6,3,5,60.0,0,0,0.0,0,2,0.0,3,4,7,0,0,2,0,3,1
2022-01-26,ATL vs. SAC,ATL,SAC,Home,W,20.46,8,4,4,100.0,0,0,0.0,0,0,0.0,3,5,8,1,1,1,0,1,7
2022-01-23,ATL @ CHA,ATL,CHA,Away,W,25.58,7,3,7,42.9,0,0,0.0,1,2,50.0,0,8,8,0,2,1,1,3,16
2022-01-21,ATL vs. MIA,ATL,MIA,Home,W,25.39,6,3,3,100.0,0,0,0.0,0,0,0.0,1,5,6,2,0,0,0,0,15
2022-01-07,ATL @ LAL,ATL,LAL,Away,L,22.51,9,4,10,40.0,0,0,0.0,1,5,20.0,4,8,12,0,1,0,0,3,-12
2022-01-05,ATL @ SAC,ATL,SAC,Away,W,26.11,11,5,9,55.6,0,0,0.0,1,4,25.0,3,11,14,2,1,2,1,3,5
2022-01-03,ATL @ POR,ATL,POR,Away,L,31.31,22,10,10,100.0,0,0,0.0,2,5,40.0,3,8,11,1,0,0,0,4,-4
2021-12-31,ATL @ CLE,ATL,CLE,Away,W,39.53,18,9,17,52.9,0,0,0.0,0,0,0.0,11,12,23,2,1,4,0,3,6
2021-12-29,ATL @ CHI,ATL,CHI,Away,L,29.32,18,7,14,50.0,0,0,0.0,4,4,100.0,5,10,15,3,0,0,0,4,-15
2021-12-27,ATL vs. CHI,ATL,CHI,Home,L,26.29,8,4,8,50.0,0,0,0.0,0,2,0.0,6,10,16,3,0,1,1,2,-13
2021-12-25,ATL @ NYK,ATL,NYK,Away,L,27.46,6,2,7,28.6,0,0,0.0,2,6,33.3,4,5,9,1,0,2,1,3,-14
2021-12-17,ATL vs. DEN,ATL,DEN,Home,L,24.1,15,7,10,70.0,0,0,0.0,1,5,20.0,4,7,11,1,0,3,0,0,2
2021-12-15,ATL @ ORL,ATL,ORL,Away,W,27.08,7,3,7,42.9,0,0,0.0,1,1,100.0,2,9,11,4,1,2,0,2,21
2021-12-13,ATL vs. HOU,ATL,HOU,Home,L,31.55,12,5,8,62.5,0,0,0.0,2,4,50.0,3,13,16,1,1,2,1,3,2
2021-12-10,ATL vs. BKN,ATL,BKN,Home,L,34.01,14,7,11,63.6,0,0,0.0,0,0,0.0,5,11,16,1,2,2,1,2,-4
