Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-05,MIN vs. WAS,MIN,WAS,Home,L,00:28:38,17,7,14,50.0,2,6,33.3,1,2,50.0,0,3,3,11,0,0,2,1,-15
2022-04-03,MIN @ HOU,MIN,HOU,Away,W,00:34:39,22,7,16,43.8,4,11,36.4,4,4,100.0,0,1,1,9,4,0,5,3,-4
2022-04-01,MIN @ DEN,MIN,DEN,Away,W,00:36:33,24,6,12,50.0,2,5,40.0,10,11,90.9,1,2,3,4,1,0,3,1,1
2022-03-30,MIN @ TOR,MIN,TOR,Away,L,00:27:44,13,3,15,20.0,1,7,14.3,6,8,75.0,0,4,4,3,0,0,1,2,-22
2022-03-27,MIN @ BOS,MIN,BOS,Away,L,00:30:39,4,1,6,16.7,0,3,0.0,2,2,100.0,0,1,1,6,2,0,2,2,-19
2022-03-25,MIN vs. DAL,MIN,DAL,Home,W,00:30:39,15,6,16,37.5,1,6,16.7,2,3,66.7,0,5,5,8,0,0,1,2,12
2022-03-23,MIN vs. PHX,MIN,PHX,Home,L,00:27:02,6,3,9,33.3,0,5,0.0,0,1,0.0,1,2,3,7,0,0,1,1,-14
2022-03-21,MIN @ DAL,MIN,DAL,Away,L,00:28:59,18,6,16,37.5,2,6,33.3,4,4,100.0,0,5,5,4,1,0,2,1,-10
2022-03-19,MIN vs. MIL,MIN,MIL,Home,W,00:30:13,16,6,12,50.0,4,8,50.0,0,0,0.0,1,2,3,9,0,0,5,1,15
2022-03-16,MIN vs. LAL,MIN,LAL,Home,W,00:30:25,6,2,11,18.2,1,7,14.3,1,3,33.3,0,1,1,6,0,0,1,1,18
2022-03-14,MIN @ SAS,MIN,SAS,Away,W,00:29:10,19,8,12,66.7,3,5,60.0,0,0,0.0,1,1,2,6,3,0,1,1,15
2022-03-12,MIN @ MIA,MIN,MIA,Away,W,00:33:46,14,3,13,23.1,1,6,16.7,7,7,100.0,0,6,6,9,1,0,5,0,17
2022-03-11,MIN @ ORL,MIN,ORL,Away,L,00:39:20,13,4,12,33.3,3,8,37.5,2,2,100.0,0,2,2,7,0,0,2,1,-4
2022-03-09,MIN vs. OKC,MIN,OKC,Home,W,00:29:12,6,2,7,28.6,2,7,28.6,0,0,0.0,0,3,3,12,1,0,2,2,5
2022-03-05,MIN vs. POR,MIN,POR,Home,W,00:35:09,14,5,12,41.7,2,6,33.3,2,2,100.0,1,2,3,15,1,0,2,4,9
2022-03-04,MIN @ OKC,MIN,OKC,Away,W,00:25:25,17,5,11,45.5,2,7,28.6,5,5,100.0,1,1,2,7,3,0,2,1,13
2022-03-01,MIN vs. GSW,MIN,GSW,Home,W,00:29:24,22,8,17,47.1,2,7,28.6,4,4,100.0,1,2,3,7,2,0,4,1,0
2022-02-28,MIN @ CLE,MIN,CLE,Away,W,00:34:47,25,8,17,47.1,4,8,50.0,5,6,83.3,1,3,4,3,1,1,4,3,7
2022-02-25,MIN vs. PHI,MIN,PHI,Home,L,00:28:02,21,7,12,58.3,2,7,28.6,5,5,100.0,0,3,3,3,0,0,2,2,-29
2022-02-24,MIN vs. MEM,MIN,MEM,Home,W,00:38:19,37,13,21,61.9,3,8,37.5,8,9,88.9,0,2,2,9,1,0,4,2,7
2022-02-16,MIN vs. TOR,MIN,TOR,Home,L,00:32:24,8,2,11,18.2,2,8,25.0,2,3,66.7,1,2,3,7,0,1,1,2,-11
2022-02-15,MIN vs. CHA,MIN,CHA,Home,W,00:37:22,18,5,20,25.0,4,14,28.6,4,7,57.1,1,3,4,11,0,0,2,3,17
2022-02-13,MIN @ IND,MIN,IND,Away,W,00:35:28,23,8,14,57.1,3,6,50.0,4,4,100.0,0,2,2,6,1,0,1,3,-2
2022-02-11,MIN @ CHI,MIN,CHI,Away,L,00:28:52,18,6,13,46.2,2,6,33.3,4,4,100.0,0,1,1,3,1,0,3,2,-12
2022-02-09,MIN @ SAC,MIN,SAC,Away,L,00:36:01,29,10,20,50.0,6,13,46.2,3,4,75.0,2,2,4,10,1,1,4,3,0
2022-02-08,MIN @ SAC,MIN,SAC,Away,W,00:23:36,14,6,15,40.0,1,7,14.3,1,2,50.0,0,1,1,7,1,0,1,1,12
2022-02-06,MIN vs. DET,MIN,DET,Home,W,00:30:19,22,7,18,38.9,3,7,42.9,5,5,100.0,1,4,5,8,1,0,1,1,11
2022-01-27,MIN @ GSW,MIN,GSW,Away,L,00:19:49,8,3,10,30.0,2,7,28.6,0,2,0.0,0,4,4,5,1,0,1,1,1
2022-01-25,MIN @ POR,MIN,POR,Away,W,00:35:13,22,7,16,43.8,3,9,33.3,5,6,83.3,0,2,2,4,0,0,4,2,-7
2022-01-23,MIN vs. BKN,MIN,BKN,Home,W,00:31:23,23,7,13,53.8,2,6,33.3,7,7,100.0,0,5,5,10,1,0,2,2,9
2022-01-19,MIN @ ATL,MIN,ATL,Away,L,00:34:56,31,10,18,55.6,5,13,38.5,6,9,66.7,0,2,2,5,2,1,4,2,2
2022-01-18,MIN @ NYK,MIN,NYK,Away,W,00:25:06,17,5,11,45.5,4,8,50.0,3,3,100.0,0,2,2,4,1,1,3,4,-10
2022-01-16,MIN vs. GSW,MIN,GSW,Home,W,00:22:25,7,2,9,22.2,0,5,0.0,3,3,100.0,0,3,3,12,2,0,5,1,-4
2022-01-13,MIN @ MEM,MIN,MEM,Away,L,00:34:36,29,11,19,57.9,6,11,54.5,1,2,50.0,0,3,3,6,0,1,2,6,-3
2022-01-11,MIN @ NOP,MIN,NOP,Away,L,00:33:38,18,6,15,40.0,4,10,40.0,2,2,100.0,0,1,1,10,1,0,2,4,11
2022-01-09,MIN @ HOU,MIN,HOU,Away,W,00:33:01,22,8,14,57.1,5,9,55.6,1,1,100.0,0,5,5,10,1,0,1,3,12
2022-01-07,MIN @ OKC,MIN,OKC,Away,W,00:31:07,27,11,12,91.7,4,5,80.0,1,1,100.0,0,1,1,12,2,0,3,0,29
2022-01-05,MIN vs. OKC,MIN,OKC,Home,W,00:30:13,6,3,12,25.0,0,5,0.0,0,0,0.0,0,2,2,3,1,0,3,0,1
2021-12-23,MIN @ UTA,MIN,UTA,Away,L,00:41:09,19,7,20,35.0,4,8,50.0,1,1,100.0,1,6,7,14,0,0,3,3,-5
2021-12-21,MIN @ DAL,MIN,DAL,Away,L,00:35:46,14,4,18,22.2,1,11,9.1,5,5,100.0,0,1,1,12,1,0,3,3,-12
2021-12-19,MIN vs. DAL,MIN,DAL,Home,W,00:34:41,22,8,16,50.0,4,7,57.1,2,2,100.0,0,2,2,3,0,0,1,2,-4
2021-12-17,MIN vs. LAL,MIN,LAL,Home,W,00:27:22,17,6,15,40.0,3,8,37.5,2,5,40.0,0,3,3,6,3,0,4,2,7
2021-12-15,MIN @ DEN,MIN,DEN,Away,W,00:33:00,16,6,12,50.0,3,8,37.5,1,2,50.0,0,8,8,7,0,0,2,0,20
2021-12-12,MIN @ POR,MIN,POR,Away,W,00:35:01,18,5,12,41.7,4,8,50.0,4,6,66.7,1,4,5,5,2,0,2,2,20
2021-12-03,MIN @ BKN,MIN,BKN,Away,L,00:34:18,21,6,22,27.3,3,10,30.0,6,6,100.0,0,3,3,11,1,0,4,3,-16
2021-12-01,MIN @ WAS,MIN,WAS,Away,L,00:39:02,10,3,18,16.7,1,12,8.3,3,4,75.0,1,4,5,9,0,2,3,1,-7
2021-11-29,MIN vs. IND,MIN,IND,Home,W,00:38:41,21,7,17,41.2,3,9,33.3,4,4,100.0,2,6,8,11,1,0,1,4,10
2021-11-27,MIN @ PHI,MIN,PHI,Away,W,00:43:50,35,13,25,52.0,6,10,60.0,3,4,75.0,0,4,4,8,2,2,5,4,1
2021-11-26,MIN @ CHA,MIN,CHA,Away,L,00:28:29,18,8,15,53.3,1,4,25.0,1,2,50.0,1,5,6,5,0,0,2,2,-7
2021-11-24,MIN vs. MIA,MIN,MIA,Home,W,00:36:36,20,6,14,42.9,4,10,40.0,4,4,100.0,0,3,3,6,1,2,4,0,9
