Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-08,CHI vs. CHA,CHI,CHA,Home,L,00:30:19,17,7,13,53.8,0,1,0.0,3,4,75.0,0,1,1,1,0,0,5,2,-31
2022-04-06,CHI vs. BOS,CHI,BOS,Home,L,00:32:59,16,6,16,37.5,1,1,100.0,3,4,75.0,0,2,2,5,2,0,2,2,-18
2022-04-05,CHI vs. MIL,CHI,MIL,Home,L,00:36:35,40,16,26,61.5,0,2,0.0,8,8,100.0,2,1,3,6,1,0,4,5,-17
2022-04-02,CHI vs. MIA,CHI,MIA,Home,L,00:37:41,26,6,18,33.3,1,4,25.0,13,13,100.0,0,1,1,2,1,0,0,1,-19
2022-03-31,CHI vs. LAC,CHI,LAC,Home,W,00:43:24,50,17,26,65.4,2,2,100.0,14,15,93.3,0,5,5,6,1,0,2,4,19
2022-03-29,CHI @ WAS,CHI,WAS,Away,W,00:36:16,32,12,27,44.4,1,2,50.0,7,7,100.0,0,7,7,4,2,0,1,3,10
2022-03-28,CHI @ NYK,CHI,NYK,Away,L,00:41:19,37,12,26,46.2,1,1,100.0,12,12,100.0,0,6,6,7,0,0,4,4,-8
2022-03-26,CHI @ CLE,CHI,CLE,Away,W,00:34:54,20,8,17,47.1,0,1,0.0,4,5,80.0,0,5,5,2,0,0,4,5,-1
2022-03-22,CHI @ MIL,CHI,MIL,Away,L,00:35:47,21,10,23,43.5,1,5,20.0,0,0,0.0,1,3,4,2,1,1,1,3,-16
2022-03-21,CHI vs. TOR,CHI,TOR,Home,W,00:34:45,26,11,14,78.6,1,4,25.0,3,5,60.0,0,5,5,1,1,3,1,3,13
2022-03-18,CHI @ PHX,CHI,PHX,Away,L,00:33:31,19,6,14,42.9,0,1,0.0,7,8,87.5,0,1,1,2,0,0,2,4,-24
2022-03-16,CHI @ UTA,CHI,UTA,Away,L,00:34:36,25,10,20,50.0,2,2,100.0,3,4,75.0,0,5,5,7,0,0,4,3,-24
2022-03-14,CHI @ SAC,CHI,SAC,Away,L,00:39:31,21,7,17,41.2,0,0,0.0,7,7,100.0,1,6,7,6,0,0,2,3,0
2022-03-12,CHI vs. CLE,CHI,CLE,Home,W,00:39:56,25,9,26,34.6,0,3,0.0,7,7,100.0,1,3,4,6,1,0,3,0,12
2022-03-09,CHI @ DET,CHI,DET,Away,W,00:41:23,36,12,25,48.0,0,1,0.0,12,13,92.3,0,8,8,4,2,0,2,0,8
2022-03-07,CHI @ PHI,CHI,PHI,Away,L,00:39:16,23,6,17,35.3,0,2,0.0,11,12,91.7,2,9,11,8,0,0,3,3,-11
2022-03-04,CHI vs. MIL,CHI,MIL,Home,L,00:39:26,29,11,30,36.7,2,3,66.7,5,5,100.0,0,3,3,5,1,1,2,1,-21
2022-03-03,CHI @ ATL,CHI,ATL,Away,L,00:38:40,22,10,20,50.0,0,1,0.0,2,2,100.0,1,6,7,8,2,0,4,6,-8
2022-02-28,CHI @ MIA,CHI,MIA,Away,L,00:33:35,18,7,16,43.8,0,2,0.0,4,5,80.0,0,7,7,3,3,1,3,2,-19
2022-02-26,CHI vs. MEM,CHI,MEM,Home,L,00:41:44,31,10,29,34.5,2,2,100.0,9,10,90.0,1,6,7,3,2,1,1,2,-1
2022-02-24,CHI vs. ATL,CHI,ATL,Home,W,00:37:05,37,15,21,71.4,2,3,66.7,5,7,71.4,1,5,6,3,1,0,2,2,1
2022-02-16,CHI vs. SAC,CHI,SAC,Home,W,00:40:59,38,16,27,59.3,1,1,100.0,5,5,100.0,1,5,6,6,1,0,4,3,9
2022-02-14,CHI vs. SAS,CHI,SAS,Home,W,00:34:54,40,16,24,66.7,0,0,0.0,8,8,100.0,0,3,3,7,0,0,3,1,15
2022-02-12,CHI vs. OKC,CHI,OKC,Home,W,00:39:48,38,12,24,50.0,0,1,0.0,14,16,87.5,1,5,6,5,1,0,2,2,-4
2022-02-11,CHI vs. MIN,CHI,MIN,Home,W,00:38:01,35,14,22,63.6,0,1,0.0,7,7,100.0,0,6,6,6,1,0,0,1,19
2022-02-09,CHI @ CHA,CHI,CHA,Away,W,00:37:46,36,13,19,68.4,3,4,75.0,7,10,70.0,0,5,5,4,0,0,5,4,-8
2022-02-07,CHI vs. PHX,CHI,PHX,Home,L,00:35:36,38,16,27,59.3,0,1,0.0,6,8,75.0,2,3,5,4,2,0,3,2,-23
2022-02-06,CHI vs. PHI,CHI,PHI,Home,L,00:41:00,45,18,30,60.0,0,2,0.0,9,11,81.8,1,8,9,7,1,0,3,3,-3
2022-02-04,CHI @ IND,CHI,IND,Away,W,00:38:36,31,11,26,42.3,0,4,0.0,9,9,100.0,1,4,5,7,1,1,6,4,5
2022-02-03,CHI @ TOR,CHI,TOR,Away,L,00:44:36,28,7,17,41.2,0,1,0.0,14,14,100.0,0,6,6,7,2,0,4,1,2
2022-02-01,CHI vs. ORL,CHI,ORL,Home,W,00:37:23,29,12,20,60.0,2,3,66.7,3,4,75.0,4,6,10,5,2,1,1,1,15
2022-01-30,CHI vs. POR,CHI,POR,Home,W,00:34:19,23,9,13,69.2,1,1,100.0,4,4,100.0,0,4,4,10,2,0,1,0,16
2022-01-28,CHI @ SAS,CHI,SAS,Away,L,00:36:37,32,13,22,59.1,1,1,100.0,5,5,100.0,0,6,6,8,0,0,1,1,-6
2022-01-26,CHI vs. TOR,CHI,TOR,Home,W,00:37:15,29,11,19,57.9,1,4,25.0,6,7,85.7,3,4,7,7,0,0,4,4,2
2022-01-23,CHI @ ORL,CHI,ORL,Away,L,00:38:16,41,15,21,71.4,0,0,0.0,11,13,84.6,2,3,5,3,2,0,3,3,3
2022-01-21,CHI @ MIL,CHI,MIL,Away,L,00:38:28,35,9,18,50.0,0,3,0.0,17,18,94.4,1,5,6,3,0,0,1,0,1
2022-01-19,CHI vs. CLE,CHI,CLE,Home,W,00:36:12,30,14,24,58.3,0,0,0.0,2,5,40.0,0,2,2,7,1,2,4,4,10
2022-01-17,CHI @ MEM,CHI,MEM,Away,L,00:32:32,24,10,24,41.7,0,1,0.0,4,4,100.0,0,0,0,5,0,0,4,2,-16
2022-01-15,CHI @ BOS,CHI,BOS,Away,L,00:37:12,23,7,20,35.0,0,0,0.0,9,9,100.0,1,7,8,7,0,1,2,1,11
2022-01-14,CHI vs. GSW,CHI,GSW,Home,L,00:29:03,17,5,10,50.0,0,0,0.0,7,7,100.0,0,2,2,7,1,0,1,1,-31
2022-01-12,CHI vs. BKN,CHI,BKN,Home,L,00:32:08,19,7,16,43.8,0,0,0.0,5,7,71.4,2,2,4,1,1,0,2,1,-24
2022-01-11,CHI vs. DET,CHI,DET,Home,W,00:26:35,20,8,13,61.5,0,0,0.0,4,5,80.0,2,10,12,7,0,0,3,1,27
2022-01-09,CHI @ DAL,CHI,DAL,Away,L,00:33:27,20,9,16,56.3,0,1,0.0,2,4,50.0,0,4,4,8,0,1,1,3,-12
2022-01-07,CHI vs. WAS,CHI,WAS,Home,W,00:31:07,15,5,16,31.3,0,1,0.0,5,6,83.3,2,3,5,8,0,1,4,3,5
2022-01-03,CHI vs. ORL,CHI,ORL,Home,W,00:35:50,29,11,24,45.8,0,2,0.0,7,13,53.8,1,2,3,2,1,0,3,3,14
2022-01-01,CHI @ WAS,CHI,WAS,Away,W,00:35:15,28,10,22,45.5,1,1,100.0,7,10,70.0,2,7,9,5,0,0,4,3,12
2021-12-31,CHI @ IND,CHI,IND,Away,W,00:35:06,28,8,24,33.3,1,3,33.3,11,12,91.7,2,1,3,6,3,0,3,3,18
2021-12-29,CHI vs. ATL,CHI,ATL,Home,W,00:35:42,20,8,18,44.4,0,0,0.0,4,4,100.0,0,4,4,8,0,1,0,1,18
2021-12-27,CHI @ ATL,CHI,ATL,Away,W,00:37:48,35,14,20,70.0,2,2,100.0,5,8,62.5,1,4,5,10,0,0,3,3,7
2021-12-26,CHI vs. IND,CHI,IND,Home,W,00:35:56,24,9,20,45.0,1,1,100.0,5,7,71.4,1,2,3,3,2,0,2,3,-13
