Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-08,PHX @ UTA,PHX,UTA,Away,W,00:34:10,19,9,18,50.0,1,2,50.0,0,0,0.0,4,6,10,4,1,2,1,4,15
2022-04-05,PHX vs. LAL,PHX,LAL,Home,W,00:26:49,22,10,14,71.4,0,0,0.0,2,2,100.0,4,9,13,2,0,1,1,4,15
2022-04-01,PHX @ MEM,PHX,MEM,Away,L,00:25:20,9,4,8,50.0,0,0,0.0,1,3,33.3,0,12,12,1,0,0,2,4,-11
2022-03-30,PHX @ GSW,PHX,GSW,Away,W,00:35:22,16,7,17,41.2,0,0,0.0,2,2,100.0,3,13,16,0,0,0,5,1,12
2022-03-27,PHX vs. PHI,PHX,PHI,Home,W,00:30:45,14,5,8,62.5,0,0,0.0,4,6,66.7,1,11,12,2,1,0,1,4,6
2022-03-24,PHX @ DEN,PHX,DEN,Away,W,00:32:38,16,8,14,57.1,0,0,0.0,0,0,0.0,2,5,7,0,1,0,1,5,10
2022-03-23,PHX @ MIN,PHX,MIN,Away,W,00:35:07,35,15,24,62.5,1,1,100.0,4,4,100.0,7,7,14,3,1,1,3,1,11
2022-03-20,PHX @ SAC,PHX,SAC,Away,W,00:27:03,12,5,6,83.3,0,0,0.0,2,2,100.0,1,9,10,2,0,0,2,6,-6
2022-03-18,PHX vs. CHI,PHX,CHI,Home,W,00:23:59,20,8,11,72.7,0,1,0.0,4,4,100.0,3,9,12,1,0,0,0,2,18
2022-03-16,PHX @ HOU,PHX,HOU,Away,W,00:31:16,23,10,19,52.6,0,0,0.0,3,4,75.0,6,5,11,0,0,1,0,3,23
2022-03-15,PHX @ NOP,PHX,NOP,Away,W,00:23:15,18,7,11,63.6,0,0,0.0,4,4,100.0,1,4,5,2,1,0,1,2,1
2022-03-13,PHX vs. LAL,PHX,LAL,Home,W,00:27:07,23,11,14,78.6,0,1,0.0,1,1,100.0,5,11,16,2,1,0,0,1,35
2022-03-11,PHX vs. TOR,PHX,TOR,Home,L,00:30:02,16,8,11,72.7,0,1,0.0,0,0,0.0,1,6,7,2,0,0,1,0,-7
2022-03-09,PHX @ MIA,PHX,MIA,Away,W,00:29:50,19,9,10,90.0,0,0,0.0,1,1,100.0,2,8,10,1,0,0,0,2,17
2022-03-08,PHX @ ORL,PHX,ORL,Away,W,00:36:01,21,10,19,52.6,0,0,0.0,1,1,100.0,4,15,19,1,0,0,3,4,14
2022-03-06,PHX @ MIL,PHX,MIL,Away,L,00:32:35,30,14,19,73.7,1,1,100.0,1,2,50.0,1,7,8,2,1,0,2,2,-11
2022-03-04,PHX vs. NYK,PHX,NYK,Home,W,00:34:12,8,4,10,40.0,0,1,0.0,0,0,0.0,0,3,3,1,0,1,0,3,-2
2022-03-02,PHX vs. POR,PHX,POR,Home,W,00:25:42,18,9,12,75.0,0,0,0.0,0,0,0.0,2,6,8,1,1,0,1,1,23
2022-02-27,PHX vs. UTA,PHX,UTA,Home,L,00:34:25,23,11,15,73.3,1,1,100.0,0,0,0.0,3,4,7,2,1,2,1,3,16
2022-02-25,PHX vs. NOP,PHX,NOP,Home,L,00:31:45,20,9,12,75.0,1,1,100.0,1,2,50.0,1,4,5,1,1,3,2,4,-4
2022-02-24,PHX @ OKC,PHX,OKC,Away,W,00:29:46,6,3,5,60.0,0,0,0.0,0,1,0.0,0,8,8,1,2,1,5,3,13
2022-02-16,PHX vs. HOU,PHX,HOU,Home,W,00:27:17,23,9,15,60.0,0,0,0.0,5,6,83.3,2,7,9,0,0,1,2,3,-10
2022-02-15,PHX vs. LAC,PHX,LAC,Home,W,00:30:00,12,6,16,37.5,0,1,0.0,0,0,0.0,3,9,12,1,1,1,1,1,13
2022-02-12,PHX vs. ORL,PHX,ORL,Home,W,00:25:02,17,8,11,72.7,0,0,0.0,1,2,50.0,2,8,10,1,0,0,0,0,19
2022-02-10,PHX vs. MIL,PHX,MIL,Home,W,00:26:35,27,12,14,85.7,0,0,0.0,3,4,75.0,0,7,7,1,0,1,0,3,21
2022-02-08,PHX @ PHI,PHX,PHI,Away,W,00:30:09,10,5,8,62.5,0,0,0.0,0,0,0.0,3,3,6,0,1,1,2,3,5
2022-02-07,PHX @ CHI,PHX,CHI,Away,W,00:23:28,13,5,8,62.5,0,0,0.0,3,4,75.0,2,7,9,1,0,1,2,6,2
2022-02-05,PHX @ WAS,PHX,WAS,Away,W,00:23:57,20,8,14,57.1,0,0,0.0,4,5,80.0,6,10,16,2,2,0,0,0,15
2022-02-03,PHX @ ATL,PHX,ATL,Away,L,00:24:27,6,3,5,60.0,0,0,0.0,0,0,0.0,1,8,9,4,1,0,0,1,0
2022-02-01,PHX vs. BKN,PHX,BKN,Home,W,00:28:03,12,5,7,71.4,0,0,0.0,2,2,100.0,0,6,6,0,1,0,4,4,9
2022-01-16,PHX @ DET,PHX,DET,Away,W,00:07:37,6,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,1,0,7
