Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-03-20,SAC vs. PHX,SAC,PHX,Home,L,00:31:00,18,5,8,62.5,1,1,100.0,7,9,77.8,2,10,12,6,2,0,2,4,5
2022-03-18,SAC vs. BOS,SAC,BOS,Home,L,00:36:50,30,12,20,60.0,1,1,100.0,5,7,71.4,6,14,20,5,1,1,4,3,-2
2022-03-16,SAC vs. MIL,SAC,MIL,Home,L,00:38:55,22,6,13,46.2,0,2,0.0,10,13,76.9,1,4,5,7,1,1,3,1,-19
2022-03-14,SAC vs. CHI,SAC,CHI,Home,W,00:37:59,22,6,15,40.0,0,1,0.0,10,10,100.0,0,7,7,4,1,0,4,4,12
2022-03-07,SAC vs. NYK,SAC,NYK,Home,L,00:36:43,19,6,13,46.2,0,2,0.0,7,9,77.8,2,11,13,5,0,0,3,5,-18
2022-03-05,SAC @ DAL,SAC,DAL,Away,L,00:31:34,15,7,10,70.0,0,0,0.0,1,5,20.0,2,8,10,6,0,0,4,5,1
2022-03-03,SAC @ SAS,SAC,SAS,Away,W,00:27:43,12,5,8,62.5,0,0,0.0,2,2,100.0,1,11,12,6,0,0,4,6,6
2022-03-02,SAC @ NOP,SAC,NOP,Away,L,00:33:02,15,6,16,37.5,0,2,0.0,3,3,100.0,7,7,14,7,1,0,3,2,-20
2022-02-28,SAC @ OKC,SAC,OKC,Away,W,00:30:58,14,7,8,87.5,0,0,0.0,0,0,0.0,5,11,16,7,1,0,8,5,8
2022-02-26,SAC @ DEN,SAC,DEN,Away,L,00:33:08,14,6,14,42.9,0,2,0.0,2,5,40.0,4,12,16,7,1,1,1,5,6
2022-02-24,SAC vs. DEN,SAC,DEN,Home,L,00:37:13,33,15,23,65.2,2,3,66.7,1,1,100.0,4,10,14,5,1,1,4,4,-8
2022-02-16,SAC @ CHI,SAC,CHI,Away,L,00:37:19,22,10,15,66.7,0,0,0.0,2,2,100.0,5,7,12,8,2,0,3,2,-5
2022-02-14,SAC @ BKN,SAC,BKN,Away,L,00:25:39,9,4,11,36.4,0,2,0.0,1,3,33.3,1,8,9,2,1,1,3,3,-10
2022-02-12,SAC @ WAS,SAC,WAS,Away,W,00:33:43,16,7,9,77.8,0,0,0.0,2,2,100.0,1,10,11,7,0,0,2,4,13
2022-02-09,SAC vs. MIN,SAC,MIN,Home,W,00:32:34,22,10,19,52.6,0,1,0.0,2,3,66.7,5,9,14,5,1,0,4,4,4
2022-02-06,IND @ CLE,IND,CLE,Away,L,00:25:32,9,4,8,50.0,0,0,0.0,1,2,50.0,3,8,11,4,0,0,4,3,-20
2022-01-29,IND @ DAL,IND,DAL,Away,L,00:28:44,21,8,10,80.0,1,2,50.0,4,5,80.0,3,12,15,8,0,1,3,5,-18
2022-01-28,IND @ OKC,IND,OKC,Away,W,00:43:39,24,9,16,56.3,0,2,0.0,6,9,66.7,8,10,18,10,2,2,5,3,0
2022-01-19,IND @ LAL,IND,LAL,Away,W,00:35:22,20,9,12,75.0,2,2,100.0,0,0,0.0,5,7,12,10,0,1,1,4,10
2022-01-17,IND @ LAC,IND,LAC,Away,L,00:34:24,19,7,14,50.0,0,1,0.0,5,7,71.4,5,6,11,7,0,2,3,4,-8
2022-01-14,IND vs. PHX,IND,PHX,Home,L,00:36:46,14,4,10,40.0,1,3,33.3,5,6,83.3,0,14,14,6,1,0,2,2,-6
2022-01-12,IND vs. BOS,IND,BOS,Home,L,00:31:53,17,7,11,63.6,0,2,0.0,3,5,60.0,2,4,6,6,2,0,1,3,-20
2022-01-10,IND @ BOS,IND,BOS,Away,L,00:44:33,11,3,12,25.0,0,0,0.0,5,6,83.3,7,15,22,10,1,0,4,2,6
2022-01-08,IND vs. UTA,IND,UTA,Home,W,00:37:41,42,18,22,81.8,3,4,75.0,3,4,75.0,1,5,6,3,1,1,3,2,13
2022-01-05,IND vs. BKN,IND,BKN,Home,L,00:37:54,32,10,13,76.9,1,1,100.0,11,13,84.6,2,10,12,10,0,0,6,4,-5
2022-01-04,IND @ NYK,IND,NYK,Away,L,00:39:01,15,5,9,55.6,0,3,0.0,5,12,41.7,1,7,8,4,0,0,3,3,-10
2022-01-02,IND @ CLE,IND,CLE,Away,L,00:39:26,32,10,15,66.7,3,3,100.0,9,10,90.0,1,12,13,7,0,1,3,2,9
2021-12-31,IND vs. CHI,IND,CHI,Home,L,00:39:45,24,8,14,57.1,1,2,50.0,7,8,87.5,5,9,14,6,1,2,3,3,1
2021-12-29,IND vs. CHA,IND,CHA,Home,L,00:36:43,15,3,9,33.3,1,5,20.0,8,14,57.1,2,16,18,7,2,1,6,4,-5
2021-12-26,IND @ CHI,IND,CHI,Away,L,00:35:04,14,5,17,29.4,0,1,0.0,4,6,66.7,8,8,16,5,2,0,1,1,-4
2021-12-21,IND @ MIA,IND,MIA,Away,L,00:28:29,12,4,11,36.4,0,2,0.0,4,5,80.0,0,4,4,4,0,0,2,1,-20
2021-12-16,IND vs. DET,IND,DET,Home,W,00:31:16,12,5,9,55.6,0,1,0.0,2,2,100.0,0,9,9,6,0,0,3,4,5
2021-12-15,IND @ MIL,IND,MIL,Away,L,00:34:45,16,6,10,60.0,0,2,0.0,4,4,100.0,6,8,14,5,1,0,5,1,-20
2021-12-13,IND vs. GSW,IND,GSW,Home,L,00:36:22,30,12,17,70.6,0,1,0.0,6,10,60.0,6,5,11,0,2,1,1,2,-11
2021-12-10,IND vs. DAL,IND,DAL,Home,W,00:34:40,24,9,13,69.2,1,1,100.0,5,6,83.3,2,8,10,7,1,0,2,3,23
2021-12-08,IND vs. NYK,IND,NYK,Home,W,00:33:13,21,7,8,87.5,2,2,100.0,5,7,71.4,5,6,11,5,0,1,0,2,22
2021-12-06,IND vs. WAS,IND,WAS,Home,W,00:35:59,30,11,15,73.3,0,1,0.0,8,8,100.0,4,6,10,6,3,1,3,3,14
2021-12-03,IND vs. MIA,IND,MIA,Home,L,00:37:01,14,5,8,62.5,0,1,0.0,4,4,100.0,4,12,16,3,2,0,5,4,1
2021-12-01,IND vs. ATL,IND,ATL,Home,L,00:39:25,22,9,10,90.0,2,2,100.0,2,3,66.7,2,8,10,4,0,0,3,5,1
2021-11-29,IND @ MIN,IND,MIN,Away,L,00:36:02,16,5,12,41.7,0,4,0.0,6,7,85.7,4,21,25,10,0,1,4,5,17
2021-11-28,IND vs. MIL,IND,MIL,Home,L,00:21:45,4,1,8,12.5,0,2,0.0,2,3,66.7,2,8,10,5,0,0,3,2,-11
2021-11-26,IND vs. TOR,IND,TOR,Home,W,00:36:22,23,8,15,53.3,1,3,33.3,6,7,85.7,7,11,18,2,0,0,4,3,16
2021-11-24,IND vs. LAL,IND,LAL,Home,L,00:34:39,14,5,9,55.6,0,0,0.0,4,4,100.0,5,7,12,6,1,0,1,5,-7
2021-11-22,IND @ CHI,IND,CHI,Away,W,00:26:20,21,8,14,57.1,0,2,0.0,5,5,100.0,4,7,11,4,1,0,3,4,22
2021-11-20,IND vs. NOP,IND,NOP,Home,W,00:21:55,20,6,11,54.5,2,3,66.7,6,8,75.0,2,8,10,6,2,0,2,2,19
2021-11-19,IND @ CHA,IND,CHA,Away,L,00:22:17,8,3,6,50.0,0,3,0.0,2,4,50.0,0,6,6,1,1,1,4,2,-18
2021-11-17,IND @ DET,IND,DET,Away,L,00:34:59,15,4,7,57.1,0,1,0.0,7,10,70.0,3,8,11,1,0,1,5,0,2
2021-11-15,IND @ NYK,IND,NYK,Away,L,00:40:13,21,8,15,53.3,3,4,75.0,2,5,40.0,4,11,15,3,1,0,1,1,1
2021-11-13,IND vs. PHI,IND,PHI,Home,W,00:30:14,18,8,11,72.7,2,3,66.7,0,0,0.0,4,8,12,5,0,0,1,3,5
2021-11-11,IND @ UTA,IND,UTA,Away,W,00:31:20,6,2,10,20.0,0,1,0.0,2,4,50.0,3,4,7,5,1,1,2,6,10
