Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-08,UTA vs. PHX,UTA,PHX,Home,L,34.58,18,7,21,33.3,1,4,25.0,3,3,100.0,1,6,7,5,1,0,1,1,-25
2022-04-05,UTA vs. MEM,UTA,MEM,Home,W,41.27,20,6,24,25.0,1,9,11.1,7,8,87.5,2,7,9,5,1,0,1,3,-6
2022-04-02,UTA @ GSW,UTA,GSW,Away,L,32.44,26,8,19,42.1,4,10,40.0,6,7,85.7,0,3,3,3,2,0,1,2,-21
2022-03-31,UTA vs. LAL,UTA,LAL,Home,W,32.21,29,11,22,50.0,4,10,40.0,3,4,75.0,0,1,1,7,1,0,1,0,17
2022-03-29,UTA @ LAC,UTA,LAC,Away,L,35.33,33,12,21,57.1,0,4,0.0,9,12,75.0,1,1,2,6,1,0,6,2,-9
2022-03-27,UTA @ DAL,UTA,DAL,Away,L,31.49,12,4,13,30.8,1,4,25.0,3,3,100.0,0,5,5,4,1,0,2,1,-11
2022-03-25,UTA @ CHA,UTA,CHA,Away,L,35.35,26,10,21,47.6,4,11,36.4,2,2,100.0,1,2,3,7,1,0,6,2,-3
2022-03-23,UTA @ BOS,UTA,BOS,Away,L,34.42,37,13,24,54.2,3,12,25.0,8,8,100.0,1,5,6,1,2,0,2,2,-24
2022-03-21,UTA @ BKN,UTA,BKN,Away,L,35.39,30,9,23,39.1,5,15,33.3,7,7,100.0,1,2,3,3,0,0,6,4,-9
2022-03-20,UTA @ NYK,UTA,NYK,Away,W,36.59,36,11,21,52.4,7,12,58.3,7,7,100.0,1,7,8,6,1,0,3,2,8
2022-03-16,UTA vs. CHI,UTA,CHI,Home,W,28.55,37,12,22,54.5,9,15,60.0,4,4,100.0,0,3,3,5,0,0,4,4,11
2022-03-14,UTA vs. MIL,UTA,MIL,Home,L,40.21,29,10,32,31.3,5,17,29.4,4,4,100.0,1,5,6,8,1,0,4,3,4
2022-03-12,UTA vs. SAC,UTA,SAC,Home,W,35.59,25,11,22,50.0,1,6,16.7,2,5,40.0,1,4,5,6,2,0,3,3,6
2022-03-11,UTA @ SAS,UTA,SAS,Away,L,34.52,24,10,23,43.5,4,11,36.4,0,0,0.0,1,6,7,6,0,0,4,2,2
2022-03-09,UTA vs. POR,UTA,POR,Home,W,24.28,16,6,12,50.0,4,10,40.0,0,0,0.0,0,4,4,6,1,0,2,2,43
2022-03-07,UTA @ DAL,UTA,DAL,Away,L,35.0,17,5,19,26.3,2,9,22.2,5,7,71.4,0,4,4,9,1,0,3,4,-7
2022-03-06,UTA @ OKC,UTA,OKC,Away,W,35.15,24,9,19,47.4,4,11,36.4,2,4,50.0,1,3,4,10,1,0,2,5,9
2022-03-04,UTA @ NOP,UTA,NOP,Away,L,30.3,14,5,18,27.8,3,11,27.3,1,2,50.0,0,2,2,2,1,0,2,2,-23
2022-03-02,UTA @ HOU,UTA,HOU,Away,W,40.14,37,13,27,48.1,4,14,28.6,7,11,63.6,1,1,2,10,3,0,6,4,10
2022-02-27,UTA @ PHX,UTA,PHX,Away,W,36.33,26,8,20,40.0,6,11,54.5,4,5,80.0,0,2,2,5,2,0,2,2,-3
2022-02-25,UTA vs. DAL,UTA,DAL,Home,W,36.24,33,11,19,57.9,7,12,58.3,4,5,80.0,0,2,2,5,1,0,4,2,14
2022-02-16,UTA @ LAL,UTA,LAL,Away,L,37.05,37,13,24,54.2,5,11,45.5,6,7,85.7,1,2,3,5,4,0,2,1,0
2022-02-14,UTA vs. HOU,UTA,HOU,Home,W,31.53,30,9,15,60.0,5,9,55.6,7,8,87.5,0,6,6,7,0,0,2,3,17
2022-02-11,UTA vs. ORL,UTA,ORL,Home,W,35.21,24,6,19,31.6,3,11,27.3,9,10,90.0,3,4,7,1,3,0,4,3,21
2022-02-09,UTA vs. GSW,UTA,GSW,Home,W,33.22,14,5,14,35.7,4,10,40.0,0,0,0.0,1,9,10,8,0,1,1,2,17
2022-02-07,UTA vs. NYK,UTA,NYK,Home,W,35.42,32,13,26,50.0,2,10,20.0,4,6,66.7,3,4,7,6,4,1,4,2,-2
2022-02-04,UTA vs. BKN,UTA,BKN,Home,W,21.42,27,8,10,80.0,6,7,85.7,5,5,100.0,1,2,3,6,0,1,4,0,21
2022-01-17,UTA @ LAL,UTA,LAL,Away,L,36.58,13,6,18,33.3,0,8,0.0,1,1,100.0,0,8,8,7,1,1,5,2,3
2022-01-16,UTA @ DEN,UTA,DEN,Away,W,35.22,31,11,24,45.8,4,12,33.3,5,7,71.4,1,4,5,4,2,0,1,2,-4
2022-01-12,UTA vs. CLE,UTA,CLE,Home,L,32.58,17,6,16,37.5,3,9,33.3,2,2,100.0,0,5,5,4,1,0,1,4,-14
2022-01-10,UTA @ DET,UTA,DET,Away,L,36.41,31,11,25,44.0,3,8,37.5,6,7,85.7,0,3,3,4,2,0,4,5,-22
2022-01-08,UTA @ IND,UTA,IND,Away,L,37.07,36,13,27,48.1,6,12,50.0,4,4,100.0,1,1,2,9,1,0,2,5,-3
2022-01-05,UTA @ DEN,UTA,DEN,Away,W,36.12,17,8,22,36.4,1,9,11.1,0,0,0.0,1,1,2,3,1,0,2,1,-1
2022-01-03,UTA @ NOP,UTA,NOP,Away,W,34.09,29,11,19,57.9,5,9,55.6,2,2,100.0,0,3,3,5,3,1,5,3,2
2022-01-01,UTA vs. GSW,UTA,GSW,Home,L,36.13,20,4,19,21.1,2,9,22.2,10,11,90.9,1,5,6,9,2,0,2,4,-2
2021-12-31,UTA vs. MIN,UTA,MIN,Home,W,38.28,39,12,21,57.1,6,11,54.5,9,10,90.0,1,5,6,5,1,0,3,2,23
2021-12-25,UTA vs. DAL,UTA,DAL,Home,W,34.39,33,11,26,42.3,1,7,14.3,10,11,90.9,3,0,3,3,3,0,3,3,-18
2021-12-23,UTA vs. MIN,UTA,MIN,Home,W,37.3,28,10,20,50.0,4,11,36.4,4,4,100.0,0,5,5,7,0,1,3,2,9
2021-12-20,UTA vs. CHA,UTA,CHA,Home,W,34.11,21,7,20,35.0,2,10,20.0,5,8,62.5,2,4,6,6,0,0,2,1,13
2021-12-18,UTA vs. WAS,UTA,WAS,Home,L,36.44,32,12,25,48.0,4,12,33.3,4,5,80.0,0,3,3,5,1,0,5,1,-2
2021-12-17,UTA vs. SAS,UTA,SAS,Home,L,30.34,27,10,23,43.5,3,11,27.3,4,4,100.0,1,4,5,4,2,1,2,3,-7
2021-12-15,UTA vs. LAC,UTA,LAC,Home,W,31.31,27,10,15,66.7,2,7,28.6,5,6,83.3,0,0,0,6,2,0,3,2,29
2021-12-11,UTA @ WAS,UTA,WAS,Away,W,31.58,28,10,20,50.0,4,9,44.4,4,4,100.0,0,0,0,4,2,0,3,2,16
2021-12-09,UTA @ PHI,UTA,PHI,Away,W,29.21,22,8,19,42.1,5,10,50.0,1,2,50.0,1,0,1,6,2,0,2,2,7
2021-12-08,UTA @ MIN,UTA,MIN,Away,W,33.31,36,14,23,60.9,5,12,41.7,3,3,100.0,1,4,5,2,0,1,4,2,18
2021-12-05,UTA @ CLE,UTA,CLE,Away,W,39.14,35,12,21,57.1,4,8,50.0,7,8,87.5,0,3,3,6,1,0,7,1,10
2021-12-03,UTA vs. BOS,UTA,BOS,Home,W,32.44,34,12,22,54.5,6,14,42.9,4,4,100.0,0,1,1,6,0,0,2,2,12
2021-11-29,UTA vs. POR,UTA,POR,Home,W,32.26,30,12,20,60.0,3,8,37.5,3,3,100.0,0,2,2,5,4,0,1,2,11
2021-11-27,UTA vs. NOP,UTA,NOP,Home,W,27.28,21,9,17,52.9,3,6,50.0,0,0,0.0,1,6,7,7,2,1,4,2,25
2021-11-26,UTA vs. NOP,UTA,NOP,Home,L,33.53,16,6,21,28.6,2,7,28.6,2,2,100.0,0,4,4,6,0,0,4,1,0
