Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-10,MIL @ CLE,MIL,CLE,Away,L,0.08,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
2022-04-08,MIL @ DET,MIL,DET,Away,W,26.49,10,5,11,45.5,0,4,0.0,0,0,0.0,0,3,3,9,0,0,2,3,28
2022-04-07,MIL vs. BOS,MIL,BOS,Home,W,38.56,29,10,19,52.6,4,9,44.4,5,8,62.5,4,4,8,8,3,1,3,4,10
2022-04-05,MIL @ CHI,MIL,CHI,Away,W,34.5,11,5,12,41.7,1,3,33.3,0,0,0.0,1,5,6,13,0,1,3,1,19
2022-04-03,MIL vs. DAL,MIL,DAL,Home,L,36.22,20,7,12,58.3,5,8,62.5,1,1,100.0,1,1,2,9,1,1,0,3,-5
2022-03-31,MIL @ BKN,MIL,BKN,Away,W,42.48,19,6,18,33.3,2,7,28.6,5,6,83.3,1,7,8,4,6,0,6,3,9
2022-03-29,MIL @ PHI,MIL,PHI,Away,W,40.02,18,7,16,43.8,2,6,33.3,2,2,100.0,0,8,8,10,1,0,1,0,11
2022-03-24,MIL vs. WAS,MIL,WAS,Home,W,32.51,24,10,18,55.6,3,6,50.0,1,1,100.0,0,3,3,10,1,0,6,2,15
2022-03-22,MIL vs. CHI,MIL,CHI,Home,W,31.46,27,12,17,70.6,2,5,40.0,1,2,50.0,0,0,0,7,1,0,0,0,10
2022-03-19,MIL @ MIN,MIL,MIN,Away,L,23.35,14,5,13,38.5,1,4,25.0,3,4,75.0,0,2,2,7,2,0,4,1,-18
2022-03-16,MIL @ SAC,MIL,SAC,Away,W,34.38,21,8,16,50.0,3,6,50.0,2,4,50.0,1,3,4,3,4,0,4,0,11
2022-03-14,MIL @ UTA,MIL,UTA,Away,W,36.57,29,10,21,47.6,2,6,33.3,7,8,87.5,0,4,4,7,5,0,3,3,5
2022-03-12,MIL @ GSW,MIL,GSW,Away,L,33.18,13,5,11,45.5,2,5,40.0,1,2,50.0,0,1,1,7,2,0,2,1,-16
2022-03-09,MIL vs. ATL,MIL,ATL,Home,W,34.49,11,5,17,29.4,1,4,25.0,0,0,0.0,2,3,5,8,2,0,4,5,7
2022-03-08,MIL @ OKC,MIL,OKC,Away,W,28.44,13,6,12,50.0,1,5,20.0,0,0,0.0,2,2,4,6,3,0,3,1,10
2022-03-06,MIL vs. PHX,MIL,PHX,Home,W,38.23,24,7,13,53.8,4,5,80.0,6,6,100.0,0,2,2,9,4,1,4,4,14
