Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-08,MIA vs. ATL,MIA,ATL,Home,W,00:31:17,16,7,10,70.0,2,3,66.7,0,1,0.0,1,4,5,3,2,0,3,4,2
2022-04-03,MIA @ TOR,MIA,TOR,Away,W,00:34:33,16,4,8,50.0,2,4,50.0,6,7,85.7,1,5,6,10,1,0,2,5,8
2022-04-02,MIA @ CHI,MIA,CHI,Away,W,00:27:22,19,6,11,54.5,2,5,40.0,5,5,100.0,0,2,2,10,0,0,1,2,10
2022-03-30,MIA @ BOS,MIA,BOS,Away,W,00:35:41,23,8,16,50.0,6,12,50.0,1,2,50.0,0,0,0,8,0,0,1,4,13
2022-03-28,MIA vs. SAC,MIA,SAC,Home,W,00:25:56,9,3,4,75.0,3,4,75.0,0,0,0.0,1,4,5,6,1,0,0,1,22
2022-03-26,MIA vs. BKN,MIA,BKN,Home,L,00:25:18,12,5,9,55.6,2,6,33.3,0,0,0.0,0,1,1,1,1,0,4,3,-27
2022-03-25,MIA vs. NYK,MIA,NYK,Home,L,00:36:00,17,4,11,36.4,3,10,30.0,6,6,100.0,0,4,4,3,1,0,1,2,-9
2022-03-23,MIA vs. GSW,MIA,GSW,Home,L,00:38:01,26,9,14,64.3,6,9,66.7,2,2,100.0,0,1,1,9,1,0,0,5,-2
2022-03-21,MIA @ PHI,MIA,PHI,Away,L,00:36:15,20,7,13,53.8,6,11,54.5,0,0,0.0,0,6,6,6,1,1,4,5,-7
2022-03-18,MIA vs. OKC,MIA,OKC,Home,W,00:27:35,16,6,9,66.7,4,7,57.1,0,1,0.0,1,3,4,4,2,0,0,1,25
2022-03-15,MIA vs. DET,MIA,DET,Home,W,00:34:22,6,0,3,0.0,0,2,0.0,6,6,100.0,0,7,7,4,0,0,1,2,4
2022-03-12,MIA vs. MIN,MIA,MIN,Home,L,00:37:24,14,4,12,33.3,2,8,25.0,4,6,66.7,2,5,7,7,0,0,3,2,-7
2022-03-11,MIA vs. CLE,MIA,CLE,Home,W,00:32:23,3,1,4,25.0,1,4,25.0,0,0,0.0,0,4,4,10,0,1,3,4,6
2022-03-09,MIA vs. PHX,MIA,PHX,Home,L,00:31:37,5,1,3,33.3,1,2,50.0,2,2,100.0,0,5,5,10,0,0,3,3,-6
2022-03-07,MIA vs. HOU,MIA,HOU,Home,W,00:32:01,0,0,3,0.0,0,3,0.0,0,0,0.0,0,3,3,5,0,0,2,2,16
2022-02-26,MIA vs. SAS,MIA,SAS,Home,W,00:34:45,13,4,8,50.0,3,4,75.0,2,2,100.0,0,3,3,10,1,0,2,1,-3
2022-02-25,MIA @ NYK,MIA,NYK,Away,W,00:35:36,19,4,11,36.4,2,7,28.6,9,9,100.0,0,9,9,4,2,0,2,4,9
2022-02-17,MIA @ CHA,MIA,CHA,Away,W,00:46:25,25,9,16,56.3,6,11,54.5,1,2,50.0,2,7,9,5,2,0,3,3,10
2022-02-15,MIA vs. DAL,MIA,DAL,Home,L,00:38:05,13,4,8,50.0,2,2,100.0,3,4,75.0,0,4,4,4,1,0,2,2,-14
2022-02-12,MIA vs. BKN,MIA,BKN,Home,W,00:36:25,13,4,10,40.0,0,3,0.0,5,6,83.3,0,3,3,6,1,0,2,4,7
2022-02-10,MIA @ NOP,MIA,NOP,Away,W,00:36:27,14,5,9,55.6,4,7,57.1,0,0,0.0,0,11,11,11,4,0,3,3,20
2022-02-07,MIA @ WAS,MIA,WAS,Away,W,00:30:04,11,4,6,66.7,3,5,60.0,0,0,0.0,0,4,4,5,1,0,1,1,20
2022-02-05,MIA @ CHA,MIA,CHA,Away,W,00:31:08,9,3,6,50.0,3,5,60.0,0,0,0.0,1,1,2,6,4,0,0,3,11
2022-02-03,MIA @ SAS,MIA,SAS,Away,W,00:25:29,2,0,1,0.0,0,0,0.0,2,2,100.0,0,3,3,4,1,0,6,2,4
2022-01-15,MIA vs. PHI,MIA,PHI,Home,L,00:34:38,8,2,11,18.2,2,6,33.3,2,2,100.0,0,2,2,7,1,0,0,4,-13
2022-01-14,MIA vs. ATL,MIA,ATL,Home,W,00:36:01,13,4,9,44.4,3,6,50.0,2,2,100.0,1,3,4,8,1,2,3,4,19
2022-01-12,MIA @ ATL,MIA,ATL,Away,W,00:27:36,8,2,9,22.2,1,5,20.0,3,4,75.0,0,6,6,5,3,0,2,3,10
2022-01-08,MIA @ PHX,MIA,PHX,Away,W,00:34:54,14,5,10,50.0,2,4,50.0,2,2,100.0,1,1,2,13,0,0,2,4,28
2022-01-05,MIA @ POR,MIA,POR,Away,W,00:16:07,7,1,4,25.0,1,3,33.3,4,4,100.0,0,2,2,9,1,0,1,1,7
2022-01-03,MIA @ GSW,MIA,GSW,Away,L,00:38:30,16,4,13,30.8,2,9,22.2,6,7,85.7,2,4,6,11,1,0,8,5,2
2022-01-02,MIA @ SAC,MIA,SAC,Away,L,00:36:19,14,5,11,45.5,2,6,33.3,2,2,100.0,0,5,5,12,1,0,1,2,12
2021-12-31,MIA @ HOU,MIA,HOU,Away,W,00:36:47,12,3,11,27.3,2,7,28.6,4,5,80.0,3,0,3,3,0,2,4,3,10
2021-12-23,MIA vs. DET,MIA,DET,Home,W,00:37:47,21,9,15,60.0,2,5,40.0,1,1,100.0,0,4,4,6,1,0,1,5,3
2021-12-21,MIA vs. IND,MIA,IND,Home,W,00:30:21,8,3,9,33.3,0,5,0.0,2,3,66.7,1,10,11,12,2,0,3,4,14
