Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-10,DAL vs. SAS,DAL,SAS,Home,W,00:28:45,26,8,18,44.4,2,5,40.0,8,8,100.0,1,7,8,9,2,1,4,1,19
2022-04-08,DAL vs. POR,DAL,POR,Home,W,00:29:36,39,12,21,57.1,7,14,50.0,8,11,72.7,0,11,11,7,0,1,5,0,41
2022-04-06,DAL @ DET,DAL,DET,Away,W,00:33:57,26,8,21,38.1,2,11,18.2,8,13,61.5,1,7,8,14,1,0,6,4,17
2022-04-03,DAL @ MIL,DAL,MIL,Away,W,00:39:04,32,9,22,40.9,3,9,33.3,11,14,78.6,0,8,8,15,3,0,6,2,8
2022-04-01,DAL @ WAS,DAL,WAS,Away,L,00:36:17,36,11,22,50.0,4,9,44.4,10,10,100.0,0,7,7,6,0,1,5,3,-22
2022-03-30,DAL @ CLE,DAL,CLE,Away,W,00:37:50,35,14,26,53.8,3,6,50.0,4,4,100.0,0,9,9,13,1,2,3,1,14
2022-03-29,DAL vs. LAL,DAL,LAL,Home,W,00:29:39,34,12,23,52.2,4,12,33.3,6,7,85.7,3,9,12,12,1,0,1,1,21
2022-03-27,DAL vs. UTA,DAL,UTA,Home,W,00:32:42,32,11,21,52.4,4,7,57.1,6,9,66.7,1,9,10,5,0,0,3,3,9
2022-03-25,DAL @ MIN,DAL,MIN,Away,L,00:36:41,24,8,18,44.4,5,11,45.5,3,5,60.0,0,10,10,8,1,0,3,0,-22
2022-03-21,DAL vs. MIN,DAL,MIN,Home,W,00:37:49,15,5,17,29.4,3,11,27.3,2,4,50.0,0,6,6,10,1,0,8,4,-7
2022-03-19,DAL @ CHA,DAL,CHA,Away,L,00:29:52,37,13,20,65.0,8,12,66.7,3,5,60.0,0,4,4,3,0,0,4,2,-30
2022-03-18,DAL @ PHI,DAL,PHI,Away,L,00:34:55,17,5,20,25.0,2,10,20.0,5,9,55.6,1,6,7,10,0,1,6,0,-15
2022-03-16,DAL @ BKN,DAL,BKN,Away,W,00:38:46,37,14,26,53.8,5,12,41.7,4,4,100.0,0,9,9,9,2,1,4,2,-4
2022-03-13,DAL @ BOS,DAL,BOS,Away,W,00:38:41,26,8,16,50.0,4,10,40.0,6,6,100.0,0,8,8,8,3,0,5,0,7
