Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-03-16,GSW vs. BOS,GSW,BOS,Home,L,00:13:41,3,1,4,25.0,1,4,25.0,0,0,0.0,0,1,1,2,0,0,4,2,-5
2022-03-14,GSW vs. WAS,GSW,WAS,Home,W,00:35:26,47,16,25,64.0,7,14,50.0,8,8,100.0,0,6,6,6,1,0,2,1,17
2022-03-12,GSW vs. MIL,GSW,MIL,Home,W,00:33:09,8,3,7,42.9,2,4,50.0,0,0,0.0,1,4,5,8,1,1,4,1,14
2022-03-10,GSW @ DEN,GSW,DEN,Away,W,00:37:58,34,11,21,52.4,5,12,41.7,7,7,100.0,0,9,9,3,2,0,2,1,18
2022-03-08,GSW vs. LAC,GSW,LAC,Home,W,00:35:03,15,5,12,41.7,1,6,16.7,4,4,100.0,0,5,5,5,3,0,4,4,6
2022-03-05,GSW @ LAL,GSW,LAL,Away,L,00:35:42,30,13,22,59.1,4,9,44.4,0,0,0.0,0,4,4,1,0,0,4,0,-12
2022-03-03,GSW @ DAL,GSW,DAL,Away,L,00:40:26,21,8,15,53.3,4,5,80.0,1,1,100.0,0,5,5,9,1,0,3,3,-8
2022-03-01,GSW @ MIN,GSW,MIN,Away,L,00:33:14,34,10,24,41.7,5,16,31.3,9,9,100.0,1,4,5,4,0,0,4,1,-10
2022-02-27,GSW vs. DAL,GSW,DAL,Home,L,00:38:04,27,11,25,44.0,3,10,30.0,2,4,50.0,1,3,4,10,2,0,1,0,-4
2022-02-24,GSW @ POR,GSW,POR,Away,W,00:27:27,18,5,11,45.5,2,7,28.6,6,6,100.0,0,5,5,14,1,1,3,3,19
2022-02-16,GSW vs. DEN,GSW,DEN,Home,L,00:39:05,25,10,19,52.6,1,7,14.3,4,4,100.0,0,3,3,6,0,0,2,2,-2
2022-02-14,GSW @ LAC,GSW,LAC,Away,L,00:33:49,33,11,18,61.1,8,13,61.5,3,3,100.0,0,2,2,2,0,0,4,2,-19
2022-02-12,GSW vs. LAL,GSW,LAL,Home,W,00:36:36,24,7,17,41.2,1,8,12.5,9,9,100.0,0,5,5,8,1,0,2,3,8
2022-02-10,GSW vs. NYK,GSW,NYK,Home,L,00:39:08,35,11,25,44.0,5,16,31.3,8,8,100.0,0,2,2,10,1,0,3,5,9
2022-02-09,GSW @ UTA,GSW,UTA,Away,L,00:29:39,16,5,13,38.5,3,8,37.5,3,4,75.0,1,6,7,2,0,0,4,2,-14
2022-02-07,GSW @ OKC,GSW,OKC,Away,W,00:36:34,18,6,12,50.0,4,10,40.0,2,2,100.0,0,9,9,10,1,0,4,2,4
2022-02-03,GSW vs. SAC,GSW,SAC,Home,W,00:31:41,20,7,11,63.6,4,7,57.1,2,2,100.0,0,1,1,7,2,0,4,4,21
2022-01-31,GSW @ HOU,GSW,HOU,Away,W,00:37:57,40,13,23,56.5,7,14,50.0,7,8,87.5,0,5,5,9,1,1,1,0,18
2022-01-29,GSW vs. BKN,GSW,BKN,Home,W,00:35:31,19,5,18,27.8,3,10,30.0,6,6,100.0,2,5,7,8,3,0,5,5,-3
2022-01-27,GSW vs. MIN,GSW,MIN,Home,W,00:38:21,29,10,20,50.0,6,10,60.0,3,3,100.0,0,8,8,6,3,0,4,1,13
2022-01-25,GSW vs. DAL,GSW,DAL,Home,W,00:28:59,18,7,16,43.8,2,10,20.0,2,3,66.7,2,7,9,7,1,0,4,3,23
2022-01-23,GSW vs. UTA,GSW,UTA,Home,W,00:35:02,13,5,20,25.0,1,13,7.7,2,2,100.0,2,2,4,6,0,0,1,0,-5
2022-01-21,GSW vs. HOU,GSW,HOU,Home,W,00:38:56,22,6,21,28.6,4,13,30.8,6,8,75.0,0,4,4,12,1,1,2,3,2
2022-01-20,GSW vs. IND,GSW,IND,Home,L,00:43:57,39,12,27,44.4,6,16,37.5,9,9,100.0,0,5,5,8,1,0,2,3,-4
2022-01-18,GSW vs. DET,GSW,DET,Home,W,00:28:33,18,6,11,54.5,4,8,50.0,2,2,100.0,0,3,3,8,3,0,1,1,21
2022-01-14,GSW @ CHI,GSW,CHI,Away,W,00:27:37,19,7,15,46.7,4,10,40.0,1,2,50.0,0,2,2,2,1,0,1,0,24
2022-01-13,GSW @ MIL,GSW,MIL,Away,L,00:29:15,12,4,11,36.4,2,6,33.3,2,2,100.0,0,8,8,4,2,0,4,0,-25
2022-01-11,GSW @ MEM,GSW,MEM,Away,L,00:38:42,27,8,21,38.1,2,9,22.2,9,10,90.0,1,9,10,10,2,0,3,3,-1
2022-01-09,GSW vs. CLE,GSW,CLE,Home,W,00:36:31,28,10,21,47.6,4,11,36.4,4,4,100.0,3,2,5,5,1,0,5,3,23
2022-01-05,GSW @ DAL,GSW,DAL,Away,L,00:36:04,14,5,24,20.8,1,9,11.1,3,4,75.0,0,9,9,5,0,1,5,2,0
2022-01-03,GSW vs. MIA,GSW,MIA,Home,W,00:32:01,9,3,17,17.6,1,10,10.0,2,2,100.0,0,3,3,10,0,1,2,3,0
2022-01-01,GSW @ UTA,GSW,UTA,Away,W,00:35:32,28,8,18,44.4,6,12,50.0,6,7,85.7,0,6,6,9,0,1,3,3,4
2021-12-28,GSW vs. DEN,GSW,DEN,Home,L,00:39:05,23,6,16,37.5,5,14,35.7,6,7,85.7,0,4,4,4,0,0,6,3,5
2021-12-25,GSW @ PHX,GSW,PHX,Away,W,00:37:13,33,10,27,37.0,5,16,31.3,8,9,88.9,0,4,4,6,3,1,1,3,24
2021-12-23,GSW vs. MEM,GSW,MEM,Home,W,00:37:18,46,13,22,59.1,8,14,57.1,12,12,100.0,0,4,4,4,2,0,3,1,15
2021-12-20,GSW vs. SAC,GSW,SAC,Home,W,00:36:14,30,13,27,48.1,4,12,33.3,0,1,0.0,0,3,3,4,0,2,4,1,16
2021-12-17,GSW @ BOS,GSW,BOS,Away,W,00:35:15,30,8,21,38.1,5,14,35.7,9,9,100.0,1,4,5,4,1,0,6,6,-10
2021-12-14,GSW @ NYK,GSW,NYK,Away,W,00:34:43,22,8,19,42.1,5,14,35.7,1,2,50.0,0,3,3,3,1,1,4,4,13
2021-12-13,GSW @ IND,GSW,IND,Away,W,00:35:21,26,8,20,40.0,5,15,33.3,5,5,100.0,1,5,6,6,1,1,7,1,17
2021-12-11,GSW @ PHI,GSW,PHI,Away,L,00:36:13,18,6,20,30.0,3,14,21.4,3,4,75.0,2,7,9,5,0,0,3,1,-9
2021-12-08,GSW vs. POR,GSW,POR,Home,W,00:33:21,22,8,19,42.1,6,17,35.3,0,0,0.0,2,0,2,2,1,0,4,3,16
2021-12-06,GSW vs. ORL,GSW,ORL,Home,W,00:30:58,31,8,16,50.0,7,13,53.8,8,8,100.0,0,3,3,8,2,0,3,2,9
2021-12-04,GSW vs. SAS,GSW,SAS,Home,L,00:36:52,27,7,28,25.0,5,17,29.4,8,9,88.9,1,7,8,5,3,0,1,1,3
2021-12-03,GSW vs. PHX,GSW,PHX,Home,W,00:33:24,23,8,20,40.0,6,11,54.5,1,2,50.0,2,3,5,5,0,0,3,2,10
2021-11-30,GSW @ PHX,GSW,PHX,Away,L,00:35:57,12,4,21,19.0,3,14,21.4,1,1,100.0,1,2,3,2,1,1,2,0,-17
2021-11-28,GSW @ LAC,GSW,LAC,Away,W,00:34:47,33,12,22,54.5,7,13,53.8,2,2,100.0,0,5,5,6,6,0,3,4,14
2021-11-26,GSW vs. POR,GSW,POR,Home,W,00:38:04,32,12,25,48.0,6,15,40.0,2,3,66.7,0,7,7,8,1,0,3,2,18
2021-11-24,GSW vs. PHI,GSW,PHI,Home,W,00:34:55,25,9,16,56.3,6,11,54.5,1,2,50.0,0,4,4,10,1,0,4,1,29
2021-11-21,GSW vs. TOR,GSW,TOR,Home,W,00:37:04,12,2,10,20.0,1,6,16.7,7,7,100.0,0,2,2,8,1,0,4,1,19
2021-11-18,GSW @ CLE,GSW,CLE,Away,W,00:35:22,40,15,27,55.6,9,16,56.3,1,1,100.0,0,4,4,6,2,0,3,4,10
