Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-08,CHI vs. CHA,CHI,CHA,Home,L,00:30:08,23,9,15,60.0,2,4,50.0,3,3,100.0,0,4,4,7,0,0,1,2,-19
2022-04-06,CHI vs. BOS,CHI,BOS,Home,L,00:27:11,7,2,9,22.2,0,5,0.0,3,3,100.0,0,2,2,4,0,1,2,2,-24
2022-04-02,CHI vs. MIA,CHI,MIA,Home,L,00:34:52,33,11,21,52.4,5,12,41.7,6,6,100.0,2,3,5,2,1,0,1,3,-6
2022-03-31,CHI vs. LAC,CHI,LAC,Home,W,00:40:39,21,5,17,29.4,1,6,16.7,10,13,76.9,0,4,4,5,1,0,2,2,-1
2022-03-29,CHI @ WAS,CHI,WAS,Away,W,00:34:15,14,4,10,40.0,2,5,40.0,4,6,66.7,0,4,4,1,0,0,3,2,-3
2022-03-28,CHI @ NYK,CHI,NYK,Away,L,00:36:13,27,8,17,47.1,2,7,28.6,9,10,90.0,0,4,4,3,0,0,0,2,-2
2022-03-26,CHI @ CLE,CHI,CLE,Away,W,00:38:45,25,8,17,47.1,2,7,28.6,7,8,87.5,0,1,1,3,1,0,2,0,7
2022-03-24,CHI @ NOP,CHI,NOP,Away,L,00:39:46,39,12,23,52.2,4,11,36.4,11,13,84.6,0,3,3,3,1,1,5,1,-1
2022-03-22,CHI @ MIL,CHI,MIL,Away,L,00:33:46,21,6,16,37.5,4,7,57.1,5,6,83.3,0,3,3,7,1,0,2,1,-12
2022-03-21,CHI vs. TOR,CHI,TOR,Home,W,00:35:05,26,9,18,50.0,3,6,50.0,5,8,62.5,2,4,6,6,1,0,0,0,19
2022-03-18,CHI @ PHX,CHI,PHX,Away,L,00:29:58,12,1,7,14.3,0,1,0.0,10,12,83.3,0,2,2,9,0,0,2,0,-25
2022-03-16,CHI @ UTA,CHI,UTA,Away,L,00:33:07,33,11,20,55.0,5,10,50.0,6,8,75.0,0,2,2,5,3,1,1,3,-1
2022-03-14,CHI @ SAC,CHI,SAC,Away,L,00:36:00,27,8,18,44.4,2,7,28.6,9,9,100.0,1,2,3,6,0,1,2,1,-21
2022-03-09,CHI @ DET,CHI,DET,Away,W,00:37:42,25,7,14,50.0,1,7,14.3,10,11,90.9,1,4,5,1,1,0,2,2,4
2022-03-07,CHI @ PHI,CHI,PHI,Away,L,00:37:06,24,8,19,42.1,3,6,50.0,5,8,62.5,2,6,8,5,0,0,5,4,-6
