Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-10,BOS @ MEM,BOS,MEM,Away,W,00:09:08,14,5,7,71.4,2,3,66.7,2,2,100.0,0,1,1,0,0,0,1,0,10
2022-04-06,BOS @ CHI,BOS,CHI,Away,W,00:08:51,6,1,4,25.0,0,2,0.0,4,4,100.0,0,3,3,2,0,0,0,0,12
2022-04-03,BOS vs. WAS,BOS,WAS,Home,W,00:09:34,5,2,4,50.0,0,0,0.0,1,1,100.0,2,3,5,3,0,0,0,1,10
2022-04-01,BOS vs. IND,BOS,IND,Home,W,00:08:41,2,1,5,20.0,0,1,0.0,0,0,0.0,1,1,2,3,1,0,0,0,3
2022-03-30,BOS vs. MIA,BOS,MIA,Home,L,00:09:10,5,2,3,66.7,0,1,0.0,1,1,100.0,0,1,1,1,0,0,1,1,3
2022-03-27,BOS vs. MIN,BOS,MIN,Home,W,00:08:59,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,2,0,1,2,0,7
2022-03-23,BOS vs. UTA,BOS,UTA,Home,W,00:08:09,11,4,5,80.0,3,4,75.0,0,0,0.0,0,0,0,1,0,0,0,0,10
2022-03-21,BOS @ OKC,BOS,OKC,Away,W,00:09:51,5,2,3,66.7,1,2,50.0,0,0,0.0,0,3,3,0,0,0,2,0,16
2022-03-20,BOS @ DEN,BOS,DEN,Away,W,00:08:11,7,3,5,60.0,1,2,50.0,0,0,0.0,0,2,2,3,0,0,0,0,8
2022-03-18,BOS @ SAC,BOS,SAC,Away,W,00:08:05,5,2,4,50.0,1,2,50.0,0,0,0.0,0,0,0,2,0,0,0,1,7
2022-03-16,BOS @ GSW,BOS,GSW,Away,W,00:08:53,4,2,4,50.0,0,0,0.0,0,0,0.0,0,4,4,1,1,0,0,0,6
2022-03-13,BOS vs. DAL,BOS,DAL,Home,L,00:08:44,6,2,6,33.3,2,4,50.0,0,0,0.0,0,2,2,0,0,0,1,0,1
2022-03-11,BOS vs. DET,BOS,DET,Home,W,00:09:18,10,5,9,55.6,0,2,0.0,0,0,0.0,1,0,1,1,0,0,0,1,0
2022-03-09,BOS @ CHA,BOS,CHA,Away,W,00:09:18,10,5,9,55.6,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,8
2022-03-06,BOS vs. BKN,BOS,BKN,Home,W,00:09:06,9,2,4,50.0,1,1,100.0,4,6,66.7,1,1,2,1,0,0,0,0,-6
2022-03-03,BOS vs. MEM,BOS,MEM,Home,W,00:08:58,6,2,5,40.0,1,2,50.0,1,1,100.0,0,2,2,0,0,0,2,0,11
2022-03-01,BOS vs. ATL,BOS,ATL,Home,W,00:09:25,6,3,8,37.5,0,2,0.0,0,0,0.0,0,2,2,2,0,0,0,1,-8
2022-02-27,BOS @ IND,BOS,IND,Away,L,00:02:47,2,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,2,2
2022-02-26,BOS @ DET,BOS,DET,Away,W,00:09:35,8,3,5,60.0,1,2,50.0,1,1,100.0,0,2,2,5,0,0,0,0,6
2022-02-24,BOS @ BKN,BOS,BKN,Away,W,00:11:18,7,2,4,50.0,1,2,50.0,2,2,100.0,0,3,3,1,1,0,3,1,12
2022-02-16,BOS vs. DET,BOS,DET,Home,L,00:09:04,5,2,4,50.0,1,3,33.3,0,0,0.0,0,1,1,4,0,0,2,0,-1
2022-02-15,BOS @ PHI,BOS,PHI,Away,W,00:09:03,5,1,3,33.3,1,3,33.3,2,2,100.0,0,3,3,2,0,1,0,0,9
2022-02-13,BOS vs. ATL,BOS,ATL,Home,W,00:10:26,4,2,7,28.6,0,3,0.0,0,0,0.0,0,4,4,0,1,0,0,1,-15
2022-02-11,BOS vs. DEN,BOS,DEN,Home,W,00:09:54,9,4,5,80.0,0,1,0.0,1,2,50.0,0,1,1,1,0,0,0,0,-5
2022-02-08,BOS @ BKN,BOS,BKN,Away,W,00:10:03,7,3,4,75.0,1,2,50.0,0,0,0.0,0,2,2,2,1,0,0,0,24
2022-02-06,BOS @ ORL,BOS,ORL,Away,W,00:09:39,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,2,0,10
2022-02-04,BOS @ DET,BOS,DET,Away,W,00:06:55,5,2,5,40.0,1,2,50.0,0,0,0.0,1,2,3,0,0,0,0,0,5
2022-02-02,BOS vs. CHA,BOS,CHA,Home,W,00:09:03,9,3,6,50.0,1,3,33.3,2,2,100.0,0,1,1,0,1,0,0,1,4
2022-01-31,BOS vs. MIA,BOS,MIA,Home,W,00:08:46,5,2,5,40.0,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,0,11
2022-01-29,BOS @ NOP,BOS,NOP,Away,W,00:07:59,11,5,7,71.4,1,3,33.3,0,0,0.0,0,2,2,1,0,0,0,1,11
2022-01-28,BOS @ ATL,BOS,ATL,Away,L,00:10:27,1,0,5,0.0,0,1,0.0,1,1,100.0,0,1,1,0,0,0,1,1,-7
2022-01-25,BOS vs. SAC,BOS,SAC,Home,W,00:08:27,11,4,6,66.7,3,4,75.0,0,0,0.0,0,1,1,4,0,0,0,0,18
2022-01-23,BOS @ WAS,BOS,WAS,Away,W,00:08:35,13,5,6,83.3,3,3,100.0,0,0,0.0,0,2,2,2,0,0,0,1,11
2022-01-21,BOS vs. POR,BOS,POR,Home,L,00:08:00,5,2,3,66.7,0,1,0.0,1,1,100.0,0,0,0,2,0,0,1,0,-3
2022-01-19,BOS vs. CHA,BOS,CHA,Home,L,00:09:22,6,2,5,40.0,0,1,0.0,2,3,66.7,0,0,0,0,0,0,1,2,-2
2022-01-17,BOS vs. NOP,BOS,NOP,Home,W,00:07:01,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,-14
