Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-03-30,NYK vs. CHA,NYK,CHA,Home,L,00:06:42,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-3
2022-03-28,NYK vs. CHI,NYK,CHI,Home,W,00:05:36,0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,1,1,0,7
2022-03-27,NYK @ DET,NYK,DET,Away,W,00:06:10,7,3,7,42.9,1,1,100.0,0,0,0.0,1,1,2,0,0,0,2,0,-6
2022-03-20,NYK vs. UTA,NYK,UTA,Home,L,00:07:10,5,2,5,40.0,1,2,50.0,0,0,0.0,0,3,3,1,0,0,1,0,-1
2022-03-18,NYK vs. WAS,NYK,WAS,Home,W,00:07:57,11,4,7,57.1,1,3,33.3,2,4,50.0,0,5,5,1,0,0,0,0,13
2022-03-16,NYK vs. POR,NYK,POR,Home,W,00:07:08,6,0,4,0.0,0,1,0.0,6,6,100.0,0,1,1,0,0,0,0,0,1
2022-03-13,NYK @ BKN,NYK,BKN,Away,L,00:05:41,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2
2022-03-11,NYK @ MEM,NYK,MEM,Away,L,00:08:51,3,1,3,33.3,0,0,0.0,1,1,100.0,0,0,0,2,0,1,2,2,3
2022-03-09,NYK @ DAL,NYK,DAL,Away,W,00:04:44,3,1,2,50.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,0,0,2
2022-03-07,NYK @ SAC,NYK,SAC,Away,W,00:00:57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-3
2022-03-06,NYK @ LAC,NYK,LAC,Away,W,00:06:21,6,2,4,50.0,0,1,0.0,2,3,66.7,0,2,2,2,0,0,0,0,0
2022-03-04,NYK @ PHX,NYK,PHX,Away,L,00:07:46,6,3,6,50.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,-3
2022-03-02,NYK @ PHI,NYK,PHI,Away,L,00:05:46,4,2,6,33.3,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,-6
2022-02-27,NYK vs. PHI,NYK,PHI,Home,L,00:07:39,4,1,3,33.3,0,0,0.0,2,2,100.0,1,2,3,1,0,0,0,1,-3
2022-02-25,NYK vs. MIA,NYK,MIA,Home,L,00:06:51,0,0,3,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,1,0,-3
2022-02-16,NYK vs. BKN,NYK,BKN,Home,L,00:05:27,6,2,4,50.0,2,3,66.7,0,0,0.0,0,1,1,1,1,0,0,0,-4
2022-02-14,NYK vs. OKC,NYK,OKC,Home,L,00:07:17,8,3,7,42.9,0,1,0.0,2,2,100.0,0,3,3,1,0,0,2,1,0
2022-02-12,NYK @ POR,NYK,POR,Away,L,00:06:41,4,0,5,0.0,0,1,0.0,4,4,100.0,1,5,6,3,0,0,0,0,2
2022-02-10,NYK @ GSW,NYK,GSW,Away,W,00:06:33,6,2,5,40.0,0,0,0.0,2,2,100.0,0,3,3,0,0,0,0,0,-4
2022-02-08,NYK @ DEN,NYK,DEN,Away,L,00:07:55,7,3,6,50.0,1,1,100.0,0,0,0.0,0,1,1,0,2,0,0,1,-13
2022-02-07,NYK @ UTA,NYK,UTA,Away,L,00:05:11,8,3,3,100.0,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,1
2022-02-05,NYK @ LAL,NYK,LAL,Away,L,00:06:04,8,3,6,50.0,2,3,66.7,0,0,0.0,0,2,2,2,0,0,1,1,-1
2022-02-02,NYK vs. MEM,NYK,MEM,Home,L,00:05:52,5,2,4,50.0,0,1,0.0,1,3,33.3,1,1,2,1,0,0,1,0,3
2022-01-31,NYK vs. SAC,NYK,SAC,Home,W,00:05:28,2,1,2,50.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,0,-3
2022-01-28,NYK @ MIL,NYK,MIL,Away,L,00:04:13,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,4
2022-01-26,NYK @ MIA,NYK,MIA,Away,L,00:05:36,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,2,0,-3
2022-01-24,NYK @ CLE,NYK,CLE,Away,L,00:06:14,5,1,3,33.3,0,2,0.0,3,4,75.0,1,3,4,0,0,0,2,0,-6
2022-01-23,NYK vs. LAC,NYK,LAC,Home,W,00:06:43,1,0,1,0.0,0,1,0.0,1,2,50.0,0,1,1,0,0,0,2,1,-4
2022-01-20,NYK vs. NOP,NYK,NOP,Home,L,00:06:57,4,1,4,25.0,0,0,0.0,2,4,50.0,1,1,2,1,1,0,1,0,4
2022-01-18,NYK vs. MIN,NYK,MIN,Home,L,00:05:44,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,2,0,1,1,1,1
2022-01-17,NYK vs. CHA,NYK,CHA,Home,L,00:07:19,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,-10
2022-01-15,NYK @ ATL,NYK,ATL,Away,W,00:07:18,13,5,6,83.3,1,2,50.0,2,2,100.0,0,1,1,3,0,0,0,1,10
2022-01-12,NYK vs. DAL,NYK,DAL,Home,W,00:07:00,4,1,4,25.0,0,0,0.0,2,3,66.7,0,2,2,2,0,0,0,1,6
2022-01-10,NYK vs. SAS,NYK,SAS,Home,W,00:05:30,0,0,2,0.0,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,0,5
2022-01-08,NYK @ BOS,NYK,BOS,Away,L,00:07:29,5,2,4,50.0,1,3,33.3,0,0,0.0,0,4,4,0,0,0,3,1,-3
2022-01-06,NYK vs. BOS,NYK,BOS,Home,W,00:07:14,7,3,6,50.0,0,1,0.0,1,1,100.0,0,0,0,0,0,0,0,0,1
2022-01-04,NYK vs. IND,NYK,IND,Home,W,00:07:26,3,1,2,50.0,0,0,0.0,1,1,100.0,0,3,3,1,0,0,0,0,-9
2021-12-29,NYK @ DET,NYK,DET,Away,W,00:07:05,3,1,2,50.0,0,0,0.0,1,1,100.0,0,2,2,3,1,0,1,1,-4
2021-12-28,NYK @ MIN,NYK,MIN,Away,W,00:06:25,0,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,-10
2021-12-25,NYK vs. ATL,NYK,ATL,Home,W,00:05:29,5,2,2,100.0,1,1,100.0,0,0,0.0,0,3,3,1,0,0,0,0,5
2021-12-23,NYK vs. WAS,NYK,WAS,Home,L,00:05:15,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,8
2021-12-21,NYK vs. DET,NYK,DET,Home,W,00:07:55,6,2,4,50.0,0,2,0.0,2,3,66.7,0,0,0,2,0,0,2,0,1
2021-12-18,NYK @ BOS,NYK,BOS,Away,L,00:08:23,9,3,5,60.0,1,3,33.3,2,2,100.0,0,0,0,0,0,0,2,2,-2
2021-12-16,NYK @ HOU,NYK,HOU,Away,W,00:08:52,5,2,6,33.3,1,3,33.3,0,0,0.0,0,3,3,0,0,0,1,0,-7
2021-12-14,NYK vs. GSW,NYK,GSW,Home,L,00:05:37,2,1,4,25.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,2,1,-5
2021-12-12,NYK vs. MIL,NYK,MIL,Home,L,00:10:03,5,1,1,100.0,1,1,100.0,2,2,100.0,2,2,4,3,0,1,3,0,-3
2021-12-10,NYK @ TOR,NYK,TOR,Away,L,00:07:44,5,2,3,66.7,1,2,50.0,0,0,0.0,1,5,6,1,0,0,3,1,4
2021-12-08,NYK @ IND,NYK,IND,Away,L,00:07:16,10,4,7,57.1,0,0,0.0,2,2,100.0,1,2,3,0,1,0,1,2,-3
2021-12-07,NYK @ SAS,NYK,SAS,Away,W,00:06:35,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,-2
2021-12-04,NYK vs. DEN,NYK,DEN,Home,L,00:07:47,7,3,5,60.0,1,1,100.0,0,0,0.0,2,1,3,1,0,0,0,0,1
