Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-02-16,POR @ MEM,POR,MEM,Away,W,00:06:37,6,3,3,100.0,0,0,0.0,0,2,0.0,1,2,3,0,0,1,0,1,0
2022-02-14,POR @ MIL,POR,MIL,Away,W,00:08:15,2,0,0,0.0,0,0,0.0,2,2,100.0,0,6,6,1,0,0,0,2,21
2022-02-12,POR vs. NYK,POR,NYK,Home,W,00:09:29,2,1,2,50.0,0,0,0.0,0,0,0.0,1,4,5,2,0,0,1,1,-4
2022-02-09,POR vs. LAL,POR,LAL,Home,W,00:07:36,9,3,4,75.0,0,0,0.0,3,5,60.0,1,4,5,1,0,0,1,1,-1
2022-02-08,POR vs. ORL,POR,ORL,Home,L,00:06:49,4,2,6,33.3,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,-6
2022-02-05,POR vs. MIL,POR,MIL,Home,L,00:09:09,5,2,3,66.7,0,0,0.0,1,1,100.0,2,2,4,1,0,1,1,2,-10
2022-02-04,POR vs. OKC,POR,OKC,Home,L,00:08:02,0,0,4,0.0,0,0,0.0,0,0,0.0,1,4,5,0,1,0,0,1,10
2022-02-02,POR @ LAL,POR,LAL,Away,L,00:07:32,8,3,8,37.5,2,3,66.7,0,0,0.0,4,2,6,2,0,0,0,2,9
2022-01-31,POR @ OKC,POR,OKC,Away,L,00:07:36,2,1,3,33.3,0,0,0.0,0,0,0.0,1,1,2,1,0,1,1,0,-8
2022-01-30,POR @ CHI,POR,CHI,Away,L,00:06:52,4,1,2,50.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,2,1,-9
2022-01-28,POR @ HOU,POR,HOU,Away,W,00:08:07,7,1,2,50.0,0,0,0.0,5,6,83.3,0,1,1,0,0,1,2,1,0
2022-01-26,POR vs. DAL,POR,DAL,Home,L,00:05:34,8,3,5,60.0,0,0,0.0,2,2,100.0,2,2,4,0,0,0,0,0,6
2022-01-25,POR vs. MIN,POR,MIN,Home,L,00:06:53,4,2,4,50.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,0,1
2022-01-23,POR @ TOR,POR,TOR,Away,W,00:06:50,4,2,2,100.0,0,0,0.0,0,0,0.0,0,2,2,0,1,1,0,1,5
2022-01-21,POR @ BOS,POR,BOS,Away,W,00:08:59,8,2,6,33.3,0,0,0.0,4,4,100.0,2,4,6,0,1,0,0,0,-1
2022-01-19,POR @ MIA,POR,MIA,Away,L,00:07:03,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,2,1,0,0,1,1
2022-01-17,POR @ ORL,POR,ORL,Away,W,00:08:24,9,4,8,50.0,0,1,0.0,1,2,50.0,3,3,6,0,1,0,2,1,10
2022-01-15,POR @ WAS,POR,WAS,Away,W,00:12:00,9,4,5,80.0,0,1,0.0,1,2,50.0,0,2,2,1,0,0,1,1,6
2022-01-13,POR @ DEN,POR,DEN,Away,L,00:06:53,3,1,1,100.0,0,0,0.0,1,1,100.0,0,1,1,1,0,1,0,2,-5
2022-01-10,POR vs. BKN,POR,BKN,Home,W,00:09:14,3,1,3,33.3,0,1,0.0,1,2,50.0,0,1,1,0,0,0,0,1,-11
2022-01-09,POR vs. SAC,POR,SAC,Home,W,00:08:23,3,1,2,50.0,0,0,0.0,1,2,50.0,0,3,3,1,0,0,2,0,7
2022-01-07,POR vs. CLE,POR,CLE,Home,L,00:09:29,6,2,4,50.0,2,2,100.0,0,0,0.0,1,3,4,1,1,0,0,2,-5
2022-01-05,POR vs. MIA,POR,MIA,Home,L,00:09:38,8,2,3,66.7,0,1,0.0,4,6,66.7,1,4,5,1,1,0,0,2,-7
2022-01-03,POR vs. ATL,POR,ATL,Home,W,00:05:44,6,3,5,60.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,8
2021-12-21,POR @ NOP,POR,NOP,Away,L,00:08:23,6,1,2,50.0,0,0,0.0,4,4,100.0,0,0,0,1,1,0,0,1,2
2021-12-19,POR @ MEM,POR,MEM,Away,W,00:04:19,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,0,-1
2021-12-17,POR vs. CHA,POR,CHA,Home,W,00:04:12,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,5
2021-12-15,POR vs. MEM,POR,MEM,Home,L,00:02:46,4,1,1,100.0,0,0,0.0,2,3,66.7,0,1,1,0,0,0,1,2,0
2021-12-14,POR vs. PHX,POR,PHX,Home,L,00:08:52,4,2,2,100.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,0,4
2021-12-12,POR vs. MIN,POR,MIN,Home,L,00:01:11,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-2
2021-12-08,POR @ GSW,POR,GSW,Away,L,00:06:46,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,-4
2021-12-06,POR vs. LAC,POR,LAC,Home,L,00:06:22,8,3,5,60.0,1,1,100.0,1,2,50.0,0,2,2,0,0,0,0,1,3
2021-12-04,POR vs. BOS,POR,BOS,Home,L,00:04:28,3,1,1,100.0,0,0,0.0,1,1,100.0,1,1,2,0,0,0,1,2,-1
2021-12-02,POR vs. SAS,POR,SAS,Home,L,00:08:57,4,2,2,100.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,1,-11
2021-11-30,POR vs. DET,POR,DET,Home,W,00:08:48,5,2,3,66.7,0,0,0.0,1,2,50.0,0,2,2,1,0,0,0,1,3
2021-11-29,POR @ UTA,POR,UTA,Away,L,00:09:05,13,5,5,100.0,1,1,100.0,2,2,100.0,3,0,3,0,0,0,0,2,-2
2021-11-26,POR @ GSW,POR,GSW,Away,L,00:06:36,2,1,1,100.0,0,0,0.0,0,2,0.0,0,3,3,0,0,0,0,0,-8
2021-11-24,POR @ SAC,POR,SAC,Away,L,00:08:14,5,2,4,50.0,0,1,0.0,1,1,100.0,1,3,4,0,0,0,0,1,-4
2021-11-23,POR vs. DEN,POR,DEN,Home,W,00:07:10,2,1,1,100.0,0,0,0.0,0,0,0.0,1,2,3,2,0,1,1,1,11
2021-11-20,POR vs. PHI,POR,PHI,Home,W,00:08:31,4,2,2,100.0,0,0,0.0,0,0,0.0,0,4,4,0,2,0,0,0,0
2021-11-17,POR vs. CHI,POR,CHI,Home,W,00:02:42,4,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,-5
2021-11-15,POR vs. TOR,POR,TOR,Home,W,00:06:31,0,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,0,6
2021-11-14,POR @ DEN,POR,DEN,Away,L,00:07:38,4,2,3,66.7,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,-1
2021-11-12,POR @ HOU,POR,HOU,Away,W,00:08:15,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,2,1,0,0,10
2021-11-10,POR @ PHX,POR,PHX,Away,L,00:05:59,4,2,4,50.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,-6
2021-11-09,POR @ LAC,POR,LAC,Away,L,00:07:02,4,1,2,50.0,0,0,0.0,2,2,100.0,1,3,4,2,0,0,2,1,3
2021-11-06,POR vs. LAL,POR,LAL,Home,W,00:06:25,4,2,2,100.0,0,0,0.0,0,2,0.0,1,5,6,0,0,0,0,1,-7
2021-11-05,POR vs. IND,POR,IND,Home,W,00:04:06,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-10
2021-11-03,POR @ CLE,POR,CLE,Away,L,00:07:42,2,1,2,50.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,1,2
2021-11-01,POR @ PHI,POR,PHI,Away,L,00:08:14,1,0,0,0.0,0,0,0.0,1,4,25.0,2,0,2,0,1,0,0,0,6
