Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-10,CLE vs. MIL,CLE,MIL,Home,W,00:04:57,5,2,4,50.0,0,1,0.0,1,1,100.0,2,2,4,1,0,0,0,0,-1
2022-04-08,CLE @ BKN,CLE,BKN,Away,L,00:04:36,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,1,3
2022-04-05,CLE @ ORL,CLE,ORL,Away,L,00:11:19,4,2,5,40.0,0,2,0.0,0,0,0.0,2,7,9,1,0,0,1,0,1
2022-04-03,CLE vs. PHI,CLE,PHI,Home,L,00:07:00,6,2,4,50.0,2,3,66.7,0,0,0.0,0,2,2,1,0,0,1,1,5
2022-04-02,CLE @ NYK,CLE,NYK,Away,W,00:04:42,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,0,1,-3
2022-03-31,CLE @ ATL,CLE,ATL,Away,L,00:07:16,0,0,4,0.0,0,4,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-3
2022-03-30,CLE vs. DAL,CLE,DAL,Home,L,00:07:26,3,1,4,25.0,1,2,50.0,0,0,0.0,1,2,3,2,0,0,2,1,6
2022-03-28,CLE vs. ORL,CLE,ORL,Home,W,00:10:59,14,5,7,71.4,3,5,60.0,1,1,100.0,0,2,2,2,0,0,3,0,4
2022-03-26,CLE vs. CHI,CLE,CHI,Home,L,00:08:21,0,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,1,1,2,-5
2022-03-24,CLE @ TOR,CLE,TOR,Away,L,00:06:20,0,0,1,0.0,0,1,0.0,0,0,0.0,2,0,2,1,0,0,1,1,-7
2022-03-21,CLE vs. LAL,CLE,LAL,Home,L,00:10:34,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,1,1,-13
2022-03-19,CLE vs. DET,CLE,DET,Home,W,00:05:25,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,-4
2022-03-18,CLE vs. DEN,CLE,DEN,Home,W,00:06:17,3,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,0,-10
2022-03-16,CLE vs. PHI,CLE,PHI,Home,L,00:01:59,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-8
2022-03-14,CLE vs. LAC,CLE,LAC,Home,W,00:04:27,5,2,3,66.7,1,1,100.0,0,1,0.0,1,1,2,0,0,0,2,1,-5
2022-03-12,CLE @ CHI,CLE,CHI,Away,L,00:04:31,5,2,4,50.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,2,-8
2022-03-11,CLE @ MIA,CLE,MIA,Away,L,00:04:41,6,3,3,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,-2
2022-03-08,CLE @ IND,CLE,IND,Away,W,00:05:25,5,2,4,50.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,1,-4
2022-03-06,CLE vs. TOR,CLE,TOR,Home,W,00:07:21,2,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,9
2022-03-04,CLE @ PHI,CLE,PHI,Away,L,00:06:49,2,0,3,0.0,0,1,0.0,2,2,100.0,1,2,3,0,0,0,0,0,2
2022-03-02,CLE vs. CHA,CLE,CHA,Home,L,00:02:31,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
2022-02-28,CLE vs. MIN,CLE,MIN,Home,L,00:06:10,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-9
2022-02-26,CLE vs. WAS,CLE,WAS,Home,W,00:03:54,0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,1,1,0,0,1,-4
2022-02-24,CLE @ DET,CLE,DET,Away,L,00:03:06,0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,-3
2022-02-15,CLE @ ATL,CLE,ATL,Away,L,00:06:30,0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-4
2022-02-12,CLE @ PHI,CLE,PHI,Away,L,00:06:34,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,0,6
2022-02-11,CLE @ IND,CLE,IND,Away,W,00:07:41,2,0,0,0.0,0,0,0.0,2,2,100.0,0,2,2,1,0,0,0,0,11
2022-02-09,CLE vs. SAS,CLE,SAS,Home,W,00:07:29,0,0,2,0.0,0,0,0.0,0,2,0.0,0,4,4,0,0,0,0,0,12
2022-02-06,CLE vs. IND,CLE,IND,Home,W,00:08:19,7,3,6,50.0,1,3,33.3,0,0,0.0,3,1,4,0,0,0,0,0,6
2022-02-04,CLE @ CHA,CLE,CHA,Away,W,00:07:17,3,1,3,33.3,1,3,33.3,0,0,0.0,0,3,3,0,0,0,1,1,5
2022-02-02,CLE @ HOU,CLE,HOU,Away,L,00:07:17,8,3,6,50.0,0,1,0.0,2,2,100.0,1,7,8,0,0,1,0,0,-3
2022-01-31,CLE vs. NOP,CLE,NOP,Home,W,00:08:55,0,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,3,0,0,0,0,7
2022-01-30,CLE @ DET,CLE,DET,Away,L,00:04:54,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,2,2
2022-01-26,CLE vs. MIL,CLE,MIL,Home,W,00:08:31,6,2,2,100.0,2,2,100.0,0,0,0.0,0,2,2,1,1,0,2,0,15
2022-01-24,CLE vs. NYK,CLE,NYK,Home,W,00:05:17,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,2,-1
2022-01-22,CLE vs. OKC,CLE,OKC,Home,W,00:05:59,1,0,2,0.0,0,2,0.0,1,2,50.0,0,1,1,0,0,0,0,0,1
2022-01-19,CLE @ CHI,CLE,CHI,Away,L,00:06:51,2,1,4,25.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,0,-4
2022-01-17,CLE vs. BKN,CLE,BKN,Home,W,00:06:11,5,2,2,100.0,1,1,100.0,0,0,0.0,1,2,3,1,0,0,1,0,6
2022-01-15,CLE @ OKC,CLE,OKC,Away,W,00:04:52,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
