Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-10,UTA @ POR,UTA,POR,Away,W,8.49,6,1,1,100.0,0,0,0.0,4,4,100.0,1,5,6,1,0,0,0,0,16
2022-04-08,UTA vs. PHX,UTA,PHX,Home,L,8.41,3,1,1,100.0,0,0,0.0,1,2,50.0,0,5,5,1,0,0,0,0,7
2022-04-06,UTA vs. OKC,UTA,OKC,Home,W,7.33,6,2,2,100.0,0,0,0.0,2,4,50.0,0,4,4,0,0,0,0,2,6
2022-04-05,UTA vs. MEM,UTA,MEM,Home,W,6.34,7,1,3,33.3,0,0,0.0,5,6,83.3,1,1,2,0,0,0,1,1,-4
2022-04-02,UTA @ GSW,UTA,GSW,Away,L,9.0,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,0,8
2022-03-31,UTA vs. LAL,UTA,LAL,Home,W,8.58,6,2,3,66.7,0,0,0.0,2,3,66.7,1,3,4,0,0,0,1,0,5
2022-03-29,UTA @ LAC,UTA,LAC,Away,L,9.07,0,0,3,0.0,0,0,0.0,0,2,0.0,1,1,2,0,0,1,0,2,2
2022-03-25,UTA @ CHA,UTA,CHA,Away,L,7.47,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-4
2022-03-23,UTA @ BOS,UTA,BOS,Away,L,7.58,3,1,3,33.3,0,0,0.0,1,1,100.0,1,3,4,0,0,0,0,0,-5
2022-03-21,UTA @ BKN,UTA,BKN,Away,L,7.51,1,0,0,0.0,0,0,0.0,1,2,50.0,0,2,2,0,0,0,0,1,-5
2022-03-20,UTA @ NYK,UTA,NYK,Away,W,7.33,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,9
2022-03-18,UTA vs. LAC,UTA,LAC,Home,W,9.03,11,5,8,62.5,0,0,0.0,1,1,100.0,5,1,6,0,0,0,0,0,23
2022-03-16,UTA vs. CHI,UTA,CHI,Home,W,6.34,2,1,4,25.0,0,0,0.0,0,0,0.0,3,4,7,0,0,2,0,1,0
2022-03-14,UTA vs. MIL,UTA,MIL,Home,L,8.55,4,0,1,0.0,0,0,0.0,4,4,100.0,2,3,5,0,0,0,2,1,-6
2022-03-11,UTA @ SAS,UTA,SAS,Away,L,7.53,2,0,0,0.0,0,0,0.0,2,2,100.0,1,3,4,1,0,1,0,1,-4
2022-03-09,UTA vs. POR,UTA,POR,Home,W,7.47,4,2,2,100.0,0,0,0.0,0,2,0.0,0,4,4,0,0,0,0,1,1
2022-03-07,UTA @ DAL,UTA,DAL,Away,L,7.4,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,-8
