Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-10,PHI vs. DET,PHI,DET,Home,W,00:06:41,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,3,0
2022-04-09,PHI vs. IND,PHI,IND,Home,W,00:06:36,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-2
2022-04-07,PHI @ TOR,PHI,TOR,Away,L,00:10:24,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,-3
2022-04-05,PHI @ IND,PHI,IND,Away,W,00:07:12,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-12
2022-04-03,PHI @ CLE,PHI,CLE,Away,W,00:06:44,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,6
2022-04-02,PHI vs. CHA,PHI,CHA,Home,W,00:06:43,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,18
2022-03-31,PHI @ DET,PHI,DET,Away,L,00:06:52,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,2,0,1,0
2022-03-29,PHI vs. MIL,PHI,MIL,Home,L,00:08:23,4,2,5,40.0,0,2,0.0,0,0,0.0,1,4,5,1,0,0,0,0,1
2022-03-27,PHI @ PHX,PHI,PHX,Away,L,00:07:40,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-5
2022-03-25,PHI @ LAC,PHI,LAC,Away,W,00:08:33,7,3,4,75.0,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,0,-1
2022-03-23,PHI @ LAL,PHI,LAL,Away,W,00:05:56,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,3
2022-03-21,PHI vs. MIA,PHI,MIA,Home,W,00:10:03,5,2,3,66.7,1,1,100.0,0,0,0.0,0,1,1,1,1,0,1,2,-2
2022-03-20,PHI vs. TOR,PHI,TOR,Home,L,00:02:55,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2
2022-03-18,PHI vs. DAL,PHI,DAL,Home,W,00:03:18,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1
2022-03-16,PHI @ CLE,PHI,CLE,Away,W,00:09:26,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,1,-10
2022-03-14,PHI vs. DEN,PHI,DEN,Home,L,00:08:59,3,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,0,0,3
2022-03-13,PHI @ ORL,PHI,ORL,Away,W,00:07:05,3,1,4,25.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,0,0,12
2022-03-10,PHI vs. BKN,PHI,BKN,Home,L,00:12:00,11,3,5,60.0,3,4,75.0,2,2,100.0,1,1,2,2,0,1,1,0,-11
2022-03-07,PHI vs. CHI,PHI,CHI,Home,W,00:12:00,2,1,4,25.0,0,2,0.0,0,1,0.0,0,1,1,0,0,0,0,1,5
2022-03-05,PHI @ MIA,PHI,MIA,Away,L,00:06:25,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,4
2022-03-04,PHI vs. CLE,PHI,CLE,Home,W,00:06:33,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,5
2022-03-02,PHI vs. NYK,PHI,NYK,Home,W,00:06:04,0,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,1,8
2022-02-27,PHI @ NYK,PHI,NYK,Away,W,00:06:45,2,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,1,1,0
2022-02-25,PHI @ MIN,PHI,MIN,Away,W,00:07:13,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,4
2022-02-17,PHI @ MIL,PHI,MIL,Away,W,00:11:10,4,2,5,40.0,0,1,0.0,0,0,0.0,1,3,4,2,0,0,0,0,-2
2022-02-15,PHI vs. BOS,PHI,BOS,Home,L,00:10:37,4,1,4,25.0,0,0,0.0,2,2,100.0,0,3,3,0,0,0,0,0,-18
2022-02-12,PHI vs. CLE,PHI,CLE,Home,W,00:06:55,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,2,2,-10
2022-02-11,PHI vs. OKC,PHI,OKC,Home,W,00:10:51,8,3,4,75.0,1,1,100.0,1,1,100.0,0,3,3,1,0,2,0,0,8
2022-02-08,PHI vs. PHX,PHI,PHX,Home,L,00:09:26,4,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2
2022-02-06,PHI @ CHI,PHI,CHI,Away,W,00:06:57,5,2,2,100.0,0,0,0.0,1,3,33.3,0,2,2,2,0,0,0,1,1
2022-02-04,PHI @ DAL,PHI,DAL,Away,L,00:09:33,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,1,-11
2022-02-02,PHI vs. WAS,PHI,WAS,Home,L,00:08:25,1,0,1,0.0,0,0,0.0,1,1,100.0,1,0,1,1,0,0,0,0,4
2022-01-31,PHI vs. MEM,PHI,MEM,Home,W,00:06:54,5,2,5,40.0,0,1,0.0,1,1,100.0,0,1,1,0,0,0,2,1,-2
2022-01-29,PHI vs. SAC,PHI,SAC,Home,W,00:08:43,2,1,3,33.3,0,1,0.0,0,0,0.0,1,2,3,1,0,0,1,2,2
2022-01-27,PHI vs. LAL,PHI,LAL,Home,W,00:08:36,6,2,3,66.7,2,2,100.0,0,0,0.0,0,1,1,0,0,0,0,0,3
2022-01-25,PHI vs. NOP,PHI,NOP,Home,W,00:07:22,5,2,4,50.0,1,1,100.0,0,0,0.0,0,3,3,1,0,1,0,0,7
2022-01-23,PHI @ SAS,PHI,SAS,Away,W,00:06:13,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-3
2022-01-21,PHI vs. LAC,PHI,LAC,Home,L,00:10:02,7,2,5,40.0,1,2,50.0,2,2,100.0,0,2,2,2,0,0,0,2,-3
2022-01-19,PHI vs. ORL,PHI,ORL,Home,W,00:08:39,5,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0,1,0,0,0,0,18
2022-01-17,PHI @ WAS,PHI,WAS,Away,L,00:04:12,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0
2022-01-15,PHI @ MIA,PHI,MIA,Away,W,00:12:00,4,2,4,50.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,9
2022-01-14,PHI vs. BOS,PHI,BOS,Home,W,00:12:00,6,2,5,40.0,0,2,0.0,2,2,100.0,1,1,2,1,0,0,0,1,-3
2022-01-12,PHI vs. CHA,PHI,CHA,Home,L,00:07:58,6,2,4,50.0,0,1,0.0,2,2,100.0,0,3,3,1,0,0,3,1,7
2022-01-10,PHI @ HOU,PHI,HOU,Away,W,00:05:24,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-3
2022-01-07,PHI vs. SAS,PHI,SAS,Home,W,00:07:57,5,1,1,100.0,0,0,0.0,3,4,75.0,0,1,1,1,0,0,0,0,-5
2022-01-05,PHI @ ORL,PHI,ORL,Away,W,00:10:11,3,1,3,33.3,1,1,100.0,0,0,0.0,0,2,2,0,0,1,1,0,-10
2022-01-03,PHI vs. HOU,PHI,HOU,Home,W,00:07:19,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,1,0,14
2021-12-30,PHI @ BKN,PHI,BKN,Away,W,00:12:00,3,1,3,33.3,0,0,0.0,1,2,50.0,1,1,2,0,0,0,0,1,1
2021-12-28,PHI @ TOR,PHI,TOR,Away,W,00:08:41,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,3,0,1,1,0,-3
2021-12-26,PHI @ WAS,PHI,WAS,Away,W,00:06:03,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,11
