Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-10,DAL vs. SAS,DAL,SAS,Home,W,2.31,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-4
2022-04-06,DAL @ DET,DAL,DET,Away,W,5.37,0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,0,-1
2022-04-03,DAL @ MIL,DAL,MIL,Away,W,3.05,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-6
2022-04-01,DAL @ WAS,DAL,WAS,Away,L,4.03,3,1,2,50.0,0,0,0.0,1,2,50.0,0,1,1,0,0,0,0,0,-11
2022-03-29,DAL vs. LAL,DAL,LAL,Home,W,9.52,1,0,2,0.0,0,2,0.0,1,2,50.0,0,1,1,3,0,0,2,1,-7
2022-03-27,DAL vs. UTA,DAL,UTA,Home,W,6.03,2,1,3,33.3,0,2,0.0,0,0,0.0,0,0,0,1,0,0,1,0,8
2022-03-25,DAL @ MIN,DAL,MIN,Away,L,6.0,1,0,2,0.0,0,2,0.0,1,2,50.0,0,1,1,1,0,0,0,0,-2
2022-03-23,DAL vs. HOU,DAL,HOU,Home,W,8.42,7,3,4,75.0,1,1,100.0,0,0,0.0,0,2,2,0,1,0,1,1,11
2022-03-21,DAL vs. MIN,DAL,MIN,Home,W,9.31,6,2,3,66.7,0,1,0.0,2,2,100.0,0,2,2,1,0,0,0,1,-3
2022-03-18,DAL @ PHI,DAL,PHI,Away,L,9.22,6,2,4,50.0,0,1,0.0,2,3,66.7,0,1,1,0,0,0,0,2,-5
2022-03-16,DAL @ BKN,DAL,BKN,Away,W,12.0,15,4,6,66.7,2,3,66.7,5,5,100.0,0,2,2,0,2,0,0,0,14
2022-03-13,DAL @ BOS,DAL,BOS,Away,W,12.0,6,2,4,50.0,1,3,33.3,1,3,33.3,0,1,1,1,0,0,0,0,0
2022-03-11,DAL @ HOU,DAL,HOU,Away,W,4.3,3,1,3,33.3,1,1,100.0,0,0,0.0,0,1,1,1,0,0,0,1,1
2022-03-09,DAL vs. NYK,DAL,NYK,Home,L,7.09,2,0,2,0.0,0,0,0.0,2,4,50.0,0,1,1,0,0,0,0,3,-7
2022-03-07,DAL vs. UTA,DAL,UTA,Home,W,12.0,9,2,4,50.0,1,2,50.0,4,4,100.0,0,1,1,1,0,0,0,1,-9
2022-03-05,DAL vs. SAC,DAL,SAC,Home,W,11.14,13,5,8,62.5,2,5,40.0,1,2,50.0,0,0,0,1,0,0,1,1,10
2022-03-03,DAL vs. GSW,DAL,GSW,Home,W,9.0,7,3,6,50.0,0,1,0.0,1,1,100.0,0,1,1,2,0,0,0,0,7
2022-03-01,DAL @ LAL,DAL,LAL,Away,W,4.25,3,1,4,25.0,0,1,0.0,1,1,100.0,0,0,0,2,0,0,0,0,-2
2022-02-27,DAL @ GSW,DAL,GSW,Away,W,12.0,10,4,5,80.0,2,2,100.0,0,0,0.0,0,1,1,2,0,0,0,1,20
2022-02-25,DAL @ UTA,DAL,UTA,Away,L,7.48,8,3,4,75.0,2,2,100.0,0,0,0.0,0,1,1,1,0,0,0,0,0
