Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-03-14,GSW vs. WAS,GSW,WAS,Home,W,00:05:23,13,4,6,66.7,2,4,50.0,3,3,100.0,0,2,2,0,0,0,0,0,4
2022-03-12,GSW vs. MIL,GSW,MIL,Home,W,00:04:53,3,1,3,33.3,1,1,100.0,0,0,0.0,0,2,2,1,0,0,1,0,3
2022-03-10,GSW @ DEN,GSW,DEN,Away,W,00:07:25,6,3,5,60.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,0,5
2022-03-08,GSW vs. LAC,GSW,LAC,Home,W,00:10:33,4,1,3,33.3,0,1,0.0,2,2,100.0,0,3,3,1,1,0,1,0,-10
2022-03-05,GSW @ LAL,GSW,LAL,Away,L,00:08:53,9,4,7,57.1,1,4,25.0,0,0,0.0,0,1,1,0,0,0,1,0,-11
2022-03-03,GSW @ DAL,GSW,DAL,Away,L,00:12:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,5,1,0,1,2,-1
2022-03-01,GSW @ MIN,GSW,MIN,Away,L,00:06:02,3,1,4,25.0,0,2,0.0,1,1,100.0,0,1,1,0,0,0,1,0,-10
2022-02-27,GSW vs. DAL,GSW,DAL,Home,L,00:10:17,5,2,8,25.0,1,5,20.0,0,0,0.0,0,0,0,1,0,0,0,0,-17
2022-02-16,GSW vs. DEN,GSW,DEN,Home,L,00:10:47,7,2,5,40.0,0,1,0.0,3,3,100.0,0,0,0,1,0,0,0,0,-6
2022-02-14,GSW @ LAC,GSW,LAC,Away,L,00:04:49,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,1,0,0,2,0,-5
2022-02-12,GSW vs. LAL,GSW,LAL,Home,W,00:09:48,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-2
2022-02-10,GSW vs. NYK,GSW,NYK,Home,L,00:12:00,13,5,8,62.5,1,3,33.3,2,2,100.0,0,2,2,3,0,0,2,3,4
2022-02-09,GSW @ UTA,GSW,UTA,Away,L,00:02:56,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,1,-9
2022-02-07,GSW @ OKC,GSW,OKC,Away,W,00:09:05,5,2,2,100.0,1,1,100.0,0,0,0.0,0,3,3,2,0,0,0,0,-2
2022-02-03,GSW vs. SAC,GSW,SAC,Home,W,00:07:12,7,3,3,100.0,1,1,100.0,0,0,0.0,0,1,1,1,2,0,2,0,6
2022-01-31,GSW @ HOU,GSW,HOU,Away,W,00:10:53,21,7,10,70.0,4,7,57.1,3,4,75.0,0,1,1,1,1,0,0,0,5
2022-01-29,GSW vs. BKN,GSW,BKN,Home,W,00:11:51,14,3,6,50.0,2,3,66.7,6,6,100.0,1,2,3,2,1,0,4,2,5
2022-01-27,GSW vs. MIN,GSW,MIN,Home,W,00:10:07,12,5,7,71.4,2,4,50.0,0,0,0.0,0,2,2,1,1,0,2,0,-1
2022-01-25,GSW vs. DAL,GSW,DAL,Home,W,00:04:48,2,0,1,0.0,0,1,0.0,2,3,66.7,1,2,3,1,0,0,1,0,13
2022-01-23,GSW vs. UTA,GSW,UTA,Home,W,00:07:10,0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-7
2022-01-21,GSW vs. HOU,GSW,HOU,Home,W,00:11:54,5,2,6,33.3,1,4,25.0,0,0,0.0,0,1,1,4,0,0,0,0,2
2022-01-20,GSW vs. IND,GSW,IND,Home,L,00:12:00,14,4,8,50.0,2,5,40.0,4,4,100.0,0,2,2,1,0,0,0,1,0
2022-01-11,GSW @ MEM,GSW,MEM,Away,L,00:10:02,2,1,6,16.7,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-11
2022-01-09,GSW vs. CLE,GSW,CLE,Home,W,00:08:45,2,1,5,20.0,0,3,0.0,0,0,0.0,0,0,0,1,0,0,1,2,-3
2022-01-05,GSW @ DAL,GSW,DAL,Away,L,00:07:58,2,1,5,20.0,0,2,0.0,0,0,0.0,0,2,2,2,0,1,3,2,-3
2022-01-03,GSW vs. MIA,GSW,MIA,Home,W,00:08:33,2,0,2,0.0,0,1,0.0,2,2,100.0,0,3,3,3,0,0,1,0,2
2022-01-01,GSW @ UTA,GSW,UTA,Away,W,00:07:23,12,3,4,75.0,2,3,66.7,4,5,80.0,0,3,3,0,0,0,0,1,9
2021-12-28,GSW vs. DEN,GSW,DEN,Home,L,00:12:00,15,4,7,57.1,4,6,66.7,3,4,75.0,0,1,1,1,0,0,0,2,10
2021-12-25,GSW @ PHX,GSW,PHX,Away,W,00:09:43,10,4,9,44.4,2,5,40.0,0,0,0.0,0,2,2,2,1,0,0,0,12
2021-12-23,GSW vs. MEM,GSW,MEM,Home,W,00:10:40,15,5,9,55.6,3,6,50.0,2,2,100.0,0,2,2,1,0,0,1,0,14
2021-12-20,GSW vs. SAC,GSW,SAC,Home,W,00:09:54,15,6,9,66.7,3,4,75.0,0,0,0.0,0,2,2,2,0,2,0,0,9
2021-12-17,GSW @ BOS,GSW,BOS,Away,W,00:06:35,5,2,6,33.3,1,4,25.0,0,0,0.0,1,0,1,1,0,0,1,3,1
2021-12-14,GSW @ NYK,GSW,NYK,Away,W,00:08:22,5,2,5,40.0,1,4,25.0,0,0,0.0,0,0,0,1,0,1,0,1,1
2021-12-13,GSW @ IND,GSW,IND,Away,W,00:07:17,5,2,7,28.6,1,5,20.0,0,0,0.0,1,1,2,3,0,0,1,1,6
2021-12-11,GSW @ PHI,GSW,PHI,Away,L,00:11:13,3,1,6,16.7,1,6,16.7,0,0,0.0,0,3,3,2,0,0,2,1,-16
2021-12-08,GSW vs. POR,GSW,POR,Home,W,00:08:56,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-2
2021-12-06,GSW vs. ORL,GSW,ORL,Home,W,00:03:54,6,2,4,50.0,2,4,50.0,0,0,0.0,0,0,0,1,1,0,0,0,1
2021-12-04,GSW vs. SAS,GSW,SAS,Home,L,00:09:52,6,2,9,22.2,1,6,16.7,1,2,50.0,0,3,3,1,0,0,0,1,6
2021-12-03,GSW vs. PHX,GSW,PHX,Home,W,00:05:11,0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0,3,0,0,0,0,7
2021-11-30,GSW @ PHX,GSW,PHX,Away,L,00:11:09,1,0,2,0.0,0,2,0.0,1,1,100.0,0,1,1,2,0,0,2,0,-4
2021-11-28,GSW @ LAC,GSW,LAC,Away,W,00:09:28,13,5,6,83.3,3,4,75.0,0,0,0.0,0,1,1,1,0,0,1,1,9
2021-11-26,GSW vs. POR,GSW,POR,Home,W,00:12:00,10,4,7,57.1,2,5,40.0,0,0,0.0,0,1,1,2,0,0,1,1,-6
2021-11-24,GSW vs. PHI,GSW,PHI,Home,W,00:09:36,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,4,0,0,0,0,17
2021-11-21,GSW vs. TOR,GSW,TOR,Home,W,00:10:27,3,0,2,0.0,0,2,0.0,3,3,100.0,0,1,1,2,1,0,2,1,2
2021-11-18,GSW @ CLE,GSW,CLE,Away,W,00:10:36,20,8,12,66.7,4,7,57.1,0,0,0.0,0,1,1,2,2,0,0,1,26
2021-11-16,GSW @ BKN,GSW,BKN,Away,W,00:06:41,9,3,5,60.0,3,4,75.0,0,0,0.0,0,1,1,1,0,1,0,0,6
2021-11-14,GSW @ CHA,GSW,CHA,Away,L,00:10:29,4,1,8,12.5,0,4,0.0,2,2,100.0,0,1,1,2,0,0,2,1,-3
2021-11-12,GSW vs. CHI,GSW,CHI,Home,W,00:07:42,8,3,5,60.0,2,4,50.0,0,0,0.0,0,0,0,3,0,0,2,0,-1
2021-11-10,GSW vs. MIN,GSW,MIN,Home,W,00:05:45,2,1,4,25.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,5
2021-11-08,GSW vs. ATL,GSW,ATL,Home,W,00:08:08,8,3,9,33.3,2,7,28.6,0,0,0.0,0,1,1,1,2,0,0,0,3
