Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-09,LAL vs. UTA,LAL,UTA,Home,W,00:33:57,16,7,15,46.7,0,0,0.0,2,2,100.0,3,10,13,3,3,4,4,2,10
2023-04-07,LAL vs. PHX,LAL,PHX,Home,W,00:33:58,14,4,12,33.3,0,1,0.0,6,7,85.7,4,17,21,4,0,3,1,1,17
2023-04-05,LAL @ LAC,LAL,LAC,Away,L,00:32:20,17,7,14,50.0,0,1,0.0,3,4,75.0,4,7,11,3,1,2,1,2,9
2023-04-04,LAL @ UTA,LAL,UTA,Away,W,00:42:05,21,7,16,43.8,0,0,0.0,7,12,58.3,4,10,14,6,2,2,1,3,4
2023-04-02,LAL @ HOU,LAL,HOU,Away,W,00:30:27,40,15,20,75.0,0,0,0.0,10,12,83.3,4,5,9,1,0,2,0,0,2
2023-03-31,LAL @ MIN,LAL,MIN,Away,W,00:36:51,38,15,26,57.7,0,2,0.0,8,10,80.0,8,9,17,0,1,2,3,3,5
2023-03-29,LAL @ CHI,LAL,CHI,Away,W,00:38:38,38,13,20,65.0,1,1,100.0,11,14,78.6,5,4,9,4,2,2,0,1,16
2023-03-26,LAL vs. CHI,LAL,CHI,Home,L,00:35:51,15,6,8,75.0,0,0,0.0,3,6,50.0,2,7,9,5,1,1,2,5,7
2023-03-24,LAL vs. OKC,LAL,OKC,Home,W,00:36:29,37,15,21,71.4,0,1,0.0,7,11,63.6,5,10,15,1,1,0,1,1,8
2023-03-22,LAL vs. PHX,LAL,PHX,Home,W,00:38:18,27,10,18,55.6,0,0,0.0,7,10,70.0,1,8,9,5,1,0,1,4,13
2023-03-19,LAL vs. ORL,LAL,ORL,Home,W,00:34:21,15,6,15,40.0,0,0,0.0,3,6,50.0,2,9,11,1,2,4,5,4,-3
