Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-09,SAC @ DEN,SAC,DEN,Away,L,17.34,13,6,10,60.0,1,3,33.3,0,0,0.0,1,1,2,3,0,0,1,0,17
2023-04-05,SAC @ DAL,SAC,DAL,Away,L,32.29,28,10,26,38.5,1,6,16.7,7,7,100.0,2,3,5,8,1,1,1,2,4
2023-04-04,SAC @ NOP,SAC,NOP,Away,W,29.39,23,10,23,43.5,2,6,33.3,1,2,50.0,2,3,5,9,1,0,3,0,18
2023-04-02,SAC vs. SAS,SAC,SAS,Home,L,37.49,28,10,23,43.5,0,8,0.0,8,8,100.0,0,4,4,4,0,0,1,2,-3
2023-03-31,SAC @ POR,SAC,POR,Away,W,27.08,20,8,11,72.7,1,3,33.3,3,4,75.0,1,7,8,11,2,0,2,3,10
2023-03-29,SAC @ POR,SAC,POR,Away,W,27.25,18,7,14,50.0,2,7,28.6,2,2,100.0,0,3,3,6,2,0,2,1,28
2023-03-27,SAC vs. MIN,SAC,MIN,Home,L,35.1,29,10,20,50.0,1,6,16.7,8,10,80.0,0,4,4,6,0,1,1,1,-1
2023-03-24,SAC vs. PHX,SAC,PHX,Home,W,20.45,19,7,15,46.7,1,6,16.7,4,4,100.0,1,0,1,2,0,1,2,3,3
2023-03-21,SAC vs. BOS,SAC,BOS,Home,L,28.34,18,6,11,54.5,2,5,40.0,4,5,80.0,0,1,1,3,0,0,1,2,-34
2023-03-20,SAC @ UTA,SAC,UTA,Away,L,35.37,37,14,21,66.7,6,9,66.7,3,4,75.0,0,4,4,7,1,0,1,4,-3
2023-03-18,SAC @ WAS,SAC,WAS,Away,W,26.21,12,6,12,50.0,0,2,0.0,0,3,0.0,1,1,2,7,1,1,2,2,-11
2023-03-16,SAC @ BKN,SAC,BKN,Away,W,35.04,18,5,16,31.3,2,8,25.0,6,10,60.0,1,5,6,5,0,0,0,0,2
2023-03-15,SAC @ CHI,SAC,CHI,Away,W,32.57,32,12,17,70.6,4,6,66.7,4,5,80.0,0,3,3,1,2,0,5,3,5
2023-03-13,SAC vs. MIL,SAC,MIL,Home,L,36.34,35,13,23,56.5,5,12,41.7,4,6,66.7,2,6,8,3,2,1,3,1,4
2023-03-11,SAC @ PHX,SAC,PHX,Away,W,33.34,18,8,22,36.4,2,6,33.3,0,2,0.0,0,4,4,6,2,0,1,3,2
2023-03-09,SAC vs. NYK,SAC,NYK,Home,W,30.45,23,9,16,56.3,1,4,25.0,4,7,57.1,0,3,3,7,4,0,3,4,7
2023-03-04,SAC vs. MIN,SAC,MIN,Home,L,36.39,25,10,22,45.5,0,2,0.0,5,7,71.4,0,2,2,7,1,0,3,3,3
2023-03-03,SAC vs. LAC,SAC,LAC,Home,W,34.01,33,12,22,54.5,1,5,20.0,8,8,100.0,3,4,7,7,1,0,2,3,-13
2023-02-26,SAC @ OKC,SAC,OKC,Away,W,36.48,33,11,19,57.9,3,9,33.3,8,12,66.7,1,2,3,8,2,0,2,3,10
2023-02-24,SAC @ LAC,SAC,LAC,Away,W,45.02,42,17,27,63.0,2,4,50.0,6,11,54.5,0,5,5,12,5,0,3,3,-2
2023-02-23,SAC vs. POR,SAC,POR,Home,W,25.41,31,11,15,73.3,2,4,50.0,7,8,87.5,0,3,3,3,1,0,4,1,3
2023-02-14,SAC @ PHX,SAC,PHX,Away,L,38.25,35,12,22,54.5,4,7,57.1,7,8,87.5,2,2,4,4,1,0,5,3,3
2023-02-11,SAC vs. DAL,SAC,DAL,Home,W,41.3,36,12,23,52.2,0,4,0.0,12,14,85.7,1,3,4,5,2,0,4,0,4
2023-02-10,SAC vs. DAL,SAC,DAL,Home,L,38.37,33,10,16,62.5,1,5,20.0,12,14,85.7,0,6,6,5,0,1,3,4,7
2023-02-08,SAC @ HOU,SAC,HOU,Away,W,37.35,31,11,23,47.8,0,3,0.0,9,10,90.0,1,4,5,11,2,0,3,2,-4
2023-02-06,SAC @ HOU,SAC,HOU,Away,W,29.18,16,5,12,41.7,0,1,0.0,6,9,66.7,1,3,4,8,2,1,4,3,13
2023-02-01,SAC @ SAS,SAC,SAS,Away,W,38.2,31,13,23,56.5,2,4,50.0,3,3,100.0,1,1,2,10,3,1,1,3,17
2023-01-30,SAC @ MIN,SAC,MIN,Away,W,41.01,32,13,27,48.1,2,4,50.0,4,5,80.0,0,5,5,4,2,1,2,2,2
2023-01-28,SAC @ MIN,SAC,MIN,Away,L,34.45,29,10,24,41.7,1,7,14.3,8,10,80.0,0,3,3,6,2,0,0,5,-7
2023-01-25,SAC vs. TOR,SAC,TOR,Home,L,30.15,16,7,12,58.3,1,2,50.0,1,1,100.0,1,3,4,8,0,0,4,4,-30
2023-01-23,SAC vs. MEM,SAC,MEM,Home,W,32.54,17,7,14,50.0,1,3,33.3,2,2,100.0,1,4,5,10,4,0,6,1,14
2023-01-21,SAC vs. PHI,SAC,PHI,Home,L,38.13,31,11,19,57.9,0,2,0.0,9,10,90.0,0,4,4,9,2,0,1,2,3
2023-01-20,SAC vs. OKC,SAC,OKC,Home,W,38.18,25,10,23,43.5,2,6,33.3,3,7,42.9,0,4,4,2,0,0,1,3,3
2023-01-18,SAC @ LAL,SAC,LAL,Away,W,39.07,31,13,23,56.5,2,7,28.6,3,7,42.9,0,3,3,6,1,0,2,0,19
2023-01-15,SAC @ SAS,SAC,SAS,Away,W,36.34,23,11,21,52.4,1,4,25.0,0,0,0.0,0,1,1,3,0,0,1,3,4
2023-01-13,SAC vs. HOU,SAC,HOU,Home,W,33.25,24,9,14,64.3,3,5,60.0,3,3,100.0,2,3,5,5,1,0,5,1,19
2023-01-11,SAC vs. HOU,SAC,HOU,Home,W,32.02,24,9,18,50.0,2,4,50.0,4,6,66.7,1,1,2,9,1,0,1,0,11
2023-01-09,SAC vs. ORL,SAC,ORL,Home,W,28.34,11,5,14,35.7,1,7,14.3,0,0,0.0,1,1,2,9,0,0,2,1,19
2023-01-07,SAC vs. LAL,SAC,LAL,Home,L,37.53,34,11,21,52.4,0,2,0.0,12,14,85.7,0,2,2,9,0,0,3,4,-2
