Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-06,PHI vs. MIA,PHI,MIA,Home,L,00:30:26,21,9,13,69.2,1,2,50.0,2,4,50.0,0,6,6,2,0,2,2,1,-11
2023-04-04,PHI vs. BOS,PHI,BOS,Home,W,00:38:36,52,20,25,80.0,0,1,0.0,12,13,92.3,2,11,13,6,0,2,3,3,17
2023-04-02,PHI @ MIL,PHI,MIL,Away,L,00:31:36,28,11,25,44.0,1,7,14.3,5,5,100.0,1,8,9,5,0,0,1,4,-10
2023-03-31,PHI vs. TOR,PHI,TOR,Home,W,00:33:34,25,7,13,53.8,0,2,0.0,11,12,91.7,1,11,12,1,0,1,5,3,0
2023-03-29,PHI vs. DAL,PHI,DAL,Home,W,00:33:08,25,8,17,47.1,1,3,33.3,8,9,88.9,1,8,9,3,1,1,4,4,10
2023-03-25,PHI @ PHX,PHI,PHX,Away,L,00:32:16,28,8,19,42.1,1,4,25.0,11,13,84.6,2,8,10,4,0,2,3,1,-5
2023-03-24,PHI @ GSW,PHI,GSW,Away,L,00:37:48,46,13,23,56.5,1,5,20.0,19,22,86.4,1,8,9,8,2,1,3,2,13
2023-03-22,PHI @ CHI,PHI,CHI,Away,W,00:16:18,12,5,7,71.4,0,2,0.0,2,2,100.0,0,7,7,7,1,1,4,1,25
2023-03-20,PHI vs. CHI,PHI,CHI,Home,L,00:44:02,37,11,22,50.0,0,2,0.0,15,17,88.2,3,13,16,1,1,3,5,6,8
2023-03-18,PHI @ IND,PHI,IND,Away,W,00:29:32,31,10,15,66.7,1,3,33.3,10,13,76.9,2,5,7,7,0,2,1,2,15
2023-03-17,PHI @ CHA,PHI,CHA,Away,W,00:29:10,38,16,21,76.2,0,0,0.0,6,7,85.7,1,12,13,5,0,4,3,1,26
2023-03-15,PHI @ CLE,PHI,CLE,Away,W,00:38:06,36,12,19,63.2,2,5,40.0,10,10,100.0,3,15,18,3,0,4,6,5,15
2023-03-12,PHI vs. WAS,PHI,WAS,Home,W,00:31:11,34,12,21,57.1,0,3,0.0,10,12,83.3,3,5,8,4,1,4,1,1,13
2023-03-10,PHI vs. POR,PHI,POR,Home,W,00:37:34,39,13,20,65.0,0,1,0.0,13,18,72.2,1,6,7,4,2,3,4,2,2
2023-03-07,PHI @ MIN,PHI,MIN,Away,W,00:27:59,39,13,22,59.1,4,4,100.0,9,9,100.0,1,6,7,4,1,3,3,2,18
2023-03-06,PHI @ IND,PHI,IND,Away,W,00:37:07,42,11,16,68.8,1,2,50.0,19,19,100.0,1,4,5,3,2,1,4,4,-4
2023-03-04,PHI @ MIL,PHI,MIL,Away,W,00:37:06,31,11,22,50.0,3,5,60.0,6,10,60.0,0,6,6,10,0,0,1,5,-7
2023-03-02,PHI @ DAL,PHI,DAL,Away,L,00:35:44,35,13,21,61.9,0,1,0.0,9,13,69.2,4,4,8,1,2,0,3,5,-16
2023-02-27,PHI vs. MIA,PHI,MIA,Home,L,00:33:35,27,10,17,58.8,0,1,0.0,7,7,100.0,3,9,12,2,0,1,6,4,-2
2023-02-25,PHI vs. BOS,PHI,BOS,Home,L,00:39:49,41,12,21,57.1,0,1,0.0,17,18,94.4,1,11,12,5,0,3,3,1,8
