Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-09,MIN vs. NOP,MIN,NOP,Home,W,00:36:07,30,10,19,52.6,5,8,62.5,5,6,83.3,2,6,8,2,0,1,2,5,4
2023-04-08,MIN @ SAS,MIN,SAS,Away,W,00:28:24,22,10,19,52.6,2,6,33.3,0,0,0.0,0,8,8,8,0,2,2,2,30
2023-04-04,MIN @ BKN,MIN,BKN,Away,W,00:30:53,22,8,15,53.3,1,3,33.3,5,6,83.3,1,13,14,5,0,0,1,3,4
2023-04-02,MIN vs. POR,MIN,POR,Home,L,00:25:04,8,1,3,33.3,1,1,100.0,5,8,62.5,2,7,9,3,0,0,3,5,2
2023-03-31,MIN vs. LAL,MIN,LAL,Home,L,00:35:44,23,8,18,44.4,2,7,28.6,5,5,100.0,4,4,8,3,0,0,1,5,-6
2023-03-29,MIN @ PHX,MIN,PHX,Away,L,00:33:36,25,9,17,52.9,5,10,50.0,2,2,100.0,3,5,8,2,0,0,6,3,2
2023-03-26,MIN @ GSW,MIN,GSW,Away,W,00:32:07,14,5,16,31.3,4,9,44.4,0,0,0.0,0,5,5,3,2,0,3,2,7
2023-03-22,MIN vs. ATL,MIN,ATL,Home,W,00:26:05,22,8,18,44.4,2,3,66.7,4,4,100.0,1,3,4,3,2,0,3,4,13
2022-11-28,MIN @ WAS,MIN,WAS,Away,L,00:21:58,8,2,6,33.3,0,1,0.0,4,6,66.7,1,1,2,4,0,0,3,3,-6
2022-11-27,MIN vs. GSW,MIN,GSW,Home,L,00:30:51,21,8,14,57.1,1,5,20.0,4,4,100.0,0,4,4,4,2,0,6,4,-26
2022-11-25,MIN @ CHA,MIN,CHA,Away,L,00:36:56,19,6,22,27.3,1,11,9.1,6,7,85.7,2,2,4,5,0,2,2,5,-4
2022-11-23,MIN @ IND,MIN,IND,Away,W,00:36:49,23,8,11,72.7,1,1,100.0,6,7,85.7,3,8,11,8,2,2,5,3,19
2022-11-21,MIN vs. MIA,MIN,MIA,Home,W,00:34:26,25,8,15,53.3,2,8,25.0,7,8,87.5,1,7,8,9,1,1,3,6,14
2022-11-19,MIN @ PHI,MIN,PHI,Away,W,00:31:39,12,5,14,35.7,2,7,28.6,0,0,0.0,0,8,8,3,1,0,3,4,2
2022-11-16,MIN @ ORL,MIN,ORL,Away,W,00:36:14,30,10,15,66.7,2,5,40.0,8,8,100.0,1,4,5,5,1,0,2,3,12
2022-11-13,MIN @ CLE,MIN,CLE,Away,W,00:36:36,29,11,16,68.8,3,6,50.0,4,6,66.7,2,11,13,3,1,1,2,5,15
2022-11-11,MIN @ MEM,MIN,MEM,Away,L,00:26:11,13,4,9,44.4,1,4,25.0,4,4,100.0,4,6,10,4,0,0,1,6,-5
2022-11-09,MIN vs. PHX,MIN,PHX,Home,L,00:27:40,11,3,7,42.9,1,3,33.3,4,4,100.0,0,8,8,4,0,1,3,4,4
2022-11-07,MIN vs. NYK,MIN,NYK,Home,L,00:38:06,25,9,12,75.0,1,3,33.3,6,6,100.0,0,13,13,7,2,1,3,1,-9
2022-11-05,MIN vs. HOU,MIN,HOU,Home,W,00:30:15,25,9,14,64.3,3,6,50.0,4,5,80.0,3,6,9,6,1,2,3,5,-1
2022-11-04,MIN vs. MIL,MIN,MIL,Home,L,00:37:06,22,9,19,47.4,3,9,33.3,1,1,100.0,2,9,11,5,0,0,2,6,-17
2022-11-01,MIN @ PHX,MIN,PHX,Away,L,00:36:53,24,9,18,50.0,3,7,42.9,3,3,100.0,5,5,10,7,0,1,4,4,-12
2022-10-30,MIN @ SAS,MIN,SAS,Away,L,00:34:18,26,10,19,52.6,1,7,14.3,5,8,62.5,3,8,11,4,1,2,3,3,-22
2022-10-28,MIN vs. LAL,MIN,LAL,Home,W,00:36:54,21,8,17,47.1,3,7,42.9,2,2,100.0,2,6,8,7,1,0,2,1,11
2022-10-26,MIN vs. SAS,MIN,SAS,Home,W,00:37:43,21,9,14,64.3,3,5,60.0,0,0,0.0,0,4,4,7,2,1,3,3,5
2022-10-24,MIN vs. SAS,MIN,SAS,Home,L,00:39:19,27,9,17,52.9,2,6,33.3,7,7,100.0,1,10,11,5,0,0,4,5,-4
2022-10-23,MIN @ OKC,MIN,OKC,Away,W,00:30:20,15,5,9,55.6,1,3,33.3,4,4,100.0,1,7,8,5,1,0,3,2,14
2022-10-21,MIN vs. UTA,MIN,UTA,Home,L,00:33:20,27,9,25,36.0,2,6,33.3,7,8,87.5,4,4,8,2,0,0,5,5,-3
2022-10-19,MIN vs. OKC,MIN,OKC,Home,W,00:35:30,12,2,10,20.0,2,7,28.6,6,6,100.0,0,6,6,7,0,0,3,4,-4
