Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-03-28,WAS vs. BOS,WAS,BOS,Home,W,00:33:58,32,14,21,66.7,3,5,60.0,1,1,100.0,2,11,13,6,1,1,0,1,26
2023-03-26,WAS @ TOR,WAS,TOR,Away,L,00:33:56,26,9,17,52.9,4,7,57.1,4,5,80.0,1,5,6,2,2,0,3,2,1
2023-03-24,WAS vs. SAS,WAS,SAS,Home,W,00:27:43,23,7,11,63.6,2,3,66.7,7,7,100.0,1,8,9,5,0,3,1,0,10
2023-03-22,WAS vs. DEN,WAS,DEN,Home,L,00:22:14,25,11,17,64.7,1,3,33.3,2,2,100.0,0,3,3,2,0,0,1,3,-18
2023-03-21,WAS @ ORL,WAS,ORL,Away,L,00:38:15,30,12,22,54.5,3,7,42.9,3,3,100.0,1,5,6,3,1,2,2,3,6
2023-03-17,WAS @ CLE,WAS,CLE,Away,L,00:31:41,20,7,16,43.8,1,5,20.0,5,5,100.0,0,9,9,3,2,2,4,1,-8
2023-03-14,WAS vs. DET,WAS,DET,Home,W,00:30:42,18,5,15,33.3,0,6,0.0,8,8,100.0,1,6,7,4,3,4,1,2,6
2023-03-12,WAS @ PHI,WAS,PHI,Away,L,00:25:07,9,4,15,26.7,0,3,0.0,1,2,50.0,1,5,6,1,1,2,1,4,-23
2023-03-10,WAS vs. ATL,WAS,ATL,Home,L,00:31:53,22,8,18,44.4,3,7,42.9,3,5,60.0,0,9,9,0,1,2,2,4,2
2023-03-08,WAS vs. ATL,WAS,ATL,Home,L,00:37:49,43,17,22,77.3,7,10,70.0,2,3,66.7,0,5,5,5,0,0,1,5,8
2023-03-07,WAS @ DET,WAS,DET,Away,W,00:31:40,24,8,15,53.3,3,7,42.9,5,6,83.3,4,3,7,2,0,0,1,6,4
2023-03-05,WAS vs. MIL,WAS,MIL,Home,L,00:36:16,24,11,29,37.9,1,8,12.5,1,1,100.0,5,8,13,5,0,2,1,4,11
2023-03-04,WAS vs. TOR,WAS,TOR,Home,L,00:39:51,22,9,14,64.3,2,2,100.0,2,3,66.7,1,10,11,4,2,2,3,1,4
2023-03-02,WAS vs. TOR,WAS,TOR,Home,W,00:35:50,25,8,12,66.7,2,4,50.0,7,7,100.0,1,4,5,2,1,2,4,4,7
2023-02-24,WAS vs. NYK,WAS,NYK,Home,L,00:35:18,23,5,10,50.0,5,9,55.6,8,8,100.0,1,5,6,3,0,2,3,2,-16
2023-02-16,WAS @ MIN,WAS,MIN,Away,W,00:31:57,14,4,12,33.3,1,3,33.3,5,7,71.4,0,5,5,2,2,2,0,3,-2
2023-02-14,WAS @ POR,WAS,POR,Away,W,00:29:30,28,10,15,66.7,1,3,33.3,7,7,100.0,3,9,12,5,0,1,4,5,14
2023-02-13,WAS @ GSW,WAS,GSW,Away,L,00:35:51,34,12,16,75.0,2,3,66.7,8,8,100.0,1,6,7,2,1,0,4,1,-14
2023-02-11,WAS vs. IND,WAS,IND,Home,W,00:32:16,17,4,8,50.0,1,3,33.3,8,8,100.0,4,6,10,5,0,1,0,2,14
2023-02-08,WAS vs. CHA,WAS,CHA,Home,W,00:35:03,36,13,22,59.1,8,14,57.1,2,3,66.7,2,7,9,2,0,2,1,2,12
2023-02-06,WAS vs. CLE,WAS,CLE,Home,L,00:26:11,18,7,13,53.8,1,6,16.7,3,3,100.0,1,6,7,1,0,1,2,3,-21
2023-02-04,WAS @ BKN,WAS,BKN,Away,L,00:32:49,38,11,20,55.0,4,5,80.0,12,13,92.3,1,4,5,2,0,2,5,6,3
2023-02-03,WAS vs. POR,WAS,POR,Home,L,00:35:11,32,9,15,60.0,3,6,50.0,11,12,91.7,0,8,8,4,0,1,1,5,1
2023-01-30,WAS @ SAS,WAS,SAS,Away,W,00:30:01,17,7,13,53.8,1,3,33.3,2,2,100.0,1,8,9,7,3,5,2,5,9
2023-01-21,WAS vs. ORL,WAS,ORL,Home,W,00:23:00,17,3,10,30.0,1,3,33.3,10,10,100.0,1,5,6,0,0,1,2,2,5
2023-01-18,WAS @ NYK,WAS,NYK,Away,W,00:32:52,22,6,17,35.3,4,9,44.4,6,6,100.0,5,6,11,5,0,2,3,6,8
2023-01-16,WAS vs. GSW,WAS,GSW,Home,L,00:36:39,32,9,15,60.0,3,7,42.9,11,12,91.7,0,5,5,3,1,2,1,3,-17
2023-01-13,WAS vs. NYK,WAS,NYK,Home,L,00:34:32,21,6,19,31.6,4,8,50.0,5,6,83.3,1,3,4,1,0,0,2,4,-4
2023-01-09,WAS vs. NOP,WAS,NOP,Home,L,00:33:58,23,8,16,50.0,3,5,60.0,4,4,100.0,3,7,10,1,0,0,1,0,-2
2023-01-06,WAS @ OKC,WAS,OKC,Away,L,00:24:49,14,3,11,27.3,0,2,0.0,8,10,80.0,3,7,10,0,0,0,3,0,-17
2023-01-03,WAS @ MIL,WAS,MIL,Away,L,00:34:59,22,7,13,53.8,2,5,40.0,6,6,100.0,1,8,9,4,1,1,3,5,-15
2023-01-01,WAS @ MIL,WAS,MIL,Away,W,00:29:23,22,9,16,56.3,0,5,0.0,4,4,100.0,1,4,5,0,2,2,2,3,13
2022-12-30,WAS @ ORL,WAS,ORL,Away,W,00:35:12,30,9,13,69.2,3,6,50.0,9,11,81.8,2,11,13,2,1,4,5,4,32
2022-12-28,WAS vs. PHX,WAS,PHX,Home,W,00:33:37,22,8,15,53.3,2,6,33.3,4,4,100.0,1,5,6,2,1,1,3,2,23
2022-12-27,WAS vs. PHI,WAS,PHI,Home,W,00:34:38,24,7,15,46.7,3,5,60.0,7,9,77.8,3,7,10,1,2,3,2,2,14
2022-12-23,WAS @ SAC,WAS,SAC,Away,W,00:34:24,7,2,11,18.2,0,3,0.0,3,5,60.0,2,11,13,1,1,2,0,3,9
2022-12-18,WAS @ LAL,WAS,LAL,Away,L,00:37:38,21,7,18,38.9,2,9,22.2,5,7,71.4,4,7,11,5,2,1,2,2,5
2022-12-17,WAS @ LAC,WAS,LAC,Away,L,00:35:21,19,8,19,42.1,0,3,0.0,3,4,75.0,1,6,7,2,4,0,2,2,-10
2022-12-12,WAS vs. BKN,WAS,BKN,Home,L,00:24:05,20,7,11,63.6,0,1,0.0,6,6,100.0,0,3,3,1,2,1,5,2,-22
2022-12-10,WAS vs. LAC,WAS,LAC,Home,L,00:37:21,30,8,20,40.0,2,4,50.0,12,13,92.3,0,15,15,5,0,2,3,3,6
2022-12-09,WAS @ IND,WAS,IND,Away,L,00:34:39,29,11,13,84.6,1,2,50.0,6,8,75.0,2,7,9,2,0,2,4,1,-7
2022-12-07,WAS @ CHI,WAS,CHI,Away,L,00:34:36,28,8,17,47.1,0,6,0.0,12,16,75.0,1,8,9,4,2,2,5,4,-14
2022-12-04,WAS vs. LAL,WAS,LAL,Home,L,00:33:35,27,11,25,44.0,1,6,16.7,4,6,66.7,1,8,9,3,2,1,0,2,-7
2022-12-02,WAS @ CHA,WAS,CHA,Away,L,00:36:22,21,5,14,35.7,0,6,0.0,11,13,84.6,4,7,11,3,1,1,4,3,1
2022-11-30,WAS @ BKN,WAS,BKN,Away,L,00:37:31,27,8,14,57.1,2,3,66.7,9,14,64.3,4,15,19,0,1,2,2,2,-3
2022-11-28,WAS vs. MIN,WAS,MIN,Home,W,00:30:54,41,12,18,66.7,6,10,60.0,11,11,100.0,2,2,4,3,2,3,1,3,13
2022-11-27,WAS @ BOS,WAS,BOS,Away,L,00:26:17,21,7,11,63.6,0,1,0.0,7,8,87.5,0,4,4,2,0,0,1,2,-23
2022-11-25,WAS @ MIA,WAS,MIA,Away,L,00:35:52,18,7,18,38.9,1,4,25.0,3,3,100.0,2,5,7,1,0,2,1,3,-6
2022-11-23,WAS @ MIA,WAS,MIA,Away,L,00:33:09,21,8,19,42.1,2,9,22.2,3,6,50.0,1,8,9,4,0,0,3,5,-3
2022-11-20,WAS vs. CHA,WAS,CHA,Home,W,00:34:12,12,4,19,21.1,2,8,25.0,2,2,100.0,4,4,8,2,1,5,4,5,5
