Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-09,LAL vs. UTA,LAL,UTA,Home,W,00:33:13,36,13,25,52.0,8,14,57.1,2,2,100.0,1,5,6,6,1,1,2,0,20
2023-04-07,LAL vs. PHX,LAL,PHX,Home,W,00:29:21,16,6,19,31.6,3,7,42.9,1,2,50.0,0,6,6,6,0,0,5,1,11
2023-04-05,LAL @ LAC,LAL,LAC,Away,L,00:35:06,33,13,20,65.0,4,6,66.7,3,5,60.0,0,8,8,7,1,1,6,0,-10
2023-04-04,LAL @ UTA,LAL,UTA,Away,W,00:38:28,37,14,27,51.9,3,10,30.0,6,6,100.0,0,5,5,6,1,1,5,2,-7
2023-04-02,LAL @ HOU,LAL,HOU,Away,W,00:29:21,18,8,18,44.4,1,7,14.3,1,1,100.0,2,8,10,11,0,1,1,1,23
2023-03-31,LAL @ MIN,LAL,MIN,Away,W,00:32:29,18,7,19,36.8,1,3,33.3,3,4,75.0,1,9,10,6,1,2,3,1,3
2023-03-29,LAL @ CHI,LAL,CHI,Away,W,00:31:16,25,10,19,52.6,1,3,33.3,4,4,100.0,3,5,8,4,2,0,4,2,23
2023-03-26,LAL vs. CHI,LAL,CHI,Home,L,00:29:31,19,6,11,54.5,0,2,0.0,7,8,87.5,1,7,8,3,0,0,5,2,4
2023-02-26,LAL @ DAL,LAL,DAL,Away,W,00:36:51,26,10,23,43.5,1,6,16.7,5,7,71.4,3,5,8,3,1,1,3,4,0
2023-02-23,LAL vs. GSW,LAL,GSW,Home,W,00:26:19,13,5,20,25.0,2,6,33.3,1,2,50.0,3,6,9,8,0,0,2,2,22
2023-02-15,LAL vs. NOP,LAL,NOP,Home,W,00:29:13,21,7,14,50.0,0,5,0.0,7,10,70.0,0,6,6,6,0,1,4,1,14
2023-02-07,LAL vs. OKC,LAL,OKC,Home,L,00:33:57,38,13,20,65.0,4,6,66.7,8,10,80.0,0,7,7,3,3,0,4,3,8
2023-02-04,LAL @ NOP,LAL,NOP,Away,L,00:39:37,27,10,22,45.5,1,7,14.3,6,9,66.7,0,9,9,6,0,0,2,2,-5
2023-02-02,LAL @ IND,LAL,IND,Away,W,00:32:58,26,11,19,57.9,2,5,40.0,2,2,100.0,2,5,7,7,0,0,3,1,-4
2023-01-31,LAL @ NYK,LAL,NYK,Away,W,00:42:56,28,11,25,44.0,2,8,25.0,4,7,57.1,1,9,10,11,1,0,5,2,22
2023-01-28,LAL @ BOS,LAL,BOS,Away,L,00:44:12,41,15,30,50.0,6,12,50.0,5,6,83.3,1,8,9,8,0,0,2,2,1
2023-01-25,LAL vs. SAS,LAL,SAS,Home,W,00:35:19,20,8,20,40.0,1,6,16.7,3,4,75.0,1,8,9,11,0,0,6,0,2
