Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-01-02,NOP @ PHI,NOP,PHI,Away,L,28.11,26,10,12,83.3,0,0,0.0,6,8,75.0,0,6,6,7,0,0,5,1,6
2022-12-31,NOP @ MEM,NOP,MEM,Away,L,28.17,20,6,16,37.5,0,0,0.0,8,10,80.0,3,6,9,1,0,0,9,3,-16
2022-12-30,NOP vs. PHI,NOP,PHI,Home,W,30.58,36,13,19,68.4,0,0,0.0,10,16,62.5,2,3,5,2,0,0,3,3,-4
2022-12-28,NOP vs. MIN,NOP,MIN,Home,W,33.57,43,14,21,66.7,1,1,100.0,14,19,73.7,0,3,3,5,1,1,4,3,3
2022-12-19,NOP vs. MIL,NOP,MIL,Home,L,40.08,18,7,16,43.8,0,0,0.0,4,8,50.0,3,4,7,7,3,0,5,1,-2
2022-12-17,NOP @ PHX,NOP,PHX,Away,L,39.03,30,12,15,80.0,0,1,0.0,6,7,85.7,0,3,3,9,0,1,6,4,2
2022-12-15,NOP @ UTA,NOP,UTA,Away,L,41.33,31,12,24,50.0,1,1,100.0,6,8,75.0,5,3,8,8,0,2,3,2,2
2022-12-13,NOP @ UTA,NOP,UTA,Away,L,25.41,26,10,16,62.5,0,2,0.0,6,10,60.0,3,6,9,5,2,0,4,3,-15
2022-12-11,NOP vs. PHX,NOP,PHX,Home,W,42.11,35,14,21,66.7,2,3,66.7,5,7,71.4,1,7,8,3,1,0,5,3,16
2022-12-09,NOP vs. PHX,NOP,PHX,Home,W,36.44,35,13,17,76.5,0,0,0.0,9,12,75.0,1,6,7,4,1,0,2,0,30
2022-12-07,NOP vs. DET,NOP,DET,Home,W,32.58,29,11,16,68.8,0,0,0.0,7,11,63.6,2,8,10,5,1,1,4,1,1
2022-12-04,NOP vs. DEN,NOP,DEN,Home,W,35.55,25,9,17,52.9,0,0,0.0,7,11,63.6,1,5,6,4,1,1,4,0,11
2022-12-02,NOP @ SAS,NOP,SAS,Away,W,33.33,30,9,14,64.3,0,2,0.0,12,13,92.3,4,11,15,8,2,1,3,1,28
2022-11-30,NOP vs. TOR,NOP,TOR,Home,W,37.26,33,12,15,80.0,0,0,0.0,9,12,75.0,3,7,10,5,4,2,4,2,19
2022-11-28,NOP vs. OKC,NOP,OKC,Home,W,35.19,23,11,18,61.1,0,1,0.0,1,1,100.0,2,6,8,8,1,3,4,3,19
2022-11-25,NOP @ MEM,NOP,MEM,Away,L,30.0,14,6,12,50.0,0,0,0.0,2,2,100.0,1,4,5,4,1,0,1,3,-32
2022-11-23,NOP @ SAS,NOP,SAS,Away,W,26.39,32,14,18,77.8,0,2,0.0,4,8,50.0,4,7,11,1,2,1,1,1,20
2022-11-21,NOP vs. GSW,NOP,GSW,Home,W,23.06,9,3,7,42.9,0,0,0.0,3,4,75.0,0,2,2,4,0,0,2,1,28
2022-11-12,NOP vs. HOU,NOP,HOU,Home,W,35.02,26,8,9,88.9,0,0,0.0,10,12,83.3,1,3,4,6,1,0,3,3,21
2022-11-10,NOP vs. POR,NOP,POR,Home,L,31.4,29,9,14,64.3,1,1,100.0,10,15,66.7,1,5,6,3,1,0,3,4,-12
2022-11-09,NOP @ CHI,NOP,CHI,Away,W,30.51,19,6,11,54.5,0,0,0.0,7,8,87.5,4,1,5,1,0,0,1,3,3
2022-11-07,NOP @ IND,NOP,IND,Away,L,33.59,26,10,15,66.7,2,3,66.7,4,6,66.7,3,4,7,7,2,1,1,4,-9
2022-11-05,NOP @ ATL,NOP,ATL,Away,L,37.16,29,11,20,55.0,0,1,0.0,7,10,70.0,2,6,8,4,0,0,7,2,-4
2022-11-04,NOP vs. GSW,NOP,GSW,Home,W,27.55,16,7,11,63.6,0,0,0.0,2,4,50.0,0,3,3,1,1,0,2,2,9
2022-11-02,NOP @ LAL,NOP,LAL,Away,L,36.35,27,11,21,52.4,0,1,0.0,5,8,62.5,2,3,5,7,0,0,3,5,-13
2022-10-30,NOP @ LAC,NOP,LAC,Away,W,30.32,21,9,17,52.9,0,0,0.0,3,4,75.0,3,9,12,7,1,0,1,1,19
2022-10-23,NOP vs. UTA,NOP,UTA,Home,L,29.52,25,10,16,62.5,0,0,0.0,5,6,83.3,2,4,6,1,1,2,4,3,-7
2022-10-21,NOP @ CHA,NOP,CHA,Away,W,30.43,16,7,19,36.8,0,0,0.0,2,4,50.0,2,3,5,3,1,0,3,0,13
2022-10-19,NOP @ BKN,NOP,BKN,Away,W,30.02,25,11,22,50.0,0,0,0.0,3,4,75.0,3,6,9,3,4,0,2,3,13
