Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-05,DAL vs. SAC,DAL,SAC,Home,W,00:09:15,4,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,1
2023-04-02,DAL @ ATL,DAL,ATL,Away,L,00:08:09,10,5,7,71.4,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,-2
2023-04-01,DAL @ MIA,DAL,MIA,Away,L,00:08:59,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,-2
2023-03-29,DAL @ PHI,DAL,PHI,Away,L,00:07:50,11,3,4,75.0,2,2,100.0,3,3,100.0,0,1,1,0,1,0,0,0,8
2023-03-27,DAL @ IND,DAL,IND,Away,W,00:08:37,11,5,5,100.0,0,0,0.0,1,1,100.0,0,1,1,1,0,1,0,0,3
2023-03-26,DAL @ CHA,DAL,CHA,Away,L,00:06:35,4,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,1,-10
2023-03-24,DAL vs. CHA,DAL,CHA,Home,L,00:08:22,2,0,1,0.0,0,1,0.0,2,3,66.7,1,2,3,2,0,0,0,0,-8
2023-03-20,DAL @ MEM,DAL,MEM,Away,L,00:09:02,11,4,6,66.7,1,1,100.0,2,2,100.0,0,0,0,0,0,0,1,0,-2
2023-03-17,DAL @ LAL,DAL,LAL,Away,W,00:07:07,4,1,3,33.3,0,0,0.0,2,2,100.0,1,1,2,4,0,0,0,2,0
2023-03-08,DAL @ NOP,DAL,NOP,Away,L,00:06:35,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,6
2023-03-07,DAL vs. UTA,DAL,UTA,Home,W,00:07:39,6,2,3,66.7,0,1,0.0,2,2,100.0,0,2,2,1,0,0,1,0,-1
2023-03-05,DAL vs. PHX,DAL,PHX,Home,L,00:08:24,5,2,4,50.0,1,2,50.0,0,0,0.0,2,0,2,2,0,0,0,0,-9
2023-03-02,DAL vs. PHI,DAL,PHI,Home,W,00:09:13,10,4,5,80.0,2,2,100.0,0,1,0.0,0,0,0,1,1,0,0,1,3
2023-02-28,DAL vs. IND,DAL,IND,Home,L,00:07:18,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,1,2
2023-02-26,DAL vs. LAL,DAL,LAL,Home,L,00:07:39,3,1,3,33.3,1,1,100.0,0,0,0.0,0,3,3,1,0,0,1,0,5
2023-02-23,DAL vs. SAS,DAL,SAS,Home,W,00:08:06,7,1,3,33.3,1,1,100.0,4,4,100.0,0,1,1,2,0,0,0,1,6
2023-02-13,DAL vs. MIN,DAL,MIN,Home,L,00:07:15,4,2,5,40.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2
2023-02-11,DAL @ SAC,DAL,SAC,Away,L,00:07:15,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,6
2023-02-10,DAL @ SAC,DAL,SAC,Away,W,00:07:59,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,4,1,0,0,1,9
2023-02-08,DAL @ LAC,DAL,LAC,Away,W,00:07:52,8,3,6,50.0,2,3,66.7,0,0,0.0,0,1,1,1,0,0,0,0,13
2023-02-01,BKN @ BOS,BKN,BOS,Away,L,00:10:26,7,3,8,37.5,1,5,20.0,0,0,0.0,0,2,2,2,0,1,2,0,-30
2023-01-30,BKN vs. LAL,BKN,LAL,Home,W,00:09:05,9,2,5,40.0,1,1,100.0,4,4,100.0,0,2,2,1,1,0,0,0,9
2023-01-28,BKN vs. NYK,BKN,NYK,Home,W,00:08:37,7,3,5,60.0,1,2,50.0,0,0,0.0,1,0,1,1,0,0,0,0,9
2023-01-26,BKN vs. DET,BKN,DET,Home,L,00:08:36,13,4,5,80.0,2,2,100.0,3,3,100.0,0,2,2,1,0,0,1,0,-1
2023-01-25,BKN @ PHI,BKN,PHI,Away,L,00:07:57,10,3,5,60.0,0,1,0.0,4,5,80.0,0,0,0,3,1,0,1,1,2
2023-01-22,BKN @ GSW,BKN,GSW,Away,W,00:08:45,9,3,5,60.0,1,1,100.0,2,2,100.0,2,0,2,1,0,0,0,0,2
2023-01-20,BKN @ UTA,BKN,UTA,Away,W,00:08:06,7,3,4,75.0,1,2,50.0,0,0,0.0,1,3,4,2,2,0,0,1,13
2023-01-19,BKN @ PHX,BKN,PHX,Away,L,00:08:12,2,1,6,16.7,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,1,-5
2023-01-15,BKN vs. OKC,BKN,OKC,Home,L,00:08:09,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,1,0,-4
2023-01-12,BKN vs. BOS,BKN,BOS,Home,L,00:07:44,5,2,4,50.0,1,3,33.3,0,0,0.0,0,0,0,1,0,0,0,0,1
2023-01-08,BKN @ MIA,BKN,MIA,Away,W,00:10:50,11,4,6,66.7,3,4,75.0,0,0,0.0,1,0,1,1,0,0,0,0,0
2023-01-06,BKN @ NOP,BKN,NOP,Away,W,00:08:43,5,2,4,50.0,1,2,50.0,0,0,0.0,1,0,1,1,0,0,0,0,-10
2023-01-04,BKN @ CHI,BKN,CHI,Away,L,00:08:49,4,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,4,1,0,1,0,-8
2023-01-02,BKN vs. SAS,BKN,SAS,Home,W,00:08:24,15,6,6,100.0,3,3,100.0,0,0,0.0,0,1,1,0,1,0,0,0,12
2022-12-31,BKN @ CHA,BKN,CHA,Away,W,00:08:12,4,2,5,40.0,0,1,0.0,0,0,0.0,0,3,3,2,0,0,0,0,6
2022-12-28,BKN @ ATL,BKN,ATL,Away,W,00:12:00,8,3,5,60.0,2,3,66.7,0,0,0.0,0,2,2,1,0,0,0,0,1
2022-12-26,BKN @ CLE,BKN,CLE,Away,W,00:09:44,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,1,13
2022-12-23,BKN vs. MIL,BKN,MIL,Home,W,00:07:49,3,1,3,33.3,1,1,100.0,0,0,0.0,0,2,2,1,0,0,0,1,5
2022-12-18,BKN @ DET,BKN,DET,Away,W,00:07:36,2,1,3,33.3,0,1,0.0,0,0,0.0,1,0,1,1,0,0,1,2,-15
2022-12-16,BKN @ TOR,BKN,TOR,Away,W,00:09:06,4,2,6,33.3,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,1,-9
2022-12-12,BKN @ WAS,BKN,WAS,Away,W,00:07:38,7,2,5,40.0,2,3,66.7,1,1,100.0,1,0,1,1,0,0,0,0,3
2022-12-09,BKN vs. ATL,BKN,ATL,Home,W,00:09:21,3,1,2,50.0,0,0,0.0,1,1,100.0,0,0,0,0,0,0,1,0,3
2022-12-07,BKN vs. CHA,BKN,CHA,Home,W,00:07:55,6,3,5,60.0,0,1,0.0,0,0,0.0,0,1,1,2,0,1,0,0,1
2022-12-04,BKN vs. BOS,BKN,BOS,Home,L,00:09:27,4,2,6,33.3,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,1,-6
2022-12-02,BKN vs. TOR,BKN,TOR,Home,W,00:07:16,5,2,3,66.7,1,1,100.0,0,1,0.0,0,0,0,2,0,0,0,1,18
