Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-09,LAL vs. UTA,LAL,UTA,Home,W,00:11:46,7,2,2,100.0,1,1,100.0,2,3,66.7,0,1,1,3,0,0,1,0,-5
2023-04-07,LAL vs. PHX,LAL,PHX,Home,W,00:08:03,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,0,2
2023-04-05,LAL @ LAC,LAL,LAC,Away,L,00:09:09,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,8
2023-03-31,LAL @ MIN,LAL,MIN,Away,W,00:08:15,5,2,4,50.0,0,2,0.0,1,2,50.0,0,0,0,3,1,0,0,1,13
2023-03-29,LAL @ CHI,LAL,CHI,Away,W,00:07:57,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,2,0,0,2,1,8
2023-03-22,LAL vs. PHX,LAL,PHX,Home,W,00:12:00,9,4,6,66.7,1,2,50.0,0,0,0.0,0,0,0,2,0,0,0,0,-4
2023-03-19,LAL vs. ORL,LAL,ORL,Home,W,00:09:34,3,1,4,25.0,1,3,33.3,0,0,0.0,0,1,1,2,0,0,1,1,-13
2023-03-17,LAL vs. DAL,LAL,DAL,Home,L,00:06:02,4,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-3
2023-03-15,LAL @ HOU,LAL,HOU,Away,L,00:10:33,1,0,2,0.0,0,1,0.0,1,1,100.0,0,0,0,4,0,0,1,0,5
2023-03-14,LAL @ NOP,LAL,NOP,Away,W,00:09:03,0,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,2,2,0,-8
2023-03-12,LAL vs. NYK,LAL,NYK,Home,L,00:10:03,8,3,4,75.0,2,3,66.7,0,0,0.0,2,1,3,2,0,1,2,1,4
2023-03-10,LAL vs. TOR,LAL,TOR,Home,W,00:04:39,0,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,2,0,-15
2023-02-15,LAL vs. NOP,LAL,NOP,Home,W,00:09:21,10,2,5,40.0,1,2,50.0,5,6,83.3,0,1,1,3,1,0,0,1,8
2023-02-13,LAL @ POR,LAL,POR,Away,L,00:09:18,7,3,5,60.0,1,2,50.0,0,0,0.0,0,0,0,2,0,0,1,1,0
2023-02-11,LAL @ GSW,LAL,GSW,Away,W,00:08:18,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,1,0,0,1,0,4
2023-02-07,MIN @ DEN,MIN,DEN,Away,L,00:03:30,5,2,2,100.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,0,0,-3
2023-02-05,MIN vs. DEN,MIN,DEN,Home,W,00:08:14,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,1,4
2023-02-03,MIN vs. ORL,MIN,ORL,Home,L,00:10:17,7,2,4,50.0,1,3,33.3,2,2,100.0,1,2,3,0,0,0,0,0,-12
2023-02-01,MIN vs. GSW,MIN,GSW,Home,W,00:07:29,0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,1,0,2
2023-01-30,MIN vs. SAC,MIN,SAC,Home,L,00:08:47,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2
2023-01-28,MIN vs. SAC,MIN,SAC,Home,W,00:07:23,0,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,1,0,12
2023-01-27,MIN vs. MEM,MIN,MEM,Home,W,00:07:30,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,1,2,0,3,1,0
2023-01-25,MIN @ NOP,MIN,NOP,Away,W,00:07:51,6,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,2,1,0,0,1,18
2023-01-23,MIN @ HOU,MIN,HOU,Away,L,00:08:32,4,1,3,33.3,0,1,0.0,2,2,100.0,0,1,1,2,0,0,1,0,-3
2023-01-21,MIN vs. HOU,MIN,HOU,Home,W,00:09:39,3,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,4,0,0,1,2,4
2023-01-19,MIN vs. TOR,MIN,TOR,Home,W,00:08:26,5,1,3,33.3,1,3,33.3,2,2,100.0,0,0,0,2,0,1,0,1,-1
2023-01-18,MIN @ DEN,MIN,DEN,Away,L,00:09:51,8,2,3,66.7,2,3,66.7,2,2,100.0,0,0,0,2,0,0,2,1,1
2023-01-16,MIN vs. UTA,MIN,UTA,Home,L,00:05:04,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
2023-01-14,MIN vs. CLE,MIN,CLE,Home,W,00:08:15,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,2,-1
2023-01-13,MIN vs. PHX,MIN,PHX,Home,W,00:06:34,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,3,2,0,0,0,3
2023-01-11,MIN @ DET,MIN,DET,Away,L,00:06:25,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,2,-6
2023-01-08,MIN @ HOU,MIN,HOU,Away,W,00:09:30,8,3,6,50.0,2,4,50.0,0,0,0.0,0,1,1,0,0,0,0,1,1
2023-01-06,MIN vs. LAC,MIN,LAC,Home,W,00:06:41,6,2,3,66.7,0,0,0.0,2,2,100.0,0,2,2,1,0,0,0,1,7
2023-01-04,MIN vs. POR,MIN,POR,Home,W,00:09:13,3,0,2,0.0,0,2,0.0,3,4,75.0,1,1,2,4,0,0,0,0,0
2022-12-31,MIN vs. DET,MIN,DET,Home,L,00:07:27,4,1,3,33.3,0,0,0.0,2,2,100.0,0,0,0,3,0,0,1,0,-6
2022-12-30,MIN @ MIL,MIN,MIL,Away,L,00:08:16,4,1,2,50.0,0,1,0.0,2,2,100.0,0,0,0,0,1,0,0,1,-11
2022-12-28,MIN @ NOP,MIN,NOP,Away,L,00:08:09,13,2,3,66.7,1,2,50.0,8,8,100.0,0,2,2,0,0,0,0,0,2
2022-12-26,MIN @ MIA,MIN,MIA,Away,L,00:06:26,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-4
2022-12-23,MIN @ BOS,MIN,BOS,Away,L,00:09:18,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,3
2022-12-21,MIN vs. DAL,MIN,DAL,Home,L,00:08:48,2,1,3,33.3,0,2,0.0,0,0,0.0,0,3,3,1,0,0,1,0,-1
2022-12-19,MIN vs. DAL,MIN,DAL,Home,W,00:07:43,3,1,3,33.3,1,3,33.3,0,0,0.0,0,0,0,1,0,0,1,3,3
2022-12-18,MIN vs. CHI,MIN,CHI,Home,W,00:09:10,3,1,2,50.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,0,1,8
2022-12-12,MIN @ POR,MIN,POR,Away,L,00:07:16,3,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,4,1,0,1,0,-1
2022-12-10,MIN @ POR,MIN,POR,Away,L,00:09:35,6,2,2,100.0,1,1,100.0,1,2,50.0,0,0,0,0,0,0,2,1,3
2022-12-09,MIN @ UTA,MIN,UTA,Away,W,00:08:16,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-9
2022-12-07,MIN vs. IND,MIN,IND,Home,W,00:07:06,4,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,2,1,0,1,1,-6
2022-12-03,MIN vs. OKC,MIN,OKC,Home,L,00:08:37,8,3,3,100.0,1,1,100.0,1,1,100.0,0,0,0,2,0,0,0,0,4
2022-11-30,MIN vs. MEM,MIN,MEM,Home,W,00:09:43,9,4,8,50.0,0,2,0.0,1,1,100.0,0,2,2,2,0,0,0,2,5
2022-11-28,MIN @ WAS,MIN,WAS,Away,L,00:09:13,4,1,5,20.0,0,1,0.0,2,2,100.0,0,1,1,2,0,0,0,0,2
2022-11-27,MIN vs. GSW,MIN,GSW,Home,L,00:08:12,2,0,2,0.0,0,0,0.0,2,2,100.0,1,0,1,3,1,0,0,0,-3
