Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-06,PHI vs. MIA,PHI,MIA,Home,L,00:12:00,6,3,3,100.0,0,0,0.0,0,0,0.0,0,2,2,2,0,1,1,1,3
2023-04-04,PHI vs. BOS,PHI,BOS,Home,W,00:12:00,14,6,6,100.0,0,0,0.0,2,2,100.0,0,2,2,0,0,2,0,0,-2
2023-04-02,PHI @ MIL,PHI,MIL,Away,L,00:09:42,9,3,8,37.5,0,2,0.0,3,3,100.0,0,4,4,1,0,0,0,3,6
2023-03-31,PHI vs. TOR,PHI,TOR,Home,W,00:12:00,5,1,3,33.3,0,1,0.0,3,3,100.0,1,4,5,1,0,1,3,1,-7
2023-03-29,PHI vs. DAL,PHI,DAL,Home,W,00:08:36,6,2,4,50.0,0,0,0.0,2,2,100.0,0,2,2,1,1,0,1,3,1
2023-03-25,PHI @ PHX,PHI,PHX,Away,L,00:09:31,9,2,5,40.0,1,1,100.0,4,5,80.0,1,2,3,1,0,0,2,1,1
2023-03-24,PHI @ GSW,PHI,GSW,Away,L,00:12:00,12,3,5,60.0,0,1,0.0,6,7,85.7,0,2,2,2,0,0,1,0,11
2023-03-20,PHI vs. CHI,PHI,CHI,Home,L,00:12:00,18,5,9,55.6,0,1,0.0,8,9,88.9,1,3,4,0,0,2,0,1,3
2023-03-18,PHI @ IND,PHI,IND,Away,W,00:12:00,16,5,7,71.4,0,0,0.0,6,7,85.7,1,0,1,3,0,1,1,0,0
2023-03-17,PHI @ CHA,PHI,CHA,Away,W,00:10:24,14,6,7,85.7,0,0,0.0,2,3,66.7,1,6,7,1,0,2,0,1,13
2023-03-15,PHI @ CLE,PHI,CLE,Away,W,00:12:00,7,3,4,75.0,0,0,0.0,1,1,100.0,1,6,7,0,0,1,3,2,6
2023-03-12,PHI vs. WAS,PHI,WAS,Home,W,00:12:00,12,4,7,57.1,0,1,0.0,4,6,66.7,2,2,4,3,0,3,0,0,7
2023-03-10,PHI vs. POR,PHI,POR,Home,W,00:12:00,10,3,7,42.9,0,1,0.0,4,4,100.0,0,1,1,1,0,1,0,0,4
2023-03-07,PHI @ MIN,PHI,MIN,Away,W,00:10:35,22,6,11,54.5,2,2,100.0,8,8,100.0,1,4,5,0,0,1,1,2,6
