Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-09,MIN vs. NOP,MIN,NOP,Home,W,4.47,5,2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,1,0,2,0
2023-04-08,MIN @ SAS,MIN,SAS,Away,W,9.06,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,4,0,0,0,0,16
2023-04-04,MIN @ BKN,MIN,BKN,Away,W,9.18,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,-5
2023-04-02,MIN vs. POR,MIN,POR,Home,L,3.37,3,1,2,50.0,1,1,100.0,0,0,0.0,1,1,2,0,0,0,2,3,-1
2023-03-31,MIN vs. LAL,MIN,LAL,Home,L,10.09,8,3,7,42.9,0,2,0.0,2,2,100.0,3,2,5,1,0,0,1,3,-11
2023-03-29,MIN @ PHX,MIN,PHX,Away,L,10.32,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,2,1,-7
2023-03-26,MIN @ GSW,MIN,GSW,Away,W,9.22,3,1,4,25.0,1,3,33.3,0,0,0.0,0,1,1,1,1,0,1,1,6
2023-03-22,MIN vs. ATL,MIN,ATL,Home,W,7.52,8,3,6,50.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,1,2,0
2022-11-28,MIN @ WAS,MIN,WAS,Away,L,6.35,6,2,3,66.7,0,0,0.0,2,3,66.7,1,0,1,1,0,0,0,0,2
2022-11-27,MIN vs. GSW,MIN,GSW,Home,L,8.19,7,3,5,60.0,1,2,50.0,0,0,0.0,0,2,2,1,0,0,2,2,-3
2022-11-25,MIN @ CHA,MIN,CHA,Away,L,12.0,3,1,8,12.5,0,6,0.0,1,2,50.0,0,0,0,2,0,0,1,1,-18
2022-11-23,MIN @ IND,MIN,IND,Away,W,12.0,13,4,6,66.7,1,1,100.0,4,4,100.0,2,1,3,3,0,2,2,2,5
2022-11-21,MIN vs. MIA,MIN,MIA,Home,W,10.18,4,1,3,33.3,0,2,0.0,2,2,100.0,0,3,3,4,0,1,0,3,19
2022-11-19,MIN @ PHI,MIN,PHI,Away,W,6.55,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,2,-1
2022-11-16,MIN @ ORL,MIN,ORL,Away,W,9.08,6,2,2,100.0,2,2,100.0,0,0,0.0,0,1,1,0,0,0,0,0,-4
2022-11-13,MIN @ CLE,MIN,CLE,Away,W,9.39,16,6,6,100.0,1,1,100.0,3,4,75.0,1,1,2,0,1,0,0,2,7
2022-11-11,MIN @ MEM,MIN,MEM,Away,L,7.42,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0
2022-11-09,MIN vs. PHX,MIN,PHX,Home,L,8.13,5,2,4,50.0,1,2,50.0,0,0,0.0,0,3,3,1,0,0,0,1,-4
2022-11-07,MIN vs. NYK,MIN,NYK,Home,L,12.0,8,3,3,100.0,0,0,0.0,2,2,100.0,0,3,3,2,1,1,0,0,1
2022-11-05,MIN vs. HOU,MIN,HOU,Home,W,4.59,10,4,4,100.0,1,1,100.0,1,1,100.0,1,0,1,1,0,0,0,1,-5
2022-11-04,MIN vs. MIL,MIN,MIL,Home,L,8.57,5,2,3,66.7,1,1,100.0,0,0,0.0,1,2,3,3,0,0,0,1,-9
2022-11-01,MIN @ PHX,MIN,PHX,Away,L,10.41,8,3,5,60.0,2,3,66.7,0,0,0.0,1,0,1,2,0,0,1,1,-3
2022-10-30,MIN @ SAS,MIN,SAS,Away,L,9.03,3,1,3,33.3,0,1,0.0,1,4,25.0,1,0,1,1,0,2,1,1,-9
2022-10-28,MIN vs. LAL,MIN,LAL,Home,W,9.11,2,0,3,0.0,0,2,0.0,2,2,100.0,0,2,2,0,0,0,1,0,5
2022-10-26,MIN vs. SAS,MIN,SAS,Home,W,9.29,9,4,4,100.0,1,1,100.0,0,0,0.0,0,1,1,1,1,1,1,0,-7
2022-10-24,MIN vs. SAS,MIN,SAS,Home,L,7.57,0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,3,2,-18
2022-10-23,MIN @ OKC,MIN,OKC,Away,W,12.0,7,3,5,60.0,1,2,50.0,0,0,0.0,0,4,4,3,0,0,0,0,-1
2022-10-21,MIN vs. UTA,MIN,UTA,Home,L,2.41,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-9
2022-10-19,MIN vs. OKC,MIN,OKC,Home,W,9.49,3,1,4,25.0,1,3,33.3,0,0,0.0,0,3,3,0,0,0,1,2,-13
