Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-09,LAC @ PHX,LAC,PHX,Away,W,00:09:50,9,4,6,66.7,0,0,0.0,1,2,50.0,0,5,5,3,0,0,2,0,-3
2023-04-08,LAC vs. POR,LAC,POR,Home,W,00:12:00,13,4,8,50.0,2,5,40.0,3,3,100.0,0,4,4,1,0,1,0,0,19
2023-04-05,LAC vs. LAL,LAC,LAL,Home,W,00:12:00,3,1,1,100.0,1,1,100.0,0,0,0.0,1,2,3,0,0,0,1,0,-8
2023-04-01,LAC @ NOP,LAC,NOP,Away,L,00:12:00,14,5,7,71.4,2,3,66.7,2,2,100.0,0,0,0,1,0,1,1,1,-2
2023-03-27,LAC vs. CHI,LAC,CHI,Home,W,00:12:00,9,3,5,60.0,2,3,66.7,1,1,100.0,0,2,2,3,1,0,1,1,15
2023-03-25,LAC vs. NOP,LAC,NOP,Home,L,00:07:55,2,1,5,20.0,0,1,0.0,0,1,0.0,0,2,2,0,0,0,1,0,-7
2023-03-23,LAC vs. OKC,LAC,OKC,Home,W,00:12:00,15,5,7,71.4,2,3,66.7,3,4,75.0,1,3,4,1,2,0,1,2,12
2023-03-21,LAC vs. OKC,LAC,OKC,Home,L,00:12:00,9,3,5,60.0,2,2,100.0,1,2,50.0,0,1,1,1,0,0,0,0,6
2023-03-19,LAC @ POR,LAC,POR,Away,W,00:12:00,6,2,7,28.6,0,3,0.0,2,2,100.0,1,0,1,1,0,0,0,1,6
2023-03-15,LAC vs. GSW,LAC,GSW,Home,W,00:12:00,10,3,6,50.0,1,3,33.3,3,3,100.0,1,0,1,3,0,0,1,2,3
2023-03-11,LAC vs. NYK,LAC,NYK,Home,W,00:12:00,19,6,8,75.0,3,5,60.0,4,4,100.0,0,2,2,0,0,0,0,0,4
2023-03-08,LAC vs. TOR,LAC,TOR,Home,W,00:12:00,2,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,2,1,0,1,1,9
2023-03-05,LAC vs. MEM,LAC,MEM,Home,W,00:12:00,5,2,6,33.3,0,2,0.0,1,1,100.0,0,0,0,2,0,0,1,0,-21
