Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-07,ATL vs. PHI,ATL,PHI,Home,L,8.03,5,0,2,0.0,0,1,0.0,5,6,83.3,0,0,0,3,2,0,2,0,-2
2023-04-05,ATL vs. WAS,ATL,WAS,Home,W,11.09,6,0,1,0.0,0,0,0.0,6,6,100.0,0,0,0,5,0,0,2,1,12
2023-04-02,ATL vs. DAL,ATL,DAL,Home,W,8.3,2,0,5,0.0,0,2,0.0,2,2,100.0,0,0,0,5,0,0,1,1,5
2023-03-31,ATL @ BKN,ATL,BKN,Away,L,9.31,4,1,1,100.0,0,0,0.0,2,2,100.0,0,0,0,3,0,0,1,0,-13
2023-03-28,ATL vs. CLE,ATL,CLE,Home,W,8.21,4,1,3,33.3,1,1,100.0,1,2,50.0,0,0,0,2,1,0,1,0,2
2023-03-26,ATL vs. MEM,ATL,MEM,Home,L,12.0,13,4,6,66.7,3,4,75.0,2,2,100.0,0,0,0,5,0,0,1,0,-2
2023-03-25,ATL vs. IND,ATL,IND,Home,W,4.35,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,2,1,0,1,1,1
2023-03-22,ATL @ MIN,ATL,MIN,Away,L,8.55,6,1,4,25.0,1,2,50.0,3,5,60.0,0,1,1,2,0,0,1,1,3
2023-03-21,ATL vs. DET,ATL,DET,Home,W,10.18,10,3,6,50.0,2,4,50.0,2,2,100.0,0,0,0,5,0,0,1,1,13
2023-03-19,ATL @ SAS,ATL,SAS,Away,L,8.07,4,2,4,50.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,0,-10
2023-03-17,ATL vs. GSW,ATL,GSW,Home,W,9.39,11,3,6,50.0,2,4,50.0,3,3,100.0,0,0,0,2,0,0,1,0,6
2023-03-13,ATL vs. MIN,ATL,MIN,Home,L,12.0,15,5,8,62.5,1,2,50.0,4,4,100.0,0,0,0,3,1,0,1,1,3
2023-03-11,ATL vs. BOS,ATL,BOS,Home,L,8.04,9,4,8,50.0,0,3,0.0,1,1,100.0,0,1,1,0,0,0,1,0,-5
2023-03-10,ATL @ WAS,ATL,WAS,Away,W,9.3,7,2,4,50.0,1,3,33.3,2,2,100.0,0,1,1,2,1,0,0,0,0
2023-03-08,ATL @ WAS,ATL,WAS,Away,W,9.02,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,4,0,0,1,1,-8
2023-03-06,ATL @ MIA,ATL,MIA,Away,L,8.34,5,1,5,20.0,0,3,0.0,3,3,100.0,0,0,0,3,0,0,0,0,2
2023-03-04,ATL @ MIA,ATL,MIA,Away,L,9.57,3,0,5,0.0,0,4,0.0,3,3,100.0,0,0,0,2,2,0,1,1,7
2023-03-03,ATL vs. POR,ATL,POR,Home,W,8.25,15,4,6,66.7,3,4,75.0,4,4,100.0,1,3,4,1,0,0,0,0,15
2023-02-28,ATL vs. WAS,ATL,WAS,Home,L,9.41,16,6,8,75.0,1,2,50.0,3,3,100.0,0,0,0,1,0,1,1,1,4
2023-02-26,ATL vs. BKN,ATL,BKN,Home,W,10.05,12,4,6,66.7,0,1,0.0,4,4,100.0,0,0,0,2,1,0,1,1,-9
2023-02-24,ATL vs. CLE,ATL,CLE,Home,W,10.4,8,3,8,37.5,2,4,50.0,0,0,0.0,0,2,2,5,1,0,1,0,3
2023-02-15,ATL vs. NYK,ATL,NYK,Home,L,12.0,10,2,7,28.6,1,3,33.3,5,6,83.3,0,0,0,5,1,0,0,0,7
2023-02-13,ATL @ CHA,ATL,CHA,Away,L,7.52,0,0,5,0.0,0,2,0.0,0,0,0.0,0,0,0,3,1,0,2,0,-10
2023-02-11,ATL vs. SAS,ATL,SAS,Home,W,9.59,6,2,7,28.6,0,2,0.0,2,2,100.0,0,1,1,4,1,1,1,0,16
2023-02-09,ATL vs. PHX,ATL,PHX,Home,W,10.11,12,3,5,60.0,2,4,50.0,4,4,100.0,1,1,2,3,1,0,4,1,10
2023-02-07,ATL @ NOP,ATL,NOP,Away,L,9.54,4,0,3,0.0,0,1,0.0,4,4,100.0,0,0,0,3,1,0,3,1,-10
2023-02-03,ATL @ UTA,ATL,UTA,Away,W,9.36,6,3,5,60.0,0,2,0.0,0,0,0.0,0,0,0,3,1,0,0,2,1
2023-02-01,ATL @ PHX,ATL,PHX,Away,W,10.47,12,5,8,62.5,2,2,100.0,0,0,0.0,0,0,0,4,0,0,1,0,17
2023-01-28,ATL vs. LAC,ATL,LAC,Home,L,9.4,10,2,2,100.0,0,0,0.0,6,8,75.0,0,0,0,3,0,0,0,0,3
2023-01-25,ATL @ OKC,ATL,OKC,Away,W,12.0,10,4,7,57.1,1,1,100.0,1,1,100.0,0,2,2,5,0,0,1,0,5
2023-01-23,ATL @ CHI,ATL,CHI,Away,L,10.2,12,4,6,66.7,0,2,0.0,4,6,66.7,0,1,1,3,0,0,2,0,12
2023-01-21,ATL vs. CHA,ATL,CHA,Home,L,12.0,7,3,7,42.9,0,1,0.0,1,1,100.0,0,1,1,5,0,0,2,1,-8
2023-01-20,ATL vs. NYK,ATL,NYK,Home,W,11.47,14,5,10,50.0,1,3,33.3,3,3,100.0,1,0,1,1,0,0,1,1,7
2023-01-18,ATL @ DAL,ATL,DAL,Away,W,12.0,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,6,1,0,2,0,-2
2023-01-16,ATL vs. MIA,ATL,MIA,Home,W,10.32,4,2,5,40.0,0,2,0.0,0,0,0.0,0,2,2,2,0,0,3,2,-7
2023-01-14,ATL @ TOR,ATL,TOR,Away,W,10.53,7,3,6,50.0,1,3,33.3,0,0,0.0,0,0,0,4,0,0,1,0,5
2023-01-13,ATL @ IND,ATL,IND,Away,W,12.0,5,1,2,50.0,1,2,50.0,2,2,100.0,0,2,2,4,0,0,2,0,-2
2023-01-08,ATL @ LAC,ATL,LAC,Away,W,9.47,4,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0,2,1,0,2,2,-12
2023-01-06,ATL @ LAL,ATL,LAL,Away,L,12.0,17,7,11,63.6,2,5,40.0,1,1,100.0,0,1,1,2,3,0,3,1,5
2023-01-04,ATL @ SAC,ATL,SAC,Away,W,9.52,7,2,2,100.0,1,1,100.0,2,2,100.0,0,0,0,1,0,0,1,1,1
2023-01-02,ATL @ GSW,ATL,GSW,Away,L,9.2,6,2,3,66.7,1,1,100.0,1,1,100.0,0,2,2,9,0,0,2,2,13
2022-12-30,ATL vs. LAL,ATL,LAL,Home,L,12.0,8,3,5,60.0,0,1,0.0,2,2,100.0,0,0,0,4,0,0,1,1,-8
2022-12-27,ATL @ IND,ATL,IND,Away,L,12.0,9,3,8,37.5,1,2,50.0,2,2,100.0,0,1,1,3,0,0,1,0,0
2022-12-23,ATL vs. DET,ATL,DET,Home,W,12.0,15,5,7,71.4,2,4,50.0,3,4,75.0,0,2,2,5,2,0,1,0,17
2022-12-21,ATL vs. CHI,ATL,CHI,Home,L,12.0,3,1,7,14.3,1,4,25.0,0,0,0.0,1,2,3,2,0,0,1,1,6
2022-12-19,ATL vs. ORL,ATL,ORL,Home,W,12.0,17,6,10,60.0,1,3,33.3,4,4,100.0,0,1,1,2,0,0,1,0,7
2022-12-16,ATL @ CHA,ATL,CHA,Away,W,12.0,10,1,7,14.3,1,2,50.0,7,8,87.5,0,0,0,3,0,0,2,0,-10
2022-12-14,ATL @ ORL,ATL,ORL,Away,L,12.0,3,1,4,25.0,0,1,0.0,1,1,100.0,1,2,3,5,0,0,1,1,3
2022-12-11,ATL vs. CHI,ATL,CHI,Home,W,12.0,8,2,5,40.0,1,2,50.0,3,3,100.0,0,0,0,2,0,0,2,1,-1
2022-12-09,ATL @ BKN,ATL,BKN,Away,L,12.0,7,2,7,28.6,0,2,0.0,3,3,100.0,0,0,0,5,2,0,2,0,-2
