Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-06,PHX vs. DEN,PHX,DEN,Home,W,00:07:30,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,5
2023-04-04,PHX vs. SAS,PHX,SAS,Home,W,00:03:12,0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-2
2023-04-02,PHX @ OKC,PHX,OKC,Away,W,00:06:36,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,5
2023-03-31,PHX vs. DEN,PHX,DEN,Home,W,00:05:02,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
2023-03-29,PHX vs. MIN,PHX,MIN,Home,W,00:07:36,5,1,3,33.3,0,1,0.0,3,3,100.0,0,0,0,0,1,0,0,0,4
2023-03-27,PHX @ UTA,PHX,UTA,Away,W,00:03:20,2,1,2,50.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,3
2023-03-25,PHX vs. PHI,PHX,PHI,Home,W,00:02:50,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-2
2023-03-24,PHX @ SAC,PHX,SAC,Away,L,00:08:25,14,5,6,83.3,0,1,0.0,4,5,80.0,0,0,0,1,0,0,0,1,2
2023-03-22,PHX @ LAL,PHX,LAL,Away,L,00:09:55,11,3,4,75.0,1,2,50.0,4,4,100.0,0,1,1,1,0,0,3,2,-5
2023-03-19,PHX @ OKC,PHX,OKC,Away,L,00:06:52,13,5,7,71.4,1,2,50.0,2,2,100.0,0,0,0,0,0,0,1,1,-6
2023-03-16,PHX vs. ORL,PHX,ORL,Home,W,00:07:24,4,2,5,40.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,-2
2023-03-14,PHX vs. MIL,PHX,MIL,Home,L,00:12:00,3,1,4,25.0,1,1,100.0,0,0,0.0,1,1,2,0,0,0,3,1,-11
2023-03-13,PHX @ GSW,PHX,GSW,Away,L,00:04:48,4,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-6
2023-03-11,PHX vs. SAC,PHX,SAC,Home,L,00:07:26,7,3,4,75.0,1,2,50.0,0,0,0.0,1,1,2,1,1,0,2,3,-9
2023-03-08,PHX vs. OKC,PHX,OKC,Home,W,00:04:34,7,3,3,100.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,0,0,9
2023-03-05,PHX @ DAL,PHX,DAL,Away,W,00:09:18,6,3,4,75.0,0,0,0.0,0,1,0.0,1,1,2,3,0,0,1,1,9
2023-03-03,PHX @ CHI,PHX,CHI,Away,W,00:05:05,3,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0,0,0,1,0,1,12
2023-03-01,PHX @ CHA,PHX,CHA,Away,W,00:06:38,8,3,5,60.0,1,2,50.0,1,3,33.3,0,0,0,0,0,1,0,0,5
2023-02-26,PHX @ MIL,PHX,MIL,Away,L,00:07:55,7,3,6,50.0,0,1,0.0,1,3,33.3,0,0,0,1,0,0,2,1,-4
2023-02-24,PHX vs. OKC,PHX,OKC,Home,W,00:06:20,7,3,5,60.0,1,3,33.3,0,0,0.0,1,2,3,0,0,0,0,0,-3
2023-02-16,PHX vs. LAC,PHX,LAC,Home,L,00:12:00,7,3,7,42.9,0,1,0.0,1,1,100.0,0,3,3,2,0,1,2,3,-2
2023-02-14,PHX vs. SAC,PHX,SAC,Home,W,00:06:52,8,4,5,80.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,1,6
2023-02-10,PHX @ IND,PHX,IND,Away,W,00:08:07,6,2,6,33.3,0,2,0.0,2,2,100.0,0,0,0,0,0,0,1,2,3
2023-02-07,PHX @ BKN,PHX,BKN,Away,W,00:06:42,6,2,4,50.0,0,2,0.0,2,4,50.0,0,1,1,2,0,0,0,3,-1
2022-12-17,PHX vs. NOP,PHX,NOP,Home,W,00:12:00,16,5,10,50.0,1,4,25.0,5,8,62.5,1,0,1,0,0,0,0,1,9
2022-12-15,PHX @ LAC,PHX,LAC,Away,W,00:05:40,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,-4
2022-12-09,PHX @ NOP,PHX,NOP,Away,L,00:04:37,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,-5
2022-12-02,PHX vs. HOU,PHX,HOU,Home,L,00:07:09,8,3,8,37.5,1,2,50.0,1,3,33.3,0,1,1,1,0,0,0,0,-3
2022-11-28,PHX @ SAC,PHX,SAC,Away,W,00:10:09,8,2,5,40.0,0,1,0.0,4,4,100.0,0,1,1,2,2,0,1,1,4
2022-11-26,PHX vs. UTA,PHX,UTA,Home,W,00:09:16,5,1,5,20.0,0,3,0.0,3,4,75.0,0,2,2,3,0,0,0,0,4
2022-11-25,PHX vs. DET,PHX,DET,Home,W,00:05:07,1,0,3,0.0,0,1,0.0,1,2,50.0,0,1,1,0,1,0,0,0,3
2022-11-22,PHX vs. LAL,PHX,LAL,Home,W,00:06:16,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,3,0
2022-11-18,PHX @ UTA,PHX,UTA,Away,L,00:10:46,10,3,8,37.5,0,3,0.0,4,4,100.0,1,1,2,1,0,0,0,0,-4
2022-11-16,PHX vs. GSW,PHX,GSW,Home,W,00:06:22,5,2,4,50.0,1,1,100.0,0,0,0.0,0,0,0,1,0,1,0,0,-5
2022-11-14,PHX @ MIA,PHX,MIA,Away,L,00:12:00,10,4,8,50.0,1,3,33.3,1,1,100.0,1,2,3,1,2,1,1,3,-8
2022-11-11,PHX @ ORL,PHX,ORL,Away,L,00:04:14,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-6
2022-11-09,PHX @ MIN,PHX,MIN,Away,W,00:07:19,6,3,6,50.0,0,1,0.0,0,0,0.0,0,1,1,0,2,0,0,1,-3
2022-11-07,PHX @ PHI,PHX,PHI,Away,L,00:12:00,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,2,1,-7
2022-11-04,PHX vs. POR,PHX,POR,Home,L,00:08:06,5,2,4,50.0,1,1,100.0,0,0,0.0,0,2,2,1,0,0,0,0,1
2022-11-01,PHX vs. MIN,PHX,MIN,Home,W,00:01:32,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,0,1,2
2022-10-30,PHX vs. HOU,PHX,HOU,Home,W,00:05:45,2,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,8
2022-10-28,PHX vs. NOP,PHX,NOP,Home,W,00:02:44,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,1
2022-10-25,PHX vs. GSW,PHX,GSW,Home,W,00:06:01,9,3,4,75.0,1,2,50.0,2,2,100.0,0,0,0,1,0,0,0,0,12
2022-10-23,PHX @ LAC,PHX,LAC,Away,W,00:04:57,8,3,3,100.0,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,0,0
2022-10-21,PHX @ POR,PHX,POR,Away,L,00:08:44,6,3,7,42.9,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
2022-10-19,PHX vs. DAL,PHX,DAL,Home,W,00:08:30,7,2,3,66.7,0,0,0.0,3,3,100.0,0,0,0,6,0,0,0,1,17
