Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-09,CHI vs. NYK,CHI,NYK,Home,L,00:04:34,4,2,2,100.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,1
2024-04-07,CHI @ ORL,CHI,ORL,Away,L,00:24:31,14,7,9,77.8,0,0,0.0,0,0,0.0,4,6,10,0,2,0,0,2,4
2024-04-05,CHI vs. NYK,CHI,NYK,Home,W,00:24:03,10,3,7,42.9,0,0,0.0,4,6,66.7,5,11,16,0,3,1,3,4,7
2024-04-01,CHI vs. ATL,CHI,ATL,Home,L,00:20:04,13,5,8,62.5,0,0,0.0,3,6,50.0,8,10,18,0,0,0,1,2,-4
2024-03-31,CHI @ MIN,CHI,MIN,Away,W,00:16:55,6,3,6,50.0,0,0,0.0,0,0,0.0,2,7,9,0,1,0,0,4,-1
2024-03-29,CHI @ BKN,CHI,BKN,Away,L,00:17:21,6,1,2,50.0,0,0,0.0,4,6,66.7,1,10,11,0,0,2,1,1,7
2024-03-27,CHI vs. IND,CHI,IND,Home,W,00:17:30,14,5,8,62.5,0,0,0.0,4,5,80.0,4,7,11,3,3,0,1,2,23
2024-03-25,CHI vs. WAS,CHI,WAS,Home,L,00:18:33,10,5,9,55.6,0,0,0.0,0,0,0.0,3,9,12,1,0,2,0,0,9
2024-03-23,CHI vs. BOS,CHI,BOS,Home,L,00:15:38,7,3,3,100.0,0,0,0.0,1,1,100.0,1,5,6,0,0,0,1,0,-5
2024-03-21,CHI @ HOU,CHI,HOU,Away,L,00:23:54,9,3,5,60.0,0,0,0.0,3,4,75.0,3,5,8,0,1,1,2,1,-3
2024-03-18,CHI vs. POR,CHI,POR,Home,W,00:13:43,9,2,10,20.0,0,0,0.0,5,5,100.0,7,4,11,0,0,0,0,2,6
2024-03-16,CHI vs. WAS,CHI,WAS,Home,W,00:14:56,13,4,5,80.0,0,0,0.0,5,8,62.5,4,5,9,1,0,0,0,2,10
2024-03-14,CHI vs. LAC,CHI,LAC,Home,L,00:16:18,15,7,8,87.5,0,0,0.0,1,1,100.0,3,4,7,1,0,1,0,2,2
2024-03-13,CHI @ IND,CHI,IND,Away,W,00:09:54,3,1,4,25.0,0,0,0.0,1,2,50.0,1,3,4,0,0,0,1,3,-18
2024-03-11,CHI vs. DAL,CHI,DAL,Home,L,00:16:28,4,1,3,33.3,0,0,0.0,2,4,50.0,1,9,10,1,1,0,1,0,-11
2024-03-09,CHI @ LAC,CHI,LAC,Away,L,00:11:55,3,0,1,0.0,0,0,0.0,3,4,75.0,3,4,7,0,0,0,1,1,1
2024-03-07,CHI @ GSW,CHI,GSW,Away,W,00:12:50,1,0,1,0.0,0,0,0.0,1,6,16.7,3,4,7,0,0,0,2,1,10
2024-03-06,CHI @ UTA,CHI,UTA,Away,W,00:17:09,10,4,7,57.1,0,0,0.0,2,4,50.0,3,3,6,0,0,0,0,1,-2
2024-03-04,CHI @ SAC,CHI,SAC,Away,W,00:16:14,4,2,5,40.0,0,0,0.0,0,0,0.0,0,6,6,0,0,0,0,5,9
2024-03-01,CHI vs. MIL,CHI,MIL,Home,L,00:24:05,9,4,11,36.4,0,0,0.0,1,1,100.0,3,7,10,0,1,1,3,4,-5
2024-02-28,CHI vs. CLE,CHI,CLE,Home,W,00:36:10,17,8,12,66.7,0,0,0.0,1,2,50.0,9,17,26,1,0,3,3,3,1
2024-02-27,CHI vs. DET,CHI,DET,Home,L,00:27:47,20,9,14,64.3,0,0,0.0,2,2,100.0,6,5,11,0,0,1,1,2,8
2024-02-25,CHI @ NOP,CHI,NOP,Away,W,00:14:15,7,2,5,40.0,0,0,0.0,3,3,100.0,1,7,8,1,0,0,0,2,6
2024-02-22,CHI vs. BOS,CHI,BOS,Home,L,00:17:23,11,4,8,50.0,0,0,0.0,3,4,75.0,4,4,8,0,0,1,0,0,-11
2024-02-14,CHI @ CLE,CHI,CLE,Away,L,00:28:03,10,4,9,44.4,0,0,0.0,2,2,100.0,4,11,15,0,1,1,3,2,8
2024-02-12,CHI @ ATL,CHI,ATL,Away,W,00:16:10,7,3,7,42.9,0,1,0.0,1,2,50.0,3,8,11,0,0,0,0,2,4
2024-02-10,CHI @ ORL,CHI,ORL,Away,L,00:16:51,4,1,3,33.3,0,0,0.0,2,4,50.0,2,3,5,0,2,0,3,4,-11
2024-02-08,CHI @ MEM,CHI,MEM,Away,W,00:31:20,21,10,11,90.9,0,0,0.0,1,3,33.3,3,10,13,1,1,1,1,1,7
2024-02-06,CHI vs. MIN,CHI,MIN,Home,W,00:35:27,16,7,13,53.8,0,0,0.0,2,4,50.0,6,10,16,0,0,4,1,4,4
2024-02-03,CHI vs. SAC,CHI,SAC,Home,L,00:13:34,2,1,4,25.0,0,0,0.0,0,0,0.0,4,4,8,0,0,0,0,0,-5
2024-01-31,CHI @ CHA,CHI,CHA,Away,W,00:15:13,10,5,8,62.5,0,0,0.0,0,1,0.0,3,5,8,1,0,0,0,2,4
2024-01-30,CHI vs. TOR,CHI,TOR,Home,L,00:14:06,7,3,4,75.0,0,0,0.0,1,2,50.0,3,4,7,0,1,1,0,0,4
2024-01-28,CHI @ POR,CHI,POR,Away,W,00:17:09,15,6,11,54.5,0,0,0.0,3,3,100.0,4,3,7,0,1,1,0,3,3
2024-01-25,CHI @ LAL,CHI,LAL,Away,L,00:16:51,11,5,7,71.4,0,0,0.0,1,2,50.0,5,4,9,1,1,0,1,0,0
2024-01-22,CHI @ PHX,CHI,PHX,Away,L,00:11:19,6,2,4,50.0,0,0,0.0,2,4,50.0,3,2,5,0,0,0,1,0,-12
2024-01-20,CHI vs. MEM,CHI,MEM,Home,W,00:18:52,15,7,11,63.6,0,0,0.0,1,2,50.0,5,5,10,1,4,0,0,2,18
2024-01-18,CHI @ TOR,CHI,TOR,Away,W,00:09:42,5,1,1,100.0,0,0,0.0,3,4,75.0,0,4,4,0,0,1,1,1,-12
2024-01-15,CHI @ CLE,CHI,CLE,Away,L,00:22:13,8,3,3,100.0,0,0,0.0,2,4,50.0,3,7,10,1,2,2,2,2,4
2024-01-13,CHI @ SAS,CHI,SAS,Away,W,00:16:51,7,3,7,42.9,0,0,0.0,1,3,33.3,4,6,10,1,1,1,0,2,-7
2024-01-12,CHI vs. GSW,CHI,GSW,Home,L,00:12:06,5,2,2,100.0,0,0,0.0,1,2,50.0,0,4,4,1,0,1,0,0,-6
2024-01-10,CHI vs. HOU,CHI,HOU,Home,W,00:12:30,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,1,2,0,3,1,-11
2024-01-08,CHI @ CHA,CHI,CHA,Away,W,00:22:31,21,9,12,75.0,0,0,0.0,3,3,100.0,5,10,15,0,0,0,2,1,16
2024-01-05,CHI vs. CHA,CHI,CHA,Home,W,00:23:05,7,3,7,42.9,0,0,0.0,1,2,50.0,3,7,10,0,1,3,2,1,8
2024-01-03,CHI @ NYK,CHI,NYK,Away,L,00:30:27,13,5,12,41.7,0,0,0.0,3,6,50.0,8,8,16,0,2,1,1,3,-15
2024-01-02,CHI @ PHI,CHI,PHI,Away,L,00:28:24,11,5,13,38.5,0,1,0.0,1,4,25.0,10,7,17,0,1,1,2,2,-31
2023-12-30,CHI vs. PHI,CHI,PHI,Home,W,00:29:37,15,6,8,75.0,0,0,0.0,3,10,30.0,3,20,23,2,2,3,3,4,16
2023-12-28,CHI vs. IND,CHI,IND,Home,L,00:21:07,7,3,9,33.3,0,0,0.0,1,4,25.0,7,9,16,0,1,0,1,4,-8
2023-12-26,CHI vs. ATL,CHI,ATL,Home,W,00:38:30,24,11,13,84.6,0,0,0.0,2,2,100.0,10,15,25,1,3,2,2,4,4
2023-12-23,CHI vs. CLE,CHI,CLE,Home,L,00:13:24,1,0,0,0.0,0,0,0.0,1,2,50.0,2,4,6,0,1,0,1,4,-10
2023-12-21,CHI vs. SAS,CHI,SAS,Home,W,00:19:00,12,5,10,50.0,0,0,0.0,2,3,66.7,4,4,8,1,5,2,1,0,17
