Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,NOP vs. LAL,NOP,LAL,Home,L,00:23:24,13,6,9,66.7,1,3,33.3,0,0,0.0,0,5,5,0,0,0,2,0,-28
2024-03-21,NOP @ ORL,NOP,ORL,Away,L,00:21:29,14,7,12,58.3,0,1,0.0,0,0,0.0,0,4,4,3,1,0,2,2,-8
2024-03-19,NOP @ BKN,NOP,BKN,Away,W,00:31:35,11,4,12,33.3,1,5,20.0,2,3,66.7,0,4,4,6,0,1,3,3,5
2024-03-16,NOP vs. POR,NOP,POR,Home,W,00:35:20,22,10,21,47.6,1,5,20.0,1,1,100.0,2,5,7,2,1,4,1,2,12
2024-03-15,NOP vs. LAC,NOP,LAC,Home,W,00:34:57,13,4,12,33.3,2,4,50.0,3,4,75.0,0,5,5,7,1,0,0,3,1
2024-03-13,NOP vs. CLE,NOP,CLE,Home,L,00:32:05,20,8,14,57.1,0,1,0.0,4,5,80.0,1,4,5,5,1,0,2,2,1
2024-03-10,NOP @ ATL,NOP,ATL,Away,W,00:31:50,7,3,9,33.3,0,1,0.0,1,2,50.0,0,7,7,10,1,0,2,2,1
2024-03-08,NOP @ PHI,NOP,PHI,Away,W,00:34:38,17,6,10,60.0,2,2,100.0,3,4,75.0,0,7,7,5,0,2,4,3,-13
2024-03-05,NOP @ TOR,NOP,TOR,Away,W,00:25:06,12,5,7,71.4,0,1,0.0,2,2,100.0,1,2,3,6,0,0,2,3,8
2024-03-01,NOP vs. IND,NOP,IND,Home,W,00:30:28,34,13,21,61.9,1,2,50.0,7,9,77.8,1,7,8,6,1,0,2,3,45
2024-02-28,NOP @ IND,NOP,IND,Away,L,00:28:34,30,8,20,40.0,1,5,20.0,13,13,100.0,1,5,6,4,0,0,1,1,-3
2024-02-27,NOP @ NYK,NOP,NYK,Away,W,00:33:49,24,9,18,50.0,3,7,42.9,3,3,100.0,0,6,6,5,0,2,5,3,15
2024-02-25,NOP vs. CHI,NOP,CHI,Home,L,00:38:39,22,7,16,43.8,2,6,33.3,6,8,75.0,0,3,3,6,3,1,9,1,0
2024-02-14,NOP vs. WAS,NOP,WAS,Home,W,00:34:33,18,6,13,46.2,2,3,66.7,4,6,66.7,1,2,3,8,2,0,1,4,-15
2024-02-12,NOP @ MEM,NOP,MEM,Away,W,00:36:11,16,7,14,50.0,2,6,33.3,0,1,0.0,0,2,2,6,1,1,6,4,5
2024-02-10,NOP @ POR,NOP,POR,Away,W,00:36:11,17,8,21,38.1,0,2,0.0,1,4,25.0,2,2,4,9,1,1,5,3,4
2024-02-09,NOP @ LAL,NOP,LAL,Away,L,00:34:53,22,7,17,41.2,0,2,0.0,8,8,100.0,1,6,7,7,0,3,2,3,0
2024-02-07,NOP @ LAC,NOP,LAC,Away,W,00:35:31,15,7,14,50.0,0,4,0.0,1,2,50.0,1,7,8,6,1,1,2,0,14
2024-02-05,NOP vs. TOR,NOP,TOR,Home,W,00:29:58,41,16,21,76.2,8,11,72.7,1,1,100.0,1,5,6,9,0,1,0,1,37
2024-02-02,NOP @ SAS,NOP,SAS,Away,W,00:36:24,19,7,15,46.7,1,2,50.0,4,4,100.0,2,2,4,6,2,1,2,4,-6
2024-01-31,NOP @ HOU,NOP,HOU,Away,W,00:36:08,24,9,19,47.4,0,3,0.0,6,7,85.7,4,6,10,4,0,2,6,4,4
2024-01-29,NOP @ BOS,NOP,BOS,Away,L,00:36:19,28,12,24,50.0,2,8,25.0,2,3,66.7,1,6,7,6,1,1,2,2,2
2024-01-27,NOP @ MIL,NOP,MIL,Away,L,00:27:52,26,9,18,50.0,2,2,100.0,6,8,75.0,0,6,6,1,0,0,1,0,-22
2024-01-26,NOP vs. OKC,NOP,OKC,Home,L,00:33:31,12,5,9,55.6,0,0,0.0,2,5,40.0,0,4,4,9,0,2,5,3,-15
2024-01-23,NOP vs. UTA,NOP,UTA,Home,W,00:30:38,18,8,18,44.4,0,2,0.0,2,2,100.0,1,4,5,6,0,0,1,1,20
2024-01-19,NOP vs. PHX,NOP,PHX,Home,L,00:33:12,17,5,11,45.5,1,5,20.0,6,9,66.7,0,7,7,11,0,0,2,2,-10
2024-01-17,NOP vs. CHA,NOP,CHA,Home,W,00:33:37,28,8,19,42.1,7,11,63.6,5,5,100.0,1,9,10,10,3,0,2,3,20
