Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,NOP vs. LAL,NOP,LAL,Home,L,00:33:45,25,9,19,47.4,4,9,44.4,3,4,75.0,2,2,4,7,0,0,3,3,-11
2024-04-12,NOP @ GSW,NOP,GSW,Away,W,00:37:51,28,10,21,47.6,8,13,61.5,0,0,0.0,0,5,5,5,0,2,3,3,-5
2024-04-11,NOP @ SAC,NOP,SAC,Away,W,00:40:00,31,11,18,61.1,9,12,75.0,0,0,0.0,1,3,4,7,2,0,0,0,-11
2024-04-09,NOP @ POR,NOP,POR,Away,W,00:33:48,29,10,19,52.6,5,10,50.0,4,4,100.0,1,4,5,3,2,0,1,0,18
2024-04-07,NOP @ PHX,NOP,PHX,Away,W,00:41:33,31,12,22,54.5,7,12,58.3,0,0,0.0,0,4,4,5,0,0,3,2,19
2024-04-05,NOP vs. SAS,NOP,SAS,Home,L,00:39:28,31,13,29,44.8,4,12,33.3,1,1,100.0,2,4,6,4,0,1,3,0,-6
2024-04-03,NOP vs. ORL,NOP,ORL,Home,L,00:41:05,36,10,24,41.7,5,12,41.7,11,11,100.0,2,8,10,4,2,0,4,3,2
2024-04-01,NOP vs. PHX,NOP,PHX,Home,L,00:39:36,15,6,17,35.3,2,6,33.3,1,1,100.0,2,3,5,9,0,1,3,1,-3
2024-03-30,NOP vs. BOS,NOP,BOS,Home,L,00:36:34,24,10,23,43.5,4,11,36.4,0,0,0.0,0,2,2,5,2,1,1,4,-6
2024-03-28,NOP vs. MIL,NOP,MIL,Home,W,00:39:29,25,9,24,37.5,3,9,33.3,4,4,100.0,1,6,7,7,1,0,1,1,12
2024-03-26,NOP vs. OKC,NOP,OKC,Home,L,00:41:23,23,8,24,33.3,4,11,36.4,3,3,100.0,0,6,6,5,0,0,0,2,-7
2024-03-24,NOP @ DET,NOP,DET,Away,W,00:36:40,23,9,18,50.0,5,9,55.6,0,0,0.0,0,2,2,7,1,0,2,2,7
2024-03-22,NOP @ MIA,NOP,MIA,Away,W,00:35:05,30,12,21,57.1,6,12,50.0,0,0,0.0,1,4,5,7,1,0,2,0,14
2024-03-21,NOP @ ORL,NOP,ORL,Away,L,00:33:36,18,6,12,50.0,3,6,50.0,3,4,75.0,0,3,3,3,0,0,2,3,-10
2024-03-19,NOP @ BKN,NOP,BKN,Away,W,00:31:43,16,6,12,50.0,4,8,50.0,0,0,0.0,0,1,1,5,0,0,2,2,20
2024-03-16,NOP vs. POR,NOP,POR,Home,W,00:36:43,30,12,20,60.0,6,12,50.0,0,0,0.0,0,2,2,8,2,0,2,1,6
2024-03-15,NOP vs. LAC,NOP,LAC,Home,W,00:29:48,11,5,13,38.5,1,7,14.3,0,0,0.0,0,6,6,4,1,0,2,1,0
2024-03-13,NOP vs. CLE,NOP,CLE,Home,L,00:29:16,8,3,10,30.0,0,5,0.0,2,2,100.0,0,3,3,1,0,2,1,0,6
2024-03-10,NOP @ ATL,NOP,ATL,Away,W,00:30:41,20,7,14,50.0,4,7,57.1,2,3,66.7,1,3,4,3,0,0,2,0,1
2024-03-08,NOP @ PHI,NOP,PHI,Away,W,00:27:27,10,5,14,35.7,0,7,0.0,0,0,0.0,0,4,4,1,0,0,3,2,-4
2024-03-05,NOP @ TOR,NOP,TOR,Away,W,00:22:30,11,4,11,36.4,3,9,33.3,0,0,0.0,0,4,4,4,0,0,1,2,3
2024-03-01,NOP vs. IND,NOP,IND,Home,W,00:25:20,14,5,11,45.5,4,7,57.1,0,0,0.0,0,4,4,1,2,2,0,2,30
2024-02-28,NOP @ IND,NOP,IND,Away,L,00:34:22,23,9,21,42.9,5,8,62.5,0,0,0.0,2,4,6,3,0,0,1,3,-19
2024-02-23,NOP vs. MIA,NOP,MIA,Home,L,00:14:46,2,1,7,14.3,0,3,0.0,0,0,0.0,0,2,2,1,0,1,0,0,-18
2024-02-22,NOP vs. HOU,NOP,HOU,Home,W,00:31:18,28,11,22,50.0,4,10,40.0,2,3,66.7,1,5,6,6,0,0,2,1,25
2024-02-14,NOP vs. WAS,NOP,WAS,Home,W,00:33:16,26,9,17,52.9,3,9,33.3,5,5,100.0,0,3,3,6,1,0,0,2,-11
2024-02-12,NOP @ MEM,NOP,MEM,Away,W,00:33:05,11,4,15,26.7,3,8,37.5,0,0,0.0,0,5,5,2,1,0,2,1,9
2024-02-10,NOP @ POR,NOP,POR,Away,W,00:32:09,8,2,14,14.3,1,9,11.1,3,4,75.0,0,3,3,7,1,1,1,2,22
2024-02-09,NOP @ LAL,NOP,LAL,Away,L,00:30:16,19,8,16,50.0,3,9,33.3,0,0,0.0,1,3,4,3,0,0,0,3,-18
2024-02-07,NOP @ LAC,NOP,LAC,Away,W,00:36:29,25,10,17,58.8,5,11,45.5,0,0,0.0,0,7,7,4,1,0,3,3,4
2024-02-05,NOP vs. TOR,NOP,TOR,Home,W,00:22:38,20,7,12,58.3,6,10,60.0,0,0,0.0,1,5,6,3,2,0,0,1,15
2024-02-02,NOP @ SAS,NOP,SAS,Away,W,00:38:31,21,8,17,47.1,3,10,30.0,2,4,50.0,1,3,4,4,1,1,2,3,13
2024-01-31,NOP @ HOU,NOP,HOU,Away,W,00:35:54,19,7,15,46.7,3,7,42.9,2,2,100.0,0,5,5,3,1,2,3,1,3
2024-01-29,NOP @ BOS,NOP,BOS,Away,L,00:36:41,16,7,14,50.0,1,5,20.0,1,1,100.0,0,2,2,2,0,1,4,3,-1
2024-01-27,NOP @ MIL,NOP,MIL,Away,L,00:22:33,7,2,7,28.6,1,4,25.0,2,2,100.0,0,1,1,4,0,1,2,2,-30
2024-01-26,NOP vs. OKC,NOP,OKC,Home,L,00:34:40,12,4,15,26.7,2,7,28.6,2,2,100.0,1,5,6,3,2,0,4,4,-20
2024-01-23,NOP vs. UTA,NOP,UTA,Home,W,00:29:13,33,11,17,64.7,9,13,69.2,2,3,66.7,1,4,5,2,1,1,2,3,17
2024-01-19,NOP vs. PHX,NOP,PHX,Home,L,00:31:27,13,5,13,38.5,1,7,14.3,2,3,66.7,0,4,4,4,0,2,1,1,-8
2024-01-17,NOP vs. CHA,NOP,CHA,Home,W,00:28:53,22,8,15,53.3,4,9,44.4,2,2,100.0,2,3,5,6,0,2,1,2,4
2024-01-15,NOP @ DAL,NOP,DAL,Away,L,00:29:01,23,9,17,52.9,3,7,42.9,2,2,100.0,0,6,6,4,1,0,0,5,15
2024-01-12,NOP @ DEN,NOP,DEN,Away,L,00:30:11,12,4,10,40.0,3,8,37.5,1,2,50.0,0,5,5,7,1,0,2,2,-13
2024-01-10,NOP @ GSW,NOP,GSW,Away,W,00:26:15,14,5,13,38.5,2,7,28.6,2,2,100.0,0,3,3,8,2,1,0,0,22
2024-01-07,NOP @ SAC,NOP,SAC,Away,W,00:27:24,30,11,16,68.8,7,10,70.0,1,2,50.0,1,6,7,4,0,2,3,0,31
2024-01-05,NOP vs. LAC,NOP,LAC,Home,L,00:31:11,12,4,13,30.8,4,9,44.4,0,0,0.0,1,5,6,3,1,0,1,3,-10
2024-01-03,NOP @ MIN,NOP,MIN,Away,W,00:29:40,24,8,16,50.0,4,6,66.7,4,4,100.0,0,3,3,5,0,1,2,2,12
2024-01-02,NOP vs. BKN,NOP,BKN,Home,W,00:24:30,16,6,11,54.5,4,8,50.0,0,0,0.0,2,4,6,5,0,0,2,0,12
2023-12-31,NOP vs. LAL,NOP,LAL,Home,W,00:35:43,22,8,19,42.1,6,11,54.5,0,0,0.0,0,5,5,9,1,1,1,2,15
2023-12-28,NOP vs. UTA,NOP,UTA,Home,W,00:31:41,22,8,16,50.0,4,10,40.0,2,3,66.7,1,2,3,6,2,0,2,2,8
2023-12-26,NOP vs. MEM,NOP,MEM,Home,L,00:38:57,16,6,14,42.9,3,8,37.5,1,4,25.0,0,2,2,2,1,1,1,4,-9
2023-12-23,NOP vs. HOU,NOP,HOU,Home,L,00:33:43,13,4,10,40.0,2,7,28.6,3,4,75.0,1,4,5,2,1,1,4,4,-2
