Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,PHX @ MIN,PHX,MIN,Away,W,00:35:37,23,6,16,37.5,3,8,37.5,8,10,80.0,2,2,4,7,1,0,1,3,20
2024-04-12,PHX @ SAC,PHX,SAC,Away,W,00:41:16,21,7,12,58.3,2,4,50.0,5,5,100.0,1,3,4,6,0,0,4,5,-1
2024-04-10,PHX @ LAC,PHX,LAC,Away,W,00:39:09,37,13,24,54.2,5,12,41.7,6,6,100.0,1,0,1,4,1,1,1,1,9
2024-04-09,PHX vs. LAC,PHX,LAC,Home,L,00:39:45,12,1,11,9.1,0,4,0.0,10,11,90.9,1,2,3,5,2,0,3,2,-7
2024-04-07,PHX vs. NOP,PHX,NOP,Home,L,00:38:43,25,9,16,56.3,0,6,0.0,7,8,87.5,0,3,3,7,1,0,4,3,-6
2024-04-05,PHX vs. MIN,PHX,MIN,Home,W,00:34:07,13,3,12,25.0,1,5,20.0,6,6,100.0,1,2,3,13,3,0,7,3,19
2024-04-03,PHX vs. CLE,PHX,CLE,Home,W,00:36:53,40,13,25,52.0,5,9,55.6,9,9,100.0,0,1,1,8,1,0,4,2,18
2024-04-01,PHX @ NOP,PHX,NOP,Away,W,00:39:22,52,19,28,67.9,8,16,50.0,6,7,85.7,1,2,3,9,0,1,3,3,8
2024-03-29,PHX @ OKC,PHX,OKC,Away,L,00:27:12,14,4,9,44.4,0,2,0.0,6,7,85.7,0,3,3,5,0,0,3,5,-17
2024-03-27,PHX @ DEN,PHX,DEN,Away,W,00:37:18,17,5,17,29.4,2,6,33.3,5,5,100.0,0,5,5,9,0,0,2,2,-3
2024-03-25,PHX @ SAS,PHX,SAS,Away,L,00:39:59,36,14,28,50.0,3,10,30.0,5,7,71.4,1,5,6,4,1,3,5,4,-1
2024-03-23,PHX @ SAS,PHX,SAS,Away,W,00:30:30,32,14,24,58.3,3,7,42.9,1,1,100.0,2,5,7,9,0,0,2,3,29
2024-03-21,PHX vs. ATL,PHX,ATL,Home,W,00:31:52,30,10,15,66.7,6,8,75.0,4,4,100.0,1,3,4,2,0,0,2,5,-10
2024-03-20,PHX vs. PHI,PHX,PHI,Home,W,00:34:43,18,7,15,46.7,1,5,20.0,3,4,75.0,5,4,9,11,2,0,2,4,9
2024-03-17,PHX @ MIL,PHX,MIL,Away,L,00:40:02,23,11,22,50.0,0,5,0.0,1,2,50.0,1,8,9,6,1,1,2,3,-9
2024-03-15,PHX @ CHA,PHX,CHA,Away,W,00:36:04,21,6,18,33.3,1,8,12.5,8,8,100.0,0,6,6,11,1,1,2,2,17
2024-03-14,PHX @ BOS,PHX,BOS,Away,L,00:37:49,23,9,20,45.0,1,6,16.7,4,4,100.0,0,2,2,7,0,0,0,3,-16
2024-03-11,PHX @ CLE,PHX,CLE,Away,W,00:38:09,27,11,22,50.0,1,7,14.3,4,4,100.0,4,2,6,7,0,1,2,2,12
2024-03-02,PHX vs. HOU,PHX,HOU,Home,L,00:38:21,24,7,17,41.2,2,4,50.0,8,8,100.0,0,2,2,5,1,0,5,5,-17
2024-02-29,PHX vs. HOU,PHX,HOU,Home,W,00:39:14,35,13,27,48.1,6,11,54.5,3,3,100.0,1,6,7,3,1,1,1,4,11
2024-02-25,PHX vs. LAL,PHX,LAL,Home,W,00:38:25,21,8,18,44.4,1,4,25.0,4,4,100.0,1,2,3,9,1,0,3,2,9
2024-02-23,PHX @ HOU,PHX,HOU,Away,L,00:36:14,25,7,24,29.2,0,4,0.0,11,11,100.0,1,4,5,2,1,1,1,3,-15
2024-02-22,PHX @ DAL,PHX,DAL,Away,L,00:39:18,35,13,21,61.9,2,6,33.3,7,8,87.5,1,4,5,8,1,0,4,2,-14
2024-02-14,PHX vs. DET,PHX,DET,Home,W,00:05:24,7,2,5,40.0,1,2,50.0,2,2,100.0,1,0,1,1,1,0,1,1,1
2024-02-13,PHX vs. SAC,PHX,SAC,Home,W,00:38:27,25,7,17,41.2,0,2,0.0,11,13,84.6,1,2,3,9,3,0,3,3,5
