Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-12,LAC vs. UTA,LAC,UTA,Home,L,9.58,4,1,4,25.0,0,2,0.0,2,3,66.7,0,0,0,5,0,0,1,0,8
2024-04-07,LAC vs. CLE,LAC,CLE,Home,W,26.12,22,6,11,54.5,4,8,50.0,6,6,100.0,0,5,5,5,0,0,2,3,-20
2024-04-05,LAC vs. UTA,LAC,UTA,Home,W,32.36,13,4,10,40.0,2,7,28.6,3,3,100.0,0,10,10,15,0,0,5,1,19
2024-04-04,LAC vs. DEN,LAC,DEN,Home,W,38.16,20,6,23,26.1,2,13,15.4,6,7,85.7,1,5,6,8,1,0,1,0,4
2024-04-02,LAC @ SAC,LAC,SAC,Away,L,31.05,6,1,7,14.3,1,5,20.0,3,4,75.0,1,4,5,8,1,0,5,0,-13
2024-03-31,LAC @ CHA,LAC,CHA,Away,W,36.14,6,1,3,33.3,1,3,33.3,3,4,75.0,0,6,6,10,1,0,0,0,6
2024-03-29,LAC @ ORL,LAC,ORL,Away,W,36.34,11,3,12,25.0,1,7,14.3,4,5,80.0,2,6,8,4,4,0,4,1,-3
2024-03-27,LAC @ PHI,LAC,PHI,Away,W,38.34,16,6,15,40.0,3,9,33.3,1,2,50.0,0,5,5,14,2,1,1,1,1
2024-03-25,LAC vs. IND,LAC,IND,Home,L,33.42,11,3,7,42.9,0,1,0.0,5,5,100.0,0,3,3,7,1,0,1,3,-24
2024-03-24,LAC vs. PHI,LAC,PHI,Home,L,34.22,12,5,13,38.5,0,6,0.0,2,2,100.0,1,3,4,14,1,1,2,0,-16
2024-03-22,LAC @ POR,LAC,POR,Away,W,35.34,15,5,13,38.5,2,9,22.2,3,4,75.0,1,4,5,10,1,1,2,1,21
2024-03-20,LAC @ POR,LAC,POR,Away,W,36.02,19,6,11,54.5,5,9,55.6,2,2,100.0,0,4,4,14,0,1,3,1,22
2024-03-17,LAC vs. ATL,LAC,ATL,Home,L,36.0,9,3,10,30.0,2,5,40.0,1,1,100.0,0,6,6,9,1,1,3,2,-15
2024-03-12,LAC vs. MIN,LAC,MIN,Home,L,33.51,12,4,10,40.0,2,6,33.3,2,2,100.0,0,2,2,7,2,0,4,1,-15
2024-03-10,LAC vs. MIL,LAC,MIL,Home,L,36.26,13,5,16,31.3,1,6,16.7,2,2,100.0,3,2,5,11,0,0,5,4,-13
2024-03-09,LAC vs. CHI,LAC,CHI,Home,W,33.57,14,4,10,40.0,4,10,40.0,2,2,100.0,0,11,11,10,1,0,1,2,4
2024-03-06,LAC @ HOU,LAC,HOU,Away,W,39.12,21,6,13,46.2,1,5,20.0,8,8,100.0,0,5,5,7,1,1,2,2,8
2024-03-04,LAC @ MIL,LAC,MIL,Away,L,37.12,29,9,16,56.3,5,10,50.0,6,9,66.7,0,4,4,8,0,1,3,2,-4
2024-03-03,LAC @ MIN,LAC,MIN,Away,W,34.23,4,0,10,0.0,0,6,0.0,4,4,100.0,0,5,5,10,1,2,1,1,-10
2024-03-01,LAC vs. WAS,LAC,WAS,Home,W,25.01,28,9,13,69.2,6,9,66.7,4,4,100.0,1,3,4,8,0,3,3,1,19
2024-02-28,LAC vs. LAL,LAC,LAL,Home,L,39.4,23,8,16,50.0,2,9,22.2,5,6,83.3,1,2,3,9,1,0,4,1,-12
2024-02-25,LAC vs. SAC,LAC,SAC,Home,L,35.25,20,4,13,30.8,2,10,20.0,10,10,100.0,0,5,5,8,0,0,3,3,-25
2024-02-23,LAC @ MEM,LAC,MEM,Away,W,38.31,9,1,8,12.5,1,4,25.0,6,7,85.7,1,7,8,8,0,1,4,0,3
2024-02-22,LAC @ OKC,LAC,OKC,Away,L,29.28,17,5,9,55.6,3,6,50.0,4,4,100.0,2,4,6,2,1,0,3,2,-7
2024-02-14,LAC @ GSW,LAC,GSW,Away,W,40.23,26,7,12,58.3,4,9,44.4,8,9,88.9,2,6,8,7,0,1,1,0,13
2024-02-12,LAC vs. MIN,LAC,MIN,Home,L,32.09,17,5,13,38.5,3,8,37.5,4,5,80.0,0,2,2,6,1,1,0,0,-9
2024-02-10,LAC vs. DET,LAC,DET,Home,W,36.15,14,4,11,36.4,2,8,25.0,4,4,100.0,0,6,6,8,1,1,5,1,8
2024-02-07,LAC vs. NOP,LAC,NOP,Home,L,38.23,19,6,11,54.5,5,6,83.3,2,3,66.7,1,7,8,5,1,1,4,2,-1
2024-02-05,LAC @ ATL,LAC,ATL,Away,W,38.3,30,7,14,50.0,6,9,66.7,10,10,100.0,2,6,8,10,2,1,2,3,11
2024-02-04,LAC @ MIA,LAC,MIA,Away,W,41.38,21,7,13,53.8,5,9,55.6,2,4,50.0,0,8,8,11,1,1,4,1,10
2024-02-02,LAC @ DET,LAC,DET,Away,W,33.36,4,1,10,10.0,0,5,0.0,2,2,100.0,1,2,3,6,1,0,1,1,8
2024-01-31,LAC @ WAS,LAC,WAS,Away,W,32.33,25,7,15,46.7,5,10,50.0,6,6,100.0,1,8,9,5,2,4,2,2,20
2024-01-29,LAC @ CLE,LAC,CLE,Away,L,38.45,11,3,8,37.5,2,5,40.0,3,4,75.0,0,7,7,10,1,1,3,2,-2
2024-01-27,LAC @ BOS,LAC,BOS,Away,W,26.48,9,2,11,18.2,0,6,0.0,5,6,83.3,1,7,8,7,0,0,1,2,36
2024-01-26,LAC @ TOR,LAC,TOR,Away,W,34.58,22,8,14,57.1,2,7,28.6,4,4,100.0,0,10,10,13,1,1,1,3,27
2024-01-23,LAC vs. LAL,LAC,LAL,Home,W,39.27,23,8,17,47.1,4,8,50.0,3,5,60.0,1,1,2,10,1,1,1,3,10
2024-01-21,LAC vs. BKN,LAC,BKN,Home,W,38.25,24,6,11,54.5,3,6,50.0,9,9,100.0,0,5,5,10,2,1,4,2,9
2024-01-16,LAC vs. OKC,LAC,OKC,Home,W,40.32,16,5,14,35.7,4,10,40.0,2,2,100.0,0,5,5,8,0,1,1,2,8
2024-01-14,LAC @ MIN,LAC,MIN,Away,L,36.05,14,4,14,28.6,2,9,22.2,4,5,80.0,0,1,1,8,2,2,4,3,-3
2024-01-12,LAC @ MEM,LAC,MEM,Away,W,27.47,11,3,7,42.9,2,4,50.0,3,3,100.0,0,1,1,9,1,0,3,0,20
2024-01-10,LAC vs. TOR,LAC,TOR,Home,W,33.4,14,5,13,38.5,2,7,28.6,2,2,100.0,0,5,5,11,1,0,3,4,8
2024-01-08,LAC vs. PHX,LAC,PHX,Home,W,29.36,19,6,8,75.0,3,4,75.0,4,4,100.0,0,7,7,10,0,0,3,1,25
2024-01-07,LAC @ LAL,LAC,LAL,Away,L,38.31,15,4,13,30.8,3,7,42.9,4,5,80.0,2,2,4,9,1,0,5,3,-1
2024-01-05,LAC @ NOP,LAC,NOP,Away,W,29.0,8,2,7,28.6,1,6,16.7,3,3,100.0,0,3,3,13,0,0,1,2,18
2024-01-03,LAC @ PHX,LAC,PHX,Away,W,35.35,22,7,13,53.8,4,7,57.1,4,4,100.0,0,5,5,11,0,1,4,2,0
2024-01-01,LAC vs. MIA,LAC,MIA,Home,W,31.29,15,5,8,62.5,3,5,60.0,2,2,100.0,0,4,4,10,1,2,2,1,26
2023-12-29,LAC vs. MEM,LAC,MEM,Home,W,43.3,16,4,13,30.8,2,9,22.2,6,8,75.0,0,4,4,13,0,3,5,1,16
2023-12-26,LAC vs. CHA,LAC,CHA,Home,W,40.27,29,8,16,50.0,6,12,50.0,7,8,87.5,0,6,6,8,2,1,4,2,20
2023-12-23,LAC vs. BOS,LAC,BOS,Home,L,28.41,14,6,13,46.2,2,5,40.0,0,0,0.0,0,4,4,9,1,0,4,4,-34
2023-12-21,LAC @ OKC,LAC,OKC,Away,L,33.51,23,7,18,38.9,4,9,44.4,5,6,83.3,2,7,9,6,3,1,3,1,-17
