Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-03-31,LAC @ CHA,LAC,CHA,Away,W,37.08,23,10,19,52.6,2,5,40.0,1,2,50.0,1,4,5,2,0,0,2,2,5
2024-03-29,LAC @ ORL,LAC,ORL,Away,W,37.46,29,12,21,57.1,3,6,50.0,2,2,100.0,1,10,11,5,4,2,3,4,5
2024-03-27,LAC @ PHI,LAC,PHI,Away,W,35.34,17,7,19,36.8,0,3,0.0,3,4,75.0,4,5,9,3,2,2,1,2,5
2024-03-25,LAC vs. IND,LAC,IND,Home,L,38.04,26,11,18,61.1,1,2,50.0,3,3,100.0,2,2,4,3,0,2,3,2,-10
2024-03-24,LAC vs. PHI,LAC,PHI,Home,L,31.14,20,7,16,43.8,1,6,16.7,5,5,100.0,1,5,6,3,1,0,2,1,-1
2024-03-22,LAC @ POR,LAC,POR,Away,W,29.16,22,9,15,60.0,2,4,50.0,2,3,66.7,1,5,6,3,0,1,3,0,17
2024-03-20,LAC @ POR,LAC,POR,Away,W,28.02,24,9,16,56.3,1,3,33.3,5,6,83.3,1,3,4,2,4,0,2,0,11
2024-03-17,LAC vs. ATL,LAC,ATL,Home,L,36.47,28,8,17,47.1,3,8,37.5,9,10,90.0,0,2,2,2,1,1,3,0,-15
2024-03-15,LAC @ NOP,LAC,NOP,Away,L,38.42,23,8,15,53.3,1,3,33.3,6,6,100.0,1,6,7,2,0,2,1,1,0
2024-03-14,LAC @ CHI,LAC,CHI,Away,W,33.53,27,12,17,70.6,2,5,40.0,1,2,50.0,2,3,5,3,1,1,3,0,21
2024-03-12,LAC vs. MIN,LAC,MIN,Home,L,12.0,6,2,4,50.0,1,2,50.0,1,2,50.0,0,2,2,2,0,0,0,0,13
2024-03-09,LAC vs. CHI,LAC,CHI,Home,W,38.19,19,8,15,53.3,0,1,0.0,3,3,100.0,2,7,9,4,0,1,2,1,4
2024-03-06,LAC @ HOU,LAC,HOU,Away,W,39.01,28,11,18,61.1,1,4,25.0,5,5,100.0,1,5,6,7,2,0,0,1,9
2024-03-04,LAC @ MIL,LAC,MIL,Away,L,37.17,16,6,19,31.6,2,8,25.0,2,3,66.7,0,4,4,5,4,1,1,2,0
2024-03-03,LAC @ MIN,LAC,MIN,Away,W,38.19,32,12,26,46.2,1,4,25.0,7,8,87.5,1,4,5,1,2,1,2,1,-11
2024-03-01,LAC vs. WAS,LAC,WAS,Home,W,29.25,27,9,20,45.0,2,8,25.0,7,7,100.0,4,5,9,4,1,1,1,2,12
2024-02-28,LAC vs. LAL,LAC,LAL,Home,L,39.17,26,11,19,57.9,3,6,50.0,1,2,50.0,2,5,7,6,1,0,1,1,-2
2024-02-25,LAC vs. SAC,LAC,SAC,Home,L,35.54,20,7,18,38.9,0,3,0.0,6,7,85.7,0,8,8,3,4,1,3,0,-12
2024-02-23,LAC @ MEM,LAC,MEM,Away,W,36.19,24,10,18,55.6,2,6,33.3,2,2,100.0,2,6,8,4,3,1,6,2,8
2024-02-22,LAC @ OKC,LAC,OKC,Away,L,30.32,20,9,12,75.0,0,2,0.0,2,2,100.0,0,3,3,2,1,0,2,2,-17
2024-02-12,LAC vs. MIN,LAC,MIN,Home,L,30.06,18,8,17,47.1,1,3,33.3,1,1,100.0,4,0,4,1,1,0,3,2,-15
2024-02-10,LAC vs. DET,LAC,DET,Home,W,35.17,24,7,18,38.9,3,7,42.9,7,7,100.0,0,4,4,5,2,0,3,2,2
2024-02-07,LAC vs. NOP,LAC,NOP,Home,L,33.12,15,4,10,40.0,1,3,33.3,6,8,75.0,1,5,6,4,2,1,3,0,-11
2024-02-05,LAC @ ATL,LAC,ATL,Away,W,37.13,36,13,20,65.0,5,8,62.5,5,5,100.0,1,1,2,5,1,1,1,2,8
2024-02-04,LAC @ MIA,LAC,MIA,Away,W,34.5,25,8,16,50.0,3,6,50.0,6,6,100.0,3,8,11,4,2,2,3,2,-6
2024-02-02,LAC @ DET,LAC,DET,Away,W,31.58,33,12,17,70.6,6,8,75.0,3,3,100.0,0,4,4,3,0,1,0,2,18
2024-01-31,LAC @ WAS,LAC,WAS,Away,W,29.54,31,14,25,56.0,1,4,25.0,2,2,100.0,4,5,9,4,4,1,0,1,23
2024-01-29,LAC @ CLE,LAC,CLE,Away,L,36.52,30,13,25,52.0,2,7,28.6,2,2,100.0,3,5,8,3,2,0,1,2,-9
2024-01-27,LAC @ BOS,LAC,BOS,Away,W,29.01,26,10,15,66.7,3,5,60.0,3,3,100.0,1,6,7,2,2,2,2,1,27
