Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,CHI @ NYK,CHI,NYK,Away,L,00:42:02,29,12,19,63.2,2,4,50.0,3,3,100.0,5,6,11,3,0,0,2,2,-8
2024-04-11,CHI @ DET,CHI,DET,Away,W,00:37:19,27,12,21,57.1,2,6,33.3,1,2,50.0,2,9,11,4,2,1,0,3,26
2024-04-09,CHI vs. NYK,CHI,NYK,Home,L,00:38:44,26,12,16,75.0,2,3,66.7,0,0,0.0,2,3,5,1,0,1,0,2,-14
2024-04-07,CHI @ ORL,CHI,ORL,Away,L,00:31:11,8,1,9,11.1,0,4,0.0,6,7,85.7,1,4,5,2,0,0,2,2,-14
2024-04-05,CHI vs. NYK,CHI,NYK,Home,W,00:32:04,16,7,18,38.9,2,2,100.0,0,0,0.0,6,7,13,6,0,1,2,1,1
2024-04-01,CHI vs. ATL,CHI,ATL,Home,L,00:31:09,5,2,7,28.6,1,2,50.0,0,0,0.0,1,13,14,3,1,0,1,4,-12
2024-03-31,CHI @ MIN,CHI,MIN,Away,W,00:33:05,19,8,16,50.0,2,6,33.3,1,2,50.0,1,7,8,6,2,0,2,1,6
2024-03-29,CHI @ BKN,CHI,BKN,Away,L,00:29:34,13,5,10,50.0,2,5,40.0,1,2,50.0,2,8,10,4,0,1,1,2,-21
2024-03-27,CHI vs. IND,CHI,IND,Home,W,00:28:33,22,9,20,45.0,1,4,25.0,3,3,100.0,3,9,12,2,0,1,0,1,2
2024-03-25,CHI vs. WAS,CHI,WAS,Home,L,00:29:39,9,3,5,60.0,0,1,0.0,3,4,75.0,3,13,16,3,0,3,3,2,-8
2024-03-23,CHI vs. BOS,CHI,BOS,Home,L,00:31:36,14,7,10,70.0,0,3,0.0,0,0,0.0,0,2,2,5,1,2,1,3,-6
