Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,MIN vs. PHX,MIN,PHX,Home,L,00:32:12,21,7,9,77.8,0,0,0.0,7,9,77.8,3,4,7,1,2,1,1,3,-17
2024-04-12,MIN vs. ATL,MIN,ATL,Home,W,00:36:43,25,10,10,100.0,0,0,0.0,5,8,62.5,4,15,19,0,1,5,1,2,13
2024-04-10,MIN @ DEN,MIN,DEN,Away,L,00:38:46,13,6,7,85.7,0,0,0.0,1,3,33.3,5,10,15,3,2,1,2,5,-17
2024-04-09,MIN vs. WAS,MIN,WAS,Home,W,00:38:21,19,5,9,55.6,0,0,0.0,9,13,69.2,5,11,16,3,2,4,1,3,12
2024-04-07,MIN @ LAL,MIN,LAL,Away,W,00:36:51,18,9,13,69.2,0,0,0.0,0,0,0.0,8,8,16,3,2,1,3,2,8
2024-04-05,MIN @ PHX,MIN,PHX,Away,L,00:29:03,4,2,5,40.0,0,0,0.0,0,0,0.0,2,4,6,1,0,2,1,4,-26
2024-04-03,MIN vs. TOR,MIN,TOR,Home,W,00:27:28,11,3,6,50.0,0,0,0.0,5,8,62.5,5,10,15,3,1,2,4,3,33
2024-04-02,MIN vs. HOU,MIN,HOU,Home,W,00:35:13,12,4,7,57.1,0,0,0.0,4,6,66.7,1,13,14,0,0,2,1,3,-8
2024-03-31,MIN vs. CHI,MIN,CHI,Home,L,00:37:40,19,8,9,88.9,0,0,0.0,3,7,42.9,3,7,10,1,2,1,0,2,-4
2024-03-29,MIN @ DEN,MIN,DEN,Away,W,00:34:48,21,7,8,87.5,0,0,0.0,7,15,46.7,3,9,12,2,0,3,0,5,1
2024-03-27,MIN vs. DET,MIN,DET,Home,W,00:34:19,11,5,5,100.0,0,0,0.0,1,1,100.0,5,9,14,4,0,2,3,4,20
2024-03-24,MIN vs. GSW,MIN,GSW,Home,W,00:37:10,17,7,10,70.0,0,0,0.0,3,3,100.0,1,11,12,2,0,1,4,5,8
2024-03-22,MIN vs. CLE,MIN,CLE,Home,W,00:37:11,9,4,8,50.0,0,0,0.0,1,4,25.0,6,9,15,1,0,2,1,2,10
2024-03-12,MIN @ LAC,MIN,LAC,Away,W,00:33:26,8,4,7,57.1,0,0,0.0,0,0,0.0,7,4,11,3,2,2,0,2,11
2024-03-08,MIN @ CLE,MIN,CLE,Away,L,00:36:42,7,3,7,42.9,0,0,0.0,1,2,50.0,4,13,17,2,1,2,2,6,7
2024-03-07,MIN @ IND,MIN,IND,Away,W,00:39:41,18,7,11,63.6,0,0,0.0,4,5,80.0,6,8,14,0,2,3,2,2,6
2024-03-04,MIN vs. POR,MIN,POR,Home,W,00:39:01,25,9,10,90.0,0,0,0.0,7,7,100.0,5,11,16,0,1,3,3,6,-4
2024-03-03,MIN vs. LAC,MIN,LAC,Home,L,00:40:27,12,5,7,71.4,0,0,0.0,2,2,100.0,3,13,16,2,0,3,1,3,4
2024-03-01,MIN vs. SAC,MIN,SAC,Home,L,00:42:04,16,6,9,66.7,0,0,0.0,4,8,50.0,2,14,16,1,0,3,1,5,-6
2024-02-28,MIN vs. MEM,MIN,MEM,Home,W,00:27:12,8,3,4,75.0,0,0,0.0,2,4,50.0,2,6,8,0,1,2,3,2,-16
2024-02-27,MIN vs. SAS,MIN,SAS,Home,W,00:39:08,13,6,12,50.0,0,1,0.0,1,2,50.0,6,11,17,3,0,4,1,2,4
2024-02-23,MIN vs. MIL,MIN,MIL,Home,L,00:38:03,12,6,8,75.0,0,0,0.0,0,1,0.0,7,12,19,1,0,2,0,5,5
2024-02-15,MIN @ POR,MIN,POR,Away,W,00:26:19,11,4,7,57.1,0,0,0.0,3,4,75.0,2,10,12,2,0,2,3,4,19
2024-02-13,MIN @ POR,MIN,POR,Away,W,00:37:27,16,7,10,70.0,0,0,0.0,2,4,50.0,6,9,15,1,0,1,1,3,12
2024-02-12,MIN @ LAC,MIN,LAC,Away,W,00:33:21,17,6,11,54.5,0,0,0.0,5,5,100.0,6,5,11,0,0,4,2,4,9
2024-02-08,MIN @ MIL,MIN,MIL,Away,W,00:35:13,16,8,9,88.9,0,0,0.0,0,1,0.0,3,8,11,4,1,0,0,3,13
2024-02-06,MIN @ CHI,MIN,CHI,Away,L,00:44:24,12,3,6,50.0,0,0,0.0,6,10,60.0,7,9,16,1,1,1,1,5,-8
2024-02-04,MIN vs. HOU,MIN,HOU,Home,W,00:31:24,17,7,9,77.8,0,0,0.0,3,5,60.0,3,10,13,1,1,4,0,1,32
2024-02-02,MIN vs. ORL,MIN,ORL,Home,L,00:39:05,22,6,7,85.7,0,0,0.0,10,11,90.9,3,13,16,2,0,2,1,5,0
2024-01-31,MIN vs. DAL,MIN,DAL,Home,W,00:28:06,17,5,9,55.6,0,0,0.0,7,12,58.3,2,4,6,0,0,2,2,4,18
2024-01-29,MIN @ OKC,MIN,OKC,Away,W,00:36:25,12,6,6,100.0,0,0,0.0,0,1,0.0,4,14,18,1,1,1,3,0,11
2024-01-27,MIN @ SAS,MIN,SAS,Away,L,00:36:50,19,8,9,88.9,0,0,0.0,3,4,75.0,2,5,7,1,1,1,1,4,-4
2024-01-25,MIN @ BKN,MIN,BKN,Away,W,00:32:44,10,4,9,44.4,0,0,0.0,2,2,100.0,1,12,13,1,1,2,1,3,3
2024-01-24,MIN @ WAS,MIN,WAS,Away,W,00:34:45,19,7,11,63.6,0,0,0.0,5,6,83.3,7,9,16,1,0,4,0,4,9
2024-01-22,MIN vs. CHA,MIN,CHA,Home,L,00:39:03,13,6,6,100.0,0,0,0.0,1,2,50.0,2,9,11,1,0,0,0,3,-10
2024-01-20,MIN vs. OKC,MIN,OKC,Home,L,00:33:22,7,1,6,16.7,0,0,0.0,5,8,62.5,4,14,18,2,0,0,2,4,-4
2024-01-18,MIN vs. MEM,MIN,MEM,Home,W,00:38:53,17,5,10,50.0,0,1,0.0,7,10,70.0,3,7,10,4,0,6,3,3,20
2024-01-17,MIN @ DET,MIN,DET,Away,W,00:37:39,19,8,11,72.7,0,0,0.0,3,4,75.0,5,11,16,2,0,1,1,4,12
2024-01-14,MIN vs. LAC,MIN,LAC,Home,W,00:36:55,15,4,5,80.0,0,0,0.0,7,14,50.0,3,15,18,0,0,4,1,4,-1
2024-01-12,MIN vs. POR,MIN,POR,Home,W,00:28:26,24,9,11,81.8,0,0,0.0,6,8,75.0,5,12,17,0,0,2,1,2,33
2024-01-09,MIN @ ORL,MIN,ORL,Away,W,00:33:34,21,8,10,80.0,0,0,0.0,5,6,83.3,1,11,12,1,1,3,2,3,13
2024-01-07,MIN @ DAL,MIN,DAL,Away,L,00:34:13,9,4,9,44.4,0,0,0.0,1,4,25.0,6,11,17,1,1,0,5,4,1
2024-01-05,MIN @ HOU,MIN,HOU,Away,W,00:32:58,13,6,7,85.7,0,0,0.0,1,3,33.3,3,9,12,1,2,2,1,2,22
2024-01-03,MIN vs. NOP,MIN,NOP,Home,L,00:23:54,5,2,3,66.7,0,0,0.0,1,2,50.0,1,4,5,0,0,1,1,4,-16
2024-01-01,MIN @ NYK,MIN,NYK,Away,L,00:37:48,10,3,8,37.5,0,0,0.0,4,6,66.7,2,13,15,1,0,0,1,2,-11
