Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-12,POR vs. HOU,POR,HOU,Home,L,00:09:05,4,2,4,50.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,0,1
2024-04-11,POR vs. GSW,POR,GSW,Home,L,00:09:24,4,2,8,25.0,0,0,0.0,0,0,0.0,1,2,3,1,1,1,0,0,1
2024-04-09,POR vs. NOP,POR,NOP,Home,L,00:08:15,10,5,7,71.4,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,2,-1
2024-04-07,POR @ BOS,POR,BOS,Away,L,00:09:20,4,2,6,33.3,0,0,0.0,0,0,0.0,2,1,3,0,1,0,0,0,-5
2024-04-05,POR @ WAS,POR,WAS,Away,W,00:10:18,10,4,8,50.0,0,0,0.0,2,2,100.0,2,2,4,2,0,0,0,0,2
2024-04-03,POR @ CHA,POR,CHA,Away,W,00:09:26,8,4,10,40.0,0,1,0.0,0,0,0.0,2,3,5,2,0,0,0,0,2
2024-04-01,POR @ ORL,POR,ORL,Away,L,00:09:39,8,4,7,57.1,0,0,0.0,0,0,0.0,2,3,5,2,0,0,0,1,1
2024-03-29,POR @ MIA,POR,MIA,Away,L,00:10:13,8,4,6,66.7,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,0,-8
2024-03-20,POR vs. LAC,POR,LAC,Home,L,00:11:01,4,2,4,50.0,0,0,0.0,0,1,0.0,0,2,2,1,0,1,1,0,3
2024-03-18,POR @ CHI,POR,CHI,Away,L,00:09:07,8,4,5,80.0,0,0,0.0,0,0,0.0,1,4,5,1,0,0,0,2,0
2024-03-16,POR @ NOP,POR,NOP,Away,L,00:08:50,10,5,5,100.0,0,0,0.0,0,1,0.0,0,1,1,2,0,0,0,0,2
2024-03-14,POR vs. NYK,POR,NYK,Home,L,00:09:40,4,2,6,33.3,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,5
2024-03-13,POR vs. ATL,POR,ATL,Home,W,00:09:05,8,4,6,66.7,0,0,0.0,0,0,0.0,0,3,3,0,0,1,1,1,-3
2024-03-11,POR vs. BOS,POR,BOS,Home,L,00:09:08,6,3,6,50.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,0,-5
2024-03-09,POR vs. TOR,POR,TOR,Home,W,00:07:47,8,4,5,80.0,0,0,0.0,0,0,0.0,1,5,6,0,0,0,1,0,14
2024-02-27,POR vs. MIA,POR,MIA,Home,L,00:09:02,6,3,5,60.0,0,0,0.0,0,0,0.0,1,4,5,1,1,1,1,1,12
2024-02-25,POR vs. CHA,POR,CHA,Home,L,00:10:06,8,3,5,60.0,0,0,0.0,2,2,100.0,0,3,3,1,0,0,0,0,-6
2024-02-23,POR vs. DEN,POR,DEN,Home,L,00:09:35,6,3,3,100.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,0,-5
2024-02-15,POR vs. MIN,POR,MIN,Home,L,00:07:39,0,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,1,-22
2024-02-13,POR vs. MIN,POR,MIN,Home,L,00:07:28,6,3,3,100.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,-1
2024-02-10,POR vs. NOP,POR,NOP,Home,L,00:08:15,6,3,5,60.0,0,0,0.0,0,0,0.0,2,3,5,0,0,1,0,0,-3
2024-02-04,POR @ DEN,POR,DEN,Away,L,00:11:01,10,5,9,55.6,0,0,0.0,0,0,0.0,2,2,4,2,0,1,0,1,9
2024-02-02,POR @ DEN,POR,DEN,Away,L,00:07:09,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-8
2024-01-31,POR vs. MIL,POR,MIL,Home,W,00:08:31,6,3,5,60.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-6
2024-01-29,POR vs. PHI,POR,PHI,Home,W,00:08:29,6,3,4,75.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2
2024-01-28,POR vs. CHI,POR,CHI,Home,L,00:09:19,2,1,1,100.0,0,0,0.0,0,0,0.0,0,4,4,1,0,1,0,0,-2
