Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-10,DAL @ MIA,DAL,MIA,Away,W,00:08:14,13,5,7,71.4,3,5,60.0,0,0,0.0,1,3,4,1,0,0,1,3,2
2024-04-09,DAL @ CHA,DAL,CHA,Away,W,00:12:00,21,7,12,58.3,5,9,55.6,2,4,50.0,1,6,7,2,0,1,0,1,18
2024-04-07,DAL vs. HOU,DAL,HOU,Home,W,00:12:00,9,3,6,50.0,1,3,33.3,2,2,100.0,0,3,3,1,0,0,4,1,-15
2024-04-04,DAL vs. ATL,DAL,ATL,Home,W,00:05:40,0,0,5,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,3,2,-2
2024-04-02,DAL @ GSW,DAL,GSW,Away,L,00:11:49,12,4,9,44.4,1,3,33.3,3,4,75.0,1,1,2,1,0,0,1,0,1
2024-03-31,DAL @ HOU,DAL,HOU,Away,W,00:12:00,22,8,11,72.7,5,7,71.4,1,4,25.0,0,8,8,4,0,0,1,0,12
2024-03-29,DAL @ SAC,DAL,SAC,Away,W,00:10:27,5,1,3,33.3,0,1,0.0,3,4,75.0,0,2,2,4,0,0,1,0,-11
2024-03-26,DAL @ SAC,DAL,SAC,Away,W,00:08:37,7,3,5,60.0,1,1,100.0,0,0,0.0,0,3,3,4,1,0,0,1,0
2024-03-25,DAL @ UTA,DAL,UTA,Away,W,00:08:48,6,2,7,28.6,0,4,0.0,2,2,100.0,0,3,3,3,0,0,2,1,-5
2024-03-21,DAL vs. UTA,DAL,UTA,Home,W,00:09:03,12,5,7,71.4,1,1,100.0,1,1,100.0,1,1,2,2,1,0,1,0,-1
2024-03-19,DAL @ SAS,DAL,SAS,Away,W,00:08:55,6,2,8,25.0,1,4,25.0,1,1,100.0,0,2,2,5,0,0,0,0,3
2024-03-17,DAL vs. DEN,DAL,DEN,Home,W,00:08:36,11,4,7,57.1,1,3,33.3,2,2,100.0,0,0,0,1,1,0,1,1,-4
2024-03-13,DAL vs. GSW,DAL,GSW,Home,W,00:09:15,8,3,6,50.0,0,2,0.0,2,3,66.7,1,0,1,3,0,0,1,0,3
2024-03-11,DAL @ CHI,DAL,CHI,Away,W,00:12:00,15,5,10,50.0,3,6,50.0,2,2,100.0,2,4,6,7,0,0,0,1,28
2024-03-09,DAL @ DET,DAL,DET,Away,W,00:07:44,5,2,5,40.0,1,3,33.3,0,0,0.0,0,3,3,4,1,0,4,1,2
2024-03-07,DAL vs. MIA,DAL,MIA,Home,W,00:08:38,10,4,7,57.1,2,4,50.0,0,0,0.0,0,2,2,2,0,0,1,0,-9
2024-03-05,DAL vs. IND,DAL,IND,Home,L,00:08:49,9,4,7,57.1,1,3,33.3,0,0,0.0,0,2,2,4,0,0,2,0,-3
2024-03-03,DAL vs. PHI,DAL,PHI,Home,L,00:08:16,3,1,6,16.7,1,1,100.0,0,0,0.0,1,3,4,5,0,0,2,1,1
2024-03-01,DAL @ BOS,DAL,BOS,Away,L,00:08:19,16,6,10,60.0,2,4,50.0,2,2,100.0,0,2,2,0,0,0,1,2,-6
2024-02-28,DAL @ TOR,DAL,TOR,Away,W,00:10:15,6,2,7,28.6,0,3,0.0,2,3,66.7,0,2,2,6,0,0,3,0,3
2024-02-27,DAL @ CLE,DAL,CLE,Away,L,00:12:00,11,4,7,57.1,0,1,0.0,3,3,100.0,0,2,2,5,1,0,1,0,1
2024-02-25,DAL @ IND,DAL,IND,Away,L,00:07:41,10,4,6,66.7,1,2,50.0,1,2,50.0,0,1,1,2,0,0,1,0,5
2024-02-22,DAL vs. PHX,DAL,PHX,Home,W,00:10:37,9,3,6,50.0,2,3,66.7,1,1,100.0,0,1,1,3,0,0,2,2,-7
2024-02-14,DAL vs. SAS,DAL,SAS,Home,W,00:12:00,13,4,8,50.0,1,5,20.0,4,4,100.0,0,3,3,3,2,0,2,1,-7
2024-02-12,DAL vs. WAS,DAL,WAS,Home,W,00:10:29,5,2,6,33.3,1,3,33.3,0,0,0.0,1,2,3,5,0,1,3,1,4
2024-02-10,DAL vs. OKC,DAL,OKC,Home,W,00:12:00,18,6,7,85.7,3,4,75.0,3,3,100.0,0,5,5,5,0,0,0,1,17
2024-02-08,DAL @ NYK,DAL,NYK,Away,W,00:08:52,5,2,5,40.0,1,3,33.3,0,0,0.0,0,2,2,3,0,0,1,0,8
2024-02-06,DAL @ BKN,DAL,BKN,Away,W,00:12:00,9,4,9,44.4,1,4,25.0,0,0,0.0,1,6,7,4,1,1,1,0,7
2024-02-05,DAL @ PHI,DAL,PHI,Away,W,00:07:39,5,2,2,100.0,0,0,0.0,1,1,100.0,0,2,2,1,1,0,2,2,0
2024-02-03,DAL vs. MIL,DAL,MIL,Home,L,00:09:08,14,4,7,57.1,3,6,50.0,3,3,100.0,0,4,4,4,0,0,2,0,20
2024-01-29,DAL vs. ORL,DAL,ORL,Home,W,00:10:08,7,2,9,22.2,1,4,25.0,2,3,66.7,0,1,1,3,0,0,3,0,-6
2024-01-27,DAL vs. SAC,DAL,SAC,Home,L,00:10:21,10,4,9,44.4,0,3,0.0,2,3,66.7,1,2,3,3,0,1,0,1,3
2024-01-26,DAL @ ATL,DAL,ATL,Away,W,00:10:03,18,8,11,72.7,2,3,66.7,0,0,0.0,0,2,2,1,0,0,1,0,3
2024-01-24,DAL vs. PHX,DAL,PHX,Home,L,00:10:00,8,3,6,50.0,1,2,50.0,1,1,100.0,0,3,3,4,0,0,0,1,4
2024-01-22,DAL vs. BOS,DAL,BOS,Home,L,00:08:10,9,4,9,44.4,0,2,0.0,1,1,100.0,0,7,7,1,0,0,1,1,7
2024-01-17,DAL @ LAL,DAL,LAL,Away,L,00:08:52,6,2,7,28.6,0,2,0.0,2,2,100.0,0,3,3,5,0,1,1,0,-4
2024-01-09,DAL vs. MEM,DAL,MEM,Home,L,00:10:08,8,2,7,28.6,1,2,50.0,3,4,75.0,0,3,3,1,0,0,1,0,-7
2024-01-07,DAL vs. MIN,DAL,MIN,Home,W,00:09:43,11,4,9,44.4,1,5,20.0,2,2,100.0,0,1,1,0,0,0,0,1,2
