Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,IND vs. ATL,IND,ATL,Home,W,00:08:21,10,5,5,100.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,11
2024-04-12,IND @ CLE,IND,CLE,Away,L,00:08:39,5,2,4,50.0,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,0,-10
2024-04-09,IND @ TOR,IND,TOR,Away,W,00:10:23,6,2,3,66.7,0,0,0.0,2,2,100.0,2,1,3,1,0,0,1,2,-9
2024-04-07,IND vs. MIA,IND,MIA,Home,W,00:06:18,2,1,4,25.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,2,6
2024-04-05,IND vs. OKC,IND,OKC,Home,W,00:07:37,6,3,4,75.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,0,-7
2024-04-03,IND @ BKN,IND,BKN,Away,L,00:07:46,3,1,5,20.0,0,2,0.0,1,2,50.0,0,2,2,0,0,0,0,0,4
2024-04-01,IND vs. BKN,IND,BKN,Home,W,00:07:42,6,3,4,75.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,0,15
2024-03-29,IND vs. LAL,IND,LAL,Home,W,00:08:46,2,1,4,25.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-1
2024-03-27,IND @ CHI,IND,CHI,Away,L,00:07:59,4,0,3,0.0,0,0,0.0,4,4,100.0,2,2,4,2,0,0,0,0,2
2024-03-25,IND @ LAC,IND,LAC,Away,W,00:07:24,6,3,4,75.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2
2024-03-24,IND @ LAL,IND,LAL,Away,L,00:09:28,5,2,7,28.6,0,1,0.0,1,5,20.0,0,3,3,2,0,0,0,1,5
2024-03-22,IND @ GSW,IND,GSW,Away,W,00:08:06,8,4,5,80.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,-3
2024-03-20,IND @ DET,IND,DET,Away,W,00:07:34,12,5,6,83.3,1,2,50.0,1,1,100.0,0,1,1,0,1,0,0,0,-3
2024-03-18,IND vs. CLE,IND,CLE,Home,L,00:08:22,7,3,6,50.0,0,0,0.0,1,2,50.0,1,4,5,0,0,0,1,0,5
2024-03-16,IND vs. BKN,IND,BKN,Home,W,00:06:06,4,2,4,50.0,0,0,0.0,0,0,0.0,0,2,2,0,2,0,1,2,-4
2024-03-13,IND vs. CHI,IND,CHI,Home,L,00:07:50,3,1,1,100.0,0,0,0.0,1,2,50.0,2,3,5,0,0,0,0,1,-4
2024-03-12,IND @ OKC,IND,OKC,Away,W,00:08:03,4,2,4,50.0,0,0,0.0,0,0,0.0,0,5,5,1,0,0,0,0,2
2024-03-10,IND @ ORL,IND,ORL,Away,W,00:07:45,4,1,4,25.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,1,-5
2024-03-07,IND vs. MIN,IND,MIN,Home,L,00:07:51,5,1,4,25.0,1,2,50.0,2,2,100.0,0,0,0,0,0,0,0,0,-4
2024-03-05,IND @ DAL,IND,DAL,Away,W,00:07:34,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-3
2024-03-03,IND @ SAS,IND,SAS,Away,L,00:07:22,2,1,4,25.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,1,-12
2024-03-01,IND @ NOP,IND,NOP,Away,L,00:08:07,9,4,6,66.7,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,0,-18
2024-02-28,IND vs. NOP,IND,NOP,Home,W,00:07:03,6,3,3,100.0,0,0,0.0,0,0,0.0,0,3,3,2,0,1,0,1,5
2024-02-26,IND vs. TOR,IND,TOR,Home,L,00:07:51,3,1,5,20.0,1,2,50.0,0,0,0.0,0,2,2,1,0,0,0,0,-1
2024-02-25,IND vs. DAL,IND,DAL,Home,W,00:10:11,6,3,6,50.0,0,2,0.0,0,0,0.0,0,2,2,2,1,0,0,1,-5
2024-02-22,IND vs. DET,IND,DET,Home,W,00:06:18,5,2,3,66.7,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,0,3
2024-02-14,IND @ TOR,IND,TOR,Away,W,00:09:55,2,1,5,20.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,1,-7
2024-02-12,IND @ CHA,IND,CHA,Away,L,00:10:13,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,-2
2024-02-10,IND @ NYK,IND,NYK,Away,W,00:09:40,8,4,5,80.0,0,1,0.0,0,2,0.0,0,1,1,1,0,0,1,0,1
2024-02-08,IND vs. GSW,IND,GSW,Home,L,00:10:13,10,3,5,60.0,2,4,50.0,2,3,66.7,0,0,0,1,1,0,0,1,-10
2024-02-06,IND vs. HOU,IND,HOU,Home,W,00:10:21,9,4,4,100.0,1,1,100.0,0,0,0.0,0,1,1,0,1,0,0,0,-1
2024-02-04,IND @ CHA,IND,CHA,Away,W,00:08:57,9,4,8,50.0,0,1,0.0,1,1,100.0,0,1,1,2,0,1,0,1,10
2024-02-02,IND vs. SAC,IND,SAC,Home,L,00:12:00,4,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,1,1
2024-02-01,IND @ NYK,IND,NYK,Away,L,00:08:47,10,4,7,57.1,1,2,50.0,1,2,50.0,3,1,4,1,0,1,2,0,4
2024-01-30,IND @ BOS,IND,BOS,Away,L,00:08:36,4,2,5,40.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,1,-5
2024-01-28,IND vs. MEM,IND,MEM,Home,W,00:08:21,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-5
2024-01-26,IND vs. PHX,IND,PHX,Home,W,00:10:10,9,4,5,80.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,1,0,-5
2024-01-25,IND vs. PHI,IND,PHI,Home,W,00:09:05,8,3,5,60.0,0,1,0.0,2,2,100.0,1,5,6,5,0,0,0,1,13
2024-01-23,IND vs. DEN,IND,DEN,Home,L,00:08:57,10,4,5,80.0,0,0,0.0,2,2,100.0,0,2,2,1,0,0,1,0,3
2024-01-21,IND @ PHX,IND,PHX,Away,L,00:09:13,4,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,3,0,0,0,1,-7
2024-01-19,IND @ POR,IND,POR,Away,L,00:07:07,7,3,3,100.0,1,1,100.0,0,0,0.0,0,1,1,1,1,0,1,2,3
2024-01-15,TOR vs. BOS,TOR,BOS,Home,L,00:10:00,3,1,6,16.7,0,2,0.0,1,1,100.0,0,0,0,2,0,0,0,0,-5
2024-01-12,TOR @ UTA,TOR,UTA,Away,L,00:09:54,4,1,2,50.0,1,1,100.0,1,2,50.0,0,1,1,0,0,0,1,0,-4
2024-01-09,TOR @ LAL,TOR,LAL,Away,L,00:10:46,8,4,8,50.0,0,1,0.0,0,1,0.0,0,2,2,2,0,1,0,0,-5
2024-01-07,TOR @ GSW,TOR,GSW,Away,W,00:12:00,9,4,6,66.7,1,2,50.0,0,0,0.0,1,1,2,1,0,0,1,0,8
2024-01-05,TOR @ SAC,TOR,SAC,Away,L,00:09:27,6,2,5,40.0,0,0,0.0,2,2,100.0,1,0,1,1,1,0,0,0,-3
2024-01-03,TOR @ MEM,TOR,MEM,Away,W,00:06:44,7,2,3,66.7,0,0,0.0,3,4,75.0,0,1,1,0,1,0,1,2,-4
2024-01-01,TOR vs. CLE,TOR,CLE,Home,W,00:12:00,13,5,6,83.3,3,3,100.0,0,0,0.0,0,2,2,1,0,0,1,0,9
2023-12-30,TOR @ DET,TOR,DET,Away,L,00:10:13,7,3,7,42.9,1,1,100.0,0,0,0.0,0,2,2,1,0,0,0,0,-3
2023-12-29,TOR @ BOS,TOR,BOS,Away,L,00:11:23,4,2,5,40.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-12
