Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-09,MIL vs. BOS,MIL,BOS,Home,W,00:10:25,6,3,5,60.0,0,0,0.0,0,0,0.0,2,3,5,4,1,1,1,1,2
2024-04-07,MIL vs. NYK,MIL,NYK,Home,L,00:10:04,11,4,6,66.7,0,0,0.0,3,6,50.0,0,4,4,2,1,0,2,1,5
2024-04-03,MIL vs. MEM,MIL,MEM,Home,L,00:07:59,6,3,10,30.0,0,0,0.0,0,0,0.0,0,1,1,1,0,2,1,1,3
2024-04-02,MIL @ WAS,MIL,WAS,Away,L,00:07:59,6,3,4,75.0,0,0,0.0,0,2,0.0,0,2,2,2,0,0,0,0,-1
2024-03-30,MIL @ ATL,MIL,ATL,Away,W,00:12:00,9,2,7,28.6,0,0,0.0,5,7,71.4,1,5,6,1,2,0,1,2,9
2024-03-28,MIL @ NOP,MIL,NOP,Away,L,00:10:28,2,1,5,20.0,0,1,0.0,0,0,0.0,1,3,4,0,0,0,1,2,-10
2024-03-26,MIL vs. LAL,MIL,LAL,Home,L,00:09:42,10,5,7,71.4,0,0,0.0,0,1,0.0,0,4,4,2,0,0,1,1,-2
2024-03-24,MIL vs. OKC,MIL,OKC,Home,W,00:10:18,8,4,6,66.7,0,0,0.0,0,1,0.0,1,3,4,0,0,0,1,1,-4
2024-03-21,MIL vs. BKN,MIL,BKN,Home,W,00:09:09,2,1,2,50.0,0,1,0.0,0,0,0.0,1,1,2,2,0,0,1,1,1
2024-03-14,MIL vs. PHI,MIL,PHI,Home,W,00:11:19,12,4,6,66.7,0,0,0.0,4,6,66.7,2,3,5,1,0,0,3,1,-3
2024-03-12,MIL @ SAC,MIL,SAC,Away,L,00:09:15,14,5,5,100.0,0,0,0.0,4,5,80.0,0,4,4,1,0,0,2,0,-8
2024-03-10,MIL @ LAC,MIL,LAC,Away,W,00:10:22,10,3,6,50.0,0,0,0.0,4,6,66.7,0,2,2,2,0,1,1,0,3
2024-03-08,MIL @ LAL,MIL,LAL,Away,L,00:11:12,10,4,8,50.0,0,0,0.0,2,2,100.0,1,2,3,4,0,0,0,1,-9
2024-03-06,MIL @ GSW,MIL,GSW,Away,L,00:08:34,3,1,1,100.0,0,0,0.0,1,2,50.0,0,0,0,2,0,0,0,0,-3
2024-03-01,MIL @ CHI,MIL,CHI,Away,W,00:09:26,12,5,8,62.5,0,0,0.0,2,2,100.0,0,5,5,0,0,0,1,2,1
2024-02-29,MIL @ CHA,MIL,CHA,Away,W,00:08:42,11,4,5,80.0,1,1,100.0,2,3,66.7,0,2,2,1,0,0,0,1,9
