Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,MIL @ ORL,MIL,ORL,Away,L,00:10:19,3,0,3,0.0,0,0,0.0,3,3,100.0,0,1,1,2,1,0,2,1,-13
2024-04-12,MIL @ OKC,MIL,OKC,Away,L,00:08:38,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,2,1,0,1,1,-10
2024-04-09,MIL vs. BOS,MIL,BOS,Home,W,00:06:34,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,3
2024-04-07,MIL vs. NYK,MIL,NYK,Home,L,00:02:08,0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2
2024-04-05,MIL vs. TOR,MIL,TOR,Home,L,00:10:40,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,2,2,0,0,1,-8
2024-04-02,MIL @ WAS,MIL,WAS,Away,L,00:10:45,10,4,8,50.0,1,4,25.0,1,1,100.0,0,2,2,4,1,0,2,0,-1
2024-03-30,MIL @ ATL,MIL,ATL,Away,W,00:05:21,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,1,3
2024-03-28,MIL @ NOP,MIL,NOP,Away,L,00:07:19,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,1,0,0,1,0,-7
2024-03-26,MIL vs. LAL,MIL,LAL,Home,L,00:04:35,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,6
2024-03-24,MIL vs. OKC,MIL,OKC,Home,W,00:09:00,2,1,3,33.3,0,2,0.0,0,0,0.0,1,1,2,2,0,0,1,1,-3
2024-03-20,MIL @ BOS,MIL,BOS,Away,L,00:08:32,5,2,4,50.0,0,0,0.0,1,2,50.0,2,0,2,1,0,0,2,1,-9
2024-03-17,MIL vs. PHX,MIL,PHX,Home,W,00:05:14,3,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,2,0,0,0,2,3
2024-02-03,MIL @ DAL,MIL,DAL,Away,W,00:09:10,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,2,0,0,1,0,16
2024-01-31,MIL @ POR,MIL,POR,Away,L,00:09:15,5,2,3,66.7,1,1,100.0,0,0,0.0,0,1,1,0,0,1,1,0,-1
2024-01-29,MIL @ DEN,MIL,DEN,Away,L,00:05:35,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-2
2024-01-26,MIL vs. CLE,MIL,CLE,Home,L,00:08:58,2,1,4,25.0,0,2,0.0,0,0,0.0,1,1,2,5,0,0,2,0,2
2024-01-24,MIL vs. CLE,MIL,CLE,Home,W,00:08:56,2,1,3,33.3,0,1,0.0,0,1,0.0,0,0,0,2,1,0,0,1,12
2024-01-22,MIL @ DET,MIL,DET,Away,W,00:06:58,8,3,5,60.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,0,0,-4
2024-01-20,MIL @ DET,MIL,DET,Away,W,00:08:19,3,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,2,1,0,0,1,0
2024-01-17,MIL @ CLE,MIL,CLE,Away,L,00:08:02,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,1,1,2,-16
2024-01-13,MIL vs. GSW,MIL,GSW,Home,W,00:08:40,6,3,4,75.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,2,1,-9
2024-01-11,MIL vs. BOS,MIL,BOS,Home,W,00:06:40,3,1,4,25.0,1,2,50.0,0,0,0.0,0,0,0,4,0,0,0,1,14
2024-01-08,MIL vs. UTA,MIL,UTA,Home,L,00:08:46,3,1,6,16.7,1,2,50.0,0,0,0.0,0,0,0,1,1,1,1,1,-7
2024-01-06,MIL @ HOU,MIL,HOU,Away,L,00:08:27,4,1,2,50.0,0,1,0.0,2,2,100.0,0,0,0,3,0,0,1,1,-9
2024-01-04,MIL @ SAS,MIL,SAS,Away,W,00:07:12,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,2,0,0,1,0,0
