Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,NOP vs. LAL,NOP,LAL,Home,L,12.0,7,3,5,60.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,0,0,-5
2024-04-12,NOP @ GSW,NOP,GSW,Away,W,8.3,8,3,5,60.0,2,3,66.7,0,0,0.0,0,1,1,0,0,0,0,0,-10
2024-04-11,NOP @ SAC,NOP,SAC,Away,W,7.15,5,2,3,66.7,1,1,100.0,0,0,0.0,0,0,0,1,1,0,0,0,-2
2024-04-09,NOP @ POR,NOP,POR,Away,W,9.31,8,2,3,66.7,2,3,66.7,2,2,100.0,0,1,1,1,2,0,1,0,12
2024-04-07,NOP @ PHX,NOP,PHX,Away,W,9.23,8,3,5,60.0,2,3,66.7,0,0,0.0,0,0,0,2,0,0,0,0,4
2024-04-05,NOP vs. SAS,NOP,SAS,Home,L,9.2,4,2,9,22.2,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-13
2024-04-03,NOP vs. ORL,NOP,ORL,Home,L,9.06,8,2,6,33.3,0,2,0.0,4,4,100.0,0,2,2,1,1,0,1,0,-9
2024-04-01,NOP vs. PHX,NOP,PHX,Home,L,8.23,4,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,3,0,0,0,1,5
2024-03-30,NOP vs. BOS,NOP,BOS,Home,L,8.45,4,2,6,33.3,0,3,0.0,0,0,0.0,0,2,2,0,1,0,1,1,-10
2024-03-28,NOP vs. MIL,NOP,MIL,Home,W,10.29,4,1,6,16.7,0,2,0.0,2,2,100.0,1,0,1,2,0,0,0,0,1
2024-03-26,NOP vs. OKC,NOP,OKC,Home,L,10.12,13,5,6,83.3,3,3,100.0,0,0,0.0,0,2,2,2,0,0,0,0,11
2024-03-24,NOP @ DET,NOP,DET,Away,W,9.01,7,3,4,75.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,1,-1
2024-03-22,NOP @ MIA,NOP,MIA,Away,W,10.01,8,3,4,75.0,2,3,66.7,0,0,0.0,1,0,1,0,1,0,0,0,6
2024-03-21,NOP @ ORL,NOP,ORL,Away,L,11.21,8,2,3,66.7,1,2,50.0,3,4,75.0,0,0,0,2,0,0,0,2,-9
2024-03-19,NOP @ BKN,NOP,BKN,Away,W,7.3,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,0,2
2024-03-16,NOP vs. POR,NOP,POR,Home,W,7.34,7,3,6,50.0,1,3,33.3,0,0,0.0,0,1,1,2,1,0,0,0,-1
2024-03-15,NOP vs. LAC,NOP,LAC,Home,W,9.51,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,3,1,0,0,0,-4
2024-03-13,NOP vs. CLE,NOP,CLE,Home,L,9.28,6,2,4,50.0,0,2,0.0,2,2,100.0,0,1,1,0,0,1,0,0,-1
2024-03-10,NOP @ ATL,NOP,ATL,Away,W,10.27,7,2,5,40.0,2,2,100.0,1,2,50.0,0,2,2,3,0,0,1,0,11
2024-03-08,NOP @ PHI,NOP,PHI,Away,W,5.55,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,-7
2024-03-05,NOP @ TOR,NOP,TOR,Away,W,6.41,6,2,4,50.0,2,3,66.7,0,0,0.0,0,0,0,2,0,0,0,0,-1
2024-03-01,NOP vs. IND,NOP,IND,Home,W,7.59,3,1,4,25.0,1,3,33.3,0,0,0.0,0,3,3,0,1,0,0,1,15
2024-02-28,NOP @ IND,NOP,IND,Away,L,6.19,5,2,4,50.0,1,2,50.0,0,0,0.0,1,1,2,0,0,0,1,0,3
2024-02-22,NOP vs. HOU,NOP,HOU,Home,W,9.07,12,5,8,62.5,1,2,50.0,1,1,100.0,1,1,2,3,0,0,0,1,11
2024-02-14,NOP vs. WAS,NOP,WAS,Home,W,9.48,6,2,4,50.0,1,2,50.0,1,1,100.0,0,0,0,2,0,0,0,0,-10
2024-02-12,NOP @ MEM,NOP,MEM,Away,W,7.57,6,2,5,40.0,2,3,66.7,0,0,0.0,0,2,2,0,0,0,2,1,9
2024-02-10,NOP @ POR,NOP,POR,Away,W,7.15,0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,2,0,1,0,0,4
2024-02-09,NOP @ LAL,NOP,LAL,Away,L,9.06,3,1,3,33.3,1,2,50.0,0,0,0.0,0,3,3,1,0,0,0,2,5
2024-02-07,NOP @ LAC,NOP,LAC,Away,W,9.25,3,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,1,0,0,1,1,0
2024-02-05,NOP vs. TOR,NOP,TOR,Home,W,8.12,11,4,6,66.7,3,4,75.0,0,0,0.0,0,0,0,0,1,0,0,0,9
2024-02-02,NOP @ SAS,NOP,SAS,Away,W,11.2,1,0,2,0.0,0,2,0.0,1,2,50.0,1,0,1,2,1,0,1,0,7
2024-01-31,NOP @ HOU,NOP,HOU,Away,W,12.0,6,2,6,33.3,0,3,0.0,2,2,100.0,0,3,3,0,0,0,1,0,-2
2024-01-29,NOP @ BOS,NOP,BOS,Away,L,8.37,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,1,1,-8
2024-01-27,NOP @ MIL,NOP,MIL,Away,L,6.26,2,0,2,0.0,0,2,0.0,2,2,100.0,0,0,0,0,0,1,0,1,-14
2024-01-26,NOP vs. OKC,NOP,OKC,Home,L,8.46,5,2,5,40.0,1,3,33.3,0,0,0.0,1,1,2,0,0,0,0,0,-5
2024-01-23,NOP vs. UTA,NOP,UTA,Home,W,8.12,10,3,6,50.0,2,5,40.0,2,2,100.0,0,1,1,0,0,0,1,0,-3
2024-01-19,NOP vs. PHX,NOP,PHX,Home,L,9.49,7,3,6,50.0,1,4,25.0,0,0,0.0,0,2,2,2,0,0,1,1,-3
