Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,SAC vs. POR,SAC,POR,Home,W,00:08:09,7,3,4,75.0,1,1,100.0,0,0,0.0,0,0,0,1,0,1,0,0,0
2024-04-12,SAC vs. PHX,SAC,PHX,Home,L,00:11:10,10,4,8,50.0,2,5,40.0,0,0,0.0,0,1,1,2,0,0,0,1,3
2024-04-11,SAC vs. NOP,SAC,NOP,Home,L,00:10:06,4,1,2,50.0,0,1,0.0,2,2,100.0,0,2,2,3,0,0,3,2,-2
2024-04-09,SAC @ OKC,SAC,OKC,Away,L,00:12:00,4,2,9,22.2,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-16
2024-04-07,SAC @ BKN,SAC,BKN,Away,W,00:07:17,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-6
2024-04-05,SAC @ BOS,SAC,BOS,Away,L,00:10:07,7,3,6,50.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,2,-10
2024-04-04,SAC @ NYK,SAC,NYK,Away,L,00:10:47,8,3,8,37.5,1,3,33.3,1,1,100.0,1,2,3,1,2,0,2,1,-10
2024-04-02,SAC vs. LAC,SAC,LAC,Home,W,00:08:18,6,2,5,40.0,0,2,0.0,2,2,100.0,0,0,0,1,0,0,0,0,8
2024-03-31,SAC vs. UTA,SAC,UTA,Home,W,00:09:23,8,2,4,50.0,1,2,50.0,3,3,100.0,0,3,3,4,2,1,2,0,16
2024-03-29,SAC vs. DAL,SAC,DAL,Home,L,00:09:27,5,2,5,40.0,1,2,50.0,0,0,0.0,0,1,1,0,2,0,1,2,0
2024-03-26,SAC vs. DAL,SAC,DAL,Home,L,00:08:10,4,0,3,0.0,0,0,0.0,4,4,100.0,0,1,1,1,0,0,0,0,-17
2024-03-25,SAC vs. PHI,SAC,PHI,Home,W,00:09:19,4,1,4,25.0,1,3,33.3,1,2,50.0,1,0,1,1,1,0,0,1,2
2024-03-23,SAC @ ORL,SAC,ORL,Away,W,00:08:58,9,4,7,57.1,1,3,33.3,0,0,0.0,1,1,2,2,2,0,0,2,9
2024-03-21,SAC @ WAS,SAC,WAS,Away,L,00:06:36,2,1,5,20.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,2,-13
2024-03-20,SAC @ TOR,SAC,TOR,Away,W,00:09:01,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,1,0,0,2,0,2
2024-03-18,SAC vs. MEM,SAC,MEM,Home,W,00:08:21,9,3,4,75.0,3,3,100.0,0,0,0.0,0,0,0,0,0,0,3,1,-4
2024-03-16,SAC vs. NYK,SAC,NYK,Home,L,00:08:26,5,1,4,25.0,0,0,0.0,3,4,75.0,1,0,1,2,1,0,1,1,3
2024-03-13,SAC vs. LAL,SAC,LAL,Home,W,00:07:56,6,3,5,60.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,2,7
