Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-11,BOS vs. NYK,BOS,NYK,Home,L,8.13,7,3,6,50.0,1,2,50.0,0,0,0.0,1,0,1,0,0,2,0,1,-1
2024-04-07,BOS vs. POR,BOS,POR,Home,W,9.28,2,1,2,50.0,0,0,0.0,0,2,0.0,1,6,7,1,1,1,1,0,-1
2024-04-05,BOS vs. SAC,BOS,SAC,Home,W,10.13,8,2,3,66.7,0,0,0.0,4,4,100.0,1,4,5,0,0,0,1,1,4
2024-04-03,BOS vs. OKC,BOS,OKC,Home,W,7.06,6,2,2,100.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,2,-6
2024-04-01,BOS @ CHA,BOS,CHA,Away,W,12.0,11,3,4,75.0,1,2,50.0,4,4,100.0,0,2,2,1,0,0,0,0,10
2024-03-30,BOS @ NOP,BOS,NOP,Away,W,6.38,6,2,2,100.0,0,0,0.0,2,2,100.0,0,3,3,1,1,2,0,0,8
2024-03-28,BOS @ ATL,BOS,ATL,Away,L,10.06,3,1,3,33.3,0,0,0.0,1,2,50.0,0,1,1,1,0,2,2,3,-5
2024-03-25,BOS @ ATL,BOS,ATL,Away,L,7.5,2,1,4,25.0,0,3,0.0,0,0,0.0,1,0,1,1,0,0,2,0,-13
2024-03-22,BOS @ DET,BOS,DET,Away,W,7.03,7,3,6,50.0,1,2,50.0,0,0,0.0,1,1,2,0,0,0,0,1,7
2024-03-20,BOS vs. MIL,BOS,MIL,Home,W,7.05,6,1,3,33.3,0,1,0.0,4,4,100.0,1,0,1,0,0,0,1,2,-1
2024-03-18,BOS vs. DET,BOS,DET,Home,W,12.0,9,3,7,42.9,2,5,40.0,1,1,100.0,1,2,3,1,1,1,0,1,13
2024-03-07,BOS @ DEN,BOS,DEN,Away,L,9.35,9,3,8,37.5,3,7,42.9,0,0,0.0,0,2,2,0,0,1,1,1,1
2024-03-05,BOS @ CLE,BOS,CLE,Away,L,11.21,5,2,4,50.0,1,1,100.0,0,0,0.0,0,3,3,1,1,1,0,0,5
2024-03-01,BOS vs. DAL,BOS,DAL,Home,W,12.0,8,3,6,50.0,0,2,0.0,2,2,100.0,1,3,4,0,0,0,0,1,5
2024-02-27,BOS vs. PHI,BOS,PHI,Home,W,10.17,12,2,4,50.0,0,0,0.0,8,8,100.0,2,3,5,1,0,1,0,0,9
2024-02-24,BOS @ NYK,BOS,NYK,Away,W,11.24,9,3,3,100.0,3,3,100.0,0,0,0.0,0,1,1,2,0,0,1,2,11
2024-02-22,BOS @ CHI,BOS,CHI,Away,W,7.15,4,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0,0,0,1,0,2,11
2024-02-11,BOS @ MIA,BOS,MIA,Away,W,4.39,4,1,2,50.0,0,0,0.0,2,3,66.7,0,0,0,0,0,0,0,0,-5
2024-02-09,BOS vs. WAS,BOS,WAS,Home,W,12.0,14,4,7,57.1,2,3,66.7,4,4,100.0,1,4,5,0,0,0,2,1,20
2024-02-07,BOS vs. ATL,BOS,ATL,Home,W,10.5,8,4,8,50.0,0,2,0.0,0,0,0.0,0,1,1,1,0,1,2,1,0
2024-02-04,BOS vs. MEM,BOS,MEM,Home,W,11.47,9,4,9,44.4,0,1,0.0,1,1,100.0,1,3,4,1,0,1,1,2,3
2024-02-01,BOS vs. LAL,BOS,LAL,Home,L,2.56,4,1,1,100.0,0,0,0.0,2,2,100.0,0,1,1,1,0,1,0,0,-2
2024-01-30,BOS vs. IND,BOS,IND,Home,W,7.49,2,1,5,20.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,2,1,-16
2024-01-25,BOS @ MIA,BOS,MIA,Away,W,5.07,2,0,0,0.0,0,0,0.0,2,2,100.0,0,3,3,0,0,0,0,1,9
2024-01-21,BOS @ HOU,BOS,HOU,Away,W,5.37,6,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,1,0,1,2,2,0
2024-01-19,BOS vs. DEN,BOS,DEN,Home,L,7.06,1,0,2,0.0,0,1,0.0,1,2,50.0,1,0,1,1,0,0,0,1,2
2024-01-15,BOS @ TOR,BOS,TOR,Away,W,9.16,4,0,3,0.0,0,2,0.0,4,4,100.0,0,2,2,0,0,1,2,2,-4
2024-01-13,BOS vs. HOU,BOS,HOU,Home,W,12.0,2,1,4,25.0,0,1,0.0,0,0,0.0,1,3,4,2,0,2,0,2,15
2024-01-08,BOS @ IND,BOS,IND,Away,L,11.58,4,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,3,0,1,0,0,-11
2024-01-05,BOS vs. UTA,BOS,UTA,Home,W,9.1,9,1,2,50.0,0,0,0.0,7,8,87.5,0,1,1,0,0,0,0,2,4
2024-01-02,BOS @ OKC,BOS,OKC,Away,L,12.0,9,3,7,42.9,0,0,0.0,3,4,75.0,3,2,5,1,0,1,1,1,-15
2023-12-31,BOS @ SAS,BOS,SAS,Away,W,12.0,6,3,6,50.0,0,1,0.0,0,0,0.0,1,2,3,1,1,1,0,2,17
2023-12-28,BOS vs. DET,BOS,DET,Home,W,12.0,12,4,4,100.0,1,1,100.0,3,4,75.0,0,2,2,0,0,0,0,0,19
2023-12-25,BOS @ LAL,BOS,LAL,Away,W,11.12,13,4,5,80.0,1,1,100.0,4,6,66.7,1,3,4,0,0,1,0,0,11
2023-12-20,BOS @ SAC,BOS,SAC,Away,W,12.0,14,4,5,80.0,1,1,100.0,5,5,100.0,1,4,5,1,0,3,1,3,15
2023-12-17,BOS vs. ORL,BOS,ORL,Home,W,9.32,6,2,2,100.0,1,1,100.0,1,1,100.0,1,2,3,0,0,1,1,1,-3
2023-12-14,BOS vs. CLE,BOS,CLE,Home,W,12.0,3,1,4,25.0,0,2,0.0,1,2,50.0,0,2,2,0,0,2,1,0,-8
2023-12-12,BOS vs. CLE,BOS,CLE,Home,W,11.57,13,5,9,55.6,2,4,50.0,1,1,100.0,2,2,4,2,0,1,0,0,3
2023-12-08,BOS vs. NYK,BOS,NYK,Home,W,5.23,2,0,2,0.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,0,0,3
2023-11-24,BOS @ ORL,BOS,ORL,Away,L,5.16,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-8
2023-11-22,BOS vs. MIL,BOS,MIL,Home,W,5.06,4,2,4,50.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,2,-2
2023-11-20,BOS @ CHA,BOS,CHA,Away,L,8.18,9,2,5,40.0,1,3,33.3,4,5,80.0,1,3,4,0,1,1,0,0,-10
2023-11-19,BOS @ MEM,BOS,MEM,Away,W,6.43,6,2,3,66.7,0,1,0.0,2,2,100.0,1,0,1,0,1,1,2,2,3
2023-11-17,BOS @ TOR,BOS,TOR,Away,W,5.5,2,1,4,25.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,2,-9
2023-11-13,BOS vs. NYK,BOS,NYK,Home,W,9.43,11,3,3,100.0,2,2,100.0,3,3,100.0,1,3,4,0,0,0,1,3,6
2023-11-11,BOS vs. TOR,BOS,TOR,Home,W,11.1,12,5,6,83.3,2,2,100.0,0,0,0.0,0,2,2,1,0,0,2,1,11
2023-11-10,BOS vs. BKN,BOS,BKN,Home,W,7.29,2,0,1,0.0,0,1,0.0,2,2,100.0,0,1,1,0,0,1,0,0,3
2023-11-08,BOS @ PHI,BOS,PHI,Away,L,5.57,2,1,3,33.3,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,-3
2023-11-06,BOS @ MIN,BOS,MIN,Away,L,9.09,6,2,5,40.0,1,2,50.0,1,3,33.3,0,1,1,0,0,0,0,2,-6
2023-11-04,BOS @ BKN,BOS,BKN,Away,W,7.27,7,3,3,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,1,1,-6
