Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-12,MIA vs. TOR,MIA,TOR,Home,W,00:07:29,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,0,5
2024-04-10,MIA vs. DAL,MIA,DAL,Home,L,00:05:52,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-6
2024-04-09,MIA @ ATL,MIA,ATL,Away,W,00:07:18,10,2,3,66.7,1,1,100.0,5,7,71.4,0,0,0,0,1,0,0,0,-1
2024-04-07,MIA @ IND,MIA,IND,Away,L,00:08:14,6,1,2,50.0,0,0,0.0,4,4,100.0,0,2,2,4,0,0,0,1,8
2024-04-04,MIA vs. PHI,MIA,PHI,Home,L,00:12:00,6,2,5,40.0,0,2,0.0,2,2,100.0,0,1,1,1,0,0,1,0,-5
2024-04-02,MIA vs. NYK,MIA,NYK,Home,W,00:12:00,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0
2024-03-31,MIA @ WAS,MIA,WAS,Away,W,00:06:24,5,2,4,50.0,0,0,0.0,1,1,100.0,0,1,1,0,0,0,0,0,-6
2024-03-22,MIA vs. NOP,MIA,NOP,Home,L,00:06:48,0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,0,-7
2024-03-20,MIA @ CLE,MIA,CLE,Away,W,00:10:45,6,3,4,75.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,-2
2024-03-15,MIA @ DET,MIA,DET,Away,W,00:06:49,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,7
2024-03-13,MIA vs. DEN,MIA,DEN,Home,L,00:12:00,4,1,3,33.3,0,0,0.0,2,2,100.0,1,0,1,0,0,0,0,0,-11
2024-03-10,MIA vs. WAS,MIA,WAS,Home,L,00:12:00,6,2,9,22.2,0,4,0.0,2,2,100.0,1,2,3,0,1,0,0,1,-3
2024-03-08,MIA @ OKC,MIA,OKC,Away,L,00:12:00,5,2,6,33.3,0,1,0.0,1,3,33.3,2,3,5,3,0,0,0,0,-3
2024-03-07,MIA @ DAL,MIA,DAL,Away,L,00:12:00,8,4,6,66.7,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,1,2
2024-03-05,MIA vs. DET,MIA,DET,Home,W,00:09:32,15,4,6,66.7,1,3,33.3,6,6,100.0,0,3,3,0,0,0,1,1,3
2024-03-02,MIA vs. UTA,MIA,UTA,Home,W,00:07:15,7,3,5,60.0,0,0,0.0,1,2,50.0,0,0,0,0,1,0,0,0,6
2024-02-29,MIA @ DEN,MIA,DEN,Away,L,00:12:00,7,3,7,42.9,0,1,0.0,1,3,33.3,1,2,3,0,0,0,0,0,7
2024-02-27,MIA @ POR,MIA,POR,Away,W,00:08:21,4,1,3,33.3,0,0,0.0,2,2,100.0,0,1,1,0,0,0,1,1,2
2024-02-23,MIA @ NOP,MIA,NOP,Away,W,00:00:41,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,-1
2024-02-07,MIA vs. SAS,MIA,SAS,Home,W,00:09:34,9,3,5,60.0,1,2,50.0,2,2,100.0,0,2,2,6,1,0,0,0,15
2024-02-06,MIA vs. ORL,MIA,ORL,Home,W,00:08:54,10,3,3,100.0,2,2,100.0,2,2,100.0,0,1,1,1,0,0,2,0,3
