Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-01-18,CHI @ TOR,CHI,TOR,Away,W,00:02:20,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-3
2024-01-15,CHI @ CLE,CHI,CLE,Away,L,00:07:38,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,1,3,-13
2024-01-13,CHI @ SAS,CHI,SAS,Away,W,00:09:26,5,1,4,25.0,0,3,0.0,3,4,75.0,0,1,1,2,1,0,0,1,9
2024-01-12,CHI vs. GSW,CHI,GSW,Home,L,00:09:42,10,4,8,50.0,2,5,40.0,0,0,0.0,0,2,2,1,0,0,0,2,4
2024-01-10,CHI vs. HOU,CHI,HOU,Home,W,00:08:05,2,1,2,50.0,0,1,0.0,0,0,0.0,1,2,3,0,0,0,3,2,-10
2024-01-08,CHI @ CHA,CHI,CHA,Away,W,00:09:25,1,0,2,0.0,0,1,0.0,1,2,50.0,0,0,0,1,0,1,0,0,-10
2024-01-05,CHI vs. CHA,CHI,CHA,Home,W,00:08:12,4,2,4,50.0,0,2,0.0,0,0,0.0,0,2,2,2,0,0,0,1,-2
2023-11-26,CHI @ BKN,CHI,BKN,Away,L,00:08:06,3,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,1,1
2023-11-24,CHI @ TOR,CHI,TOR,Away,L,00:10:44,12,5,7,71.4,2,2,100.0,0,0,0.0,0,0,0,2,0,0,2,2,6
2023-11-20,CHI vs. MIA,CHI,MIA,Home,L,00:06:38,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-7
2023-11-18,CHI vs. MIA,CHI,MIA,Home,W,00:07:45,6,2,2,100.0,2,2,100.0,0,0,0.0,0,2,2,2,1,1,0,1,15
2023-11-17,CHI vs. ORL,CHI,ORL,Home,L,00:08:42,12,5,9,55.6,2,6,33.3,0,0,0.0,0,2,2,2,0,0,1,1,5
2023-11-15,CHI vs. ORL,CHI,ORL,Home,L,00:08:31,11,4,5,80.0,3,3,100.0,0,0,0.0,0,1,1,1,0,0,0,1,8
2023-11-13,CHI @ MIL,CHI,MIL,Away,L,00:08:51,12,4,8,50.0,2,5,40.0,2,2,100.0,0,1,1,1,1,0,0,0,6
2023-11-12,CHI vs. DET,CHI,DET,Home,W,00:06:25,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0,1,0,0,0,0,3
2023-11-08,CHI vs. PHX,CHI,PHX,Home,L,00:08:50,0,0,3,0.0,0,2,0.0,0,0,0.0,0,4,4,2,0,0,1,0,4
2023-11-06,CHI vs. UTA,CHI,UTA,Home,W,00:05:02,2,0,2,0.0,0,2,0.0,2,2,100.0,0,0,0,1,0,0,0,1,5
2023-11-04,CHI @ DEN,CHI,DEN,Away,L,00:06:41,2,1,3,33.3,0,1,0.0,0,1,0.0,0,1,1,1,0,0,1,0,-6
2023-11-03,CHI vs. BKN,CHI,BKN,Home,L,00:09:18,5,2,6,33.3,0,0,0.0,1,2,50.0,1,1,2,2,0,0,1,0,-2
2023-11-01,CHI @ DAL,CHI,DAL,Away,L,00:08:39,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-9
2023-10-30,CHI @ IND,CHI,IND,Away,W,00:09:30,11,3,5,60.0,0,2,0.0,5,6,83.3,0,2,2,0,0,0,0,1,9
2023-10-28,CHI @ DET,CHI,DET,Away,L,00:09:35,12,5,8,62.5,2,3,66.7,0,0,0.0,1,0,1,0,1,0,3,0,-7
2023-10-27,CHI vs. TOR,CHI,TOR,Home,W,00:11:30,2,1,5,20.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,1,4
2023-10-25,CHI vs. OKC,CHI,OKC,Home,L,00:04:44,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-5
