home_team,schedule_team,schedule_matchup,DATE,TIME,location
BKN,PHX,vs Phoenix,2025-01-22,7:30 PM,home
BKN,SAC,vs Sacramento,2025-01-27,7:30 PM,home
BKN,HOU,@ Houston,2025-02-01,8:00 PM,away
BKN,WAS,vs Washington,2025-02-05,7:30 PM,home
BKN,CHA,vs Charlotte,2025-02-10,7:30 PM,home
BKN,CLE,vs Cleveland,2025-02-20,7:30 PM,home
BKN,WAS,@ Washington,2025-02-24,7:00 PM,away
BKN,POR,vs Portland,2025-02-28,7:30 PM,home
BKN,SAS,@ San Antonio,2025-03-04,8:30 PM,away
BKN,CHA,@ Charlotte,2025-03-08,6:00 PM,away
BKN,CLE,@ Cleveland,2025-03-11,7:00 PM,away
BKN,BOS,vs Boston,2025-03-15,6:00 PM,home
BKN,BOS,@ Boston,2025-03-18,7:30 PM,away
BKN,IND,@ Indiana,2025-03-22,5:00 PM,away
BKN,TOR,vs Toronto,2025-03-26,7:30 PM,home
BKN,WAS,@ Washington,2025-03-29,7:00 PM,away
BKN,MIN,vs Minnesota,2025-04-03,7:30 PM,home
BKN,NOP,vs New Orleans,2025-04-08,7:30 PM,home
BKN,MIN,@ Minnesota,2025-04-11,9:00 PM,away
