home_team,schedule_team,schedule_matchup,DATE,TIME,location
BOS,LAC,@ LA,2025-01-22,10:30 PM,away
BOS,DAL,@ Dallas,2025-01-25,5:30 PM,away
BOS,CHI,vs Chicago,2025-01-29,7:30 PM,home
BOS,PHI,@ Philadelphia,2025-02-02,6:00 PM,away
BOS,DAL,vs Dallas,2025-02-06,7:30 PM,home
BOS,MIA,@ Miami,2025-02-10,7:30 PM,away
BOS,PHI,@ Philadelphia,2025-02-20,7:00 PM,away
BOS,TOR,@ Toronto,2025-02-25,7:00 PM,away
BOS,CLE,vs Cleveland,2025-02-28,7:30 PM,home
BOS,POR,vs Portland,2025-03-05,7:00 PM,home
BOS,LAL,vs Los Angeles,2025-03-08,8:30 PM,home
BOS,OKC,vs Oklahoma City,2025-03-12,7:30 PM,home
BOS,BKN,@ Brooklyn,2025-03-15,6:00 PM,away
BOS,UTA,@ Utah,2025-03-21,9:30 PM,away
BOS,SAC,@ Sacramento,2025-03-24,10:00 PM,away
BOS,SAS,@ San Antonio,2025-03-29,8:00 PM,away
BOS,MIA,vs Miami,2025-04-02,7:30 PM,home
BOS,WAS,vs Washington,2025-04-06,6:00 PM,home
BOS,ORL,@ Orlando,2025-04-09,7:00 PM,away
